ticker,section,key,title,style,applicability,sharpe,cagr,max_drawdown,calmar,ann_volatility,ann_turnover,hit_rate,params
ABT,6.5,6.5.volatility_targeting,Volatility targeting with risk-free asset,allocation,active,0.5455467233771993,0.0851301206119377,-0.3803286479120792,0.2238330482841179,0.17942441965450076,2.8585427961836927,0.5236280487804879,"{""target_vol"": ""0.15 (52% of folds)"", ""vol_window"": ""21 (63% of folds)"", ""max_leverage"": ""1.0 (62% of folds)"", ""rebalance_threshold"": ""0.1 (72% of folds)"", ""annualization"": ""252""}"
ABT,4.1.2,4.1.2.dual_momentum,Dual-momentum rotation,momentum,active,0.535048265729945,0.08089515811154824,-0.2659944590018214,0.30412347089904723,0.17371132505725398,6.8185975609756095,0.36585365853658536,"{""formation"": ""252"", ""fraction"": ""0.34"", ""ma_length"": ""200 (51% of folds)""}"
ABT,3.20,3.20.alpha_combo,Alpha combos,combo,active,0.269719648213717,0.03650397439349429,-0.3995287689143673,0.09136757408655681,0.23918394948794017,62.13567073170732,0.5083841463414634,"{""d"": ""21 (54% of folds)"", ""n_factors"": ""2 (54% of folds)""}"
ABT,4.6,4.6.multi_asset_trend,Multi-asset trend following,momentum,active,0.2600247309871897,0.03162620718883047,-0.4351081831971185,0.07268584781937494,0.1880517143600171,8.643292682926832,0.3753810975609756,"{""formation"": ""252 (75% of folds)"", ""weighting"": ""inverse_vol"", ""ma_filter"": ""True (65% of folds)"", ""ma_length"": ""200 (64% of folds)""}"
ABT,3.13,3.13.three_moving_averages,Three moving averages,technical,active,0.18168061713867548,0.01655572688823992,-0.5315422553339215,0.03114658660173574,0.19666230942520926,24.8734756097561,0.34260670731707316,"{""t1"": ""10 (51% of folds)"", ""t2"": ""20 (43% of folds)"", ""t3"": ""100 (50% of folds)"", ""kind"": ""sma""}"
ABT,3.11,3.11.single_moving_average,Single moving average,technical,active,0.16695735925456567,0.012285215467203292,-0.490550955226415,0.025043709193335522,0.22299325081885585,24.297256097560975,0.45998475609756095,"{""length"": ""200 (50% of folds)"", ""kind"": ""sma (86% of folds)"", ""lam"": ""0.9"", ""long_only"": ""False (54% of folds)""}"
ABT,3.15,3.15.channel,Channel (Donchian),technical,active,-0.016043390261512927,-0.024259024642118376,-0.5821640234835556,-0.04167042906045125,0.2056157493985015,14.693597560975611,0.3479420731707317,"{""length"": ""10 (47% of folds)"", ""mode"": ""reversion (74% of folds)"", ""long_only"": ""True (62% of folds)""}"
ABT,10.4,10.4.trend_following,Trend following (sign/vol weighting),momentum,active,-0.08115052475764647,-0.047085382384034036,-0.7630457406311361,-0.0617071557795322,0.23931672146479846,21.416158536585368,0.5186737804878049,"{""formation"": ""126 (40% of folds)"", ""vol_window"": ""63"", ""smoothing"": ""sign"", ""demean_returns"": ""False"", ""dollar_neutral"": ""False""}"
ABT,3.17,3.17.single_stock_knn,Single-stock KNN,machine-learning,active,-0.10226090514112497,-0.04361581705235085,-0.668330527636751,-0.06526084811145538,0.21319153402016514,129.36128048780486,0.390625,"{""horizon"": ""5 (90% of folds)"", ""k"": ""5 (76% of folds)"", ""feature_lengths"": ""(5, 21, 63)"", ""z1"": ""0.0 (51% of folds)"", ""z2"": ""0.0""}"
ABT,3.12,3.12.two_moving_averages,Two moving averages,technical,active,-0.11696253030525458,-0.05502119459575794,-0.7432072789347265,-0.07403209865573757,0.23925012199929171,14.693597560975611,0.5007621951219512,"{""fast"": ""10 (42% of folds)"", ""slow"": ""100 (47% of folds)"", ""kind"": ""sma"", ""stop_loss"": ""0.0""}"
ABT,3.14,3.14.support_resistance,Support and resistance,technical,active,-0.4724009510554722,-0.10113752186171254,-0.7988331981368142,-0.12660655828726708,0.1880204788178915,112.07469512195122,0.3365091463414634,"{""lookback"": ""5 (46% of folds)"", ""long_only"": ""True (74% of folds)""}"
