ticker,section,key,title,style,applicability,sharpe,cagr,max_drawdown,calmar,ann_volatility,ann_turnover,hit_rate,params
ARE,3.15,3.15.channel,Channel (Donchian),technical,active,0.11783606088458189,-0.005440259901886346,-0.5985474757635152,-0.009089103408124272,0.2756324042503539,12.772865853658537,0.37614329268292684,"{""length"": ""50 (42% of folds)"", ""mode"": ""reversion (72% of folds)"", ""long_only"": ""False (60% of folds)""}"
ARE,3.11,3.11.single_moving_average,Single moving average,technical,active,0.10243386821424165,-0.006922629429056304,-0.4872922253286157,-0.014206320292485447,0.2574705078633733,29.291158536585368,0.4184451219512195,"{""length"": ""200 (55% of folds)"", ""kind"": ""sma (66% of folds)"", ""lam"": ""0.9"", ""long_only"": ""True (55% of folds)""}"
ARE,3.17,3.17.single_stock_knn,Single-stock KNN,machine-learning,active,0.0686531409695329,-0.015660448102010727,-0.4498502932177473,-0.0348125772909753,0.25679199738006203,132.81859756097563,0.3776676829268293,"{""horizon"": ""5 (91% of folds)"", ""k"": ""5 (73% of folds)"", ""feature_lengths"": ""(5, 21, 63)"", ""z1"": ""0.01 (58% of folds)"", ""z2"": ""0.0""}"
ARE,3.20,3.20.alpha_combo,Alpha combos,combo,active,0.0651043247200939,-0.023826856469624458,-0.7497442012321864,-0.031779980999473684,0.2922226202402765,49.266768292682926,0.5129573170731707,"{""d"": ""63 (50% of folds)"", ""n_factors"": ""2 (63% of folds)""}"
ARE,6.5,6.5.volatility_targeting,Volatility targeting with risk-free asset,allocation,active,0.050672163908356646,-0.0074781451291393575,-0.6354585562458472,-0.01176810833002019,0.18198727189171449,3.2982696516027463,0.5240091463414634,"{""target_vol"": ""0.2 (53% of folds)"", ""vol_window"": ""21 (66% of folds)"", ""max_leverage"": ""1.0 (81% of folds)"", ""rebalance_threshold"": ""0.0 (54% of folds)"", ""annualization"": ""252""}"
ARE,4.6,4.6.multi_asset_trend,Multi-asset trend following,momentum,active,-0.05488492978403517,-0.024514568742102005,-0.568674257826479,-0.04310827930878876,0.17351776510538838,8.835365853658539,0.32202743902439024,"{""formation"": ""252 (58% of folds)"", ""weighting"": ""inverse_vol"", ""ma_filter"": ""False (71% of folds)"", ""ma_length"": ""200 (94% of folds)""}"
ARE,3.12,3.12.two_moving_averages,Two moving averages,technical,active,-0.0889614661851751,-0.06616124885121144,-0.7273223434257274,-0.09096551130216679,0.29232238420773715,17.190548780487806,0.49123475609756095,"{""fast"": ""10 (42% of folds)"", ""slow"": ""30 (49% of folds)"", ""kind"": ""sma"", ""stop_loss"": ""0.0""}"
ARE,10.4,10.4.trend_following,Trend following (sign/vol weighting),momentum,active,-0.09050966979151874,-0.06698784404473968,-0.7029822104242223,-0.09529095196351431,0.29237586720531616,27.178353658536587,0.506859756097561,"{""formation"": ""21 (43% of folds)"", ""vol_window"": ""63"", ""smoothing"": ""sign"", ""demean_returns"": ""False"", ""dollar_neutral"": ""False""}"
ARE,4.1.2,4.1.2.dual_momentum,Dual-momentum rotation,momentum,active,-0.35912323599411533,-0.07229859815059247,-0.6890149905383054,-0.10493037037424671,0.16847648677855181,12.100609756097562,0.28734756097560976,"{""formation"": ""252"", ""fraction"": ""0.34"", ""ma_length"": ""200 (59% of folds)""}"
ARE,3.13,3.13.three_moving_averages,Three moving averages,technical,active,-0.45506961510408694,-0.12987527236169372,-0.815870061299133,-0.15918622158397336,0.24163787853293406,30.155487804878046,0.32926829268292684,"{""t1"": ""5 (51% of folds)"", ""t2"": ""10 (43% of folds)"", ""t3"": ""21 (43% of folds)"", ""kind"": ""sma""}"
ARE,3.14,3.14.support_resistance,Support and resistance,technical,active,-0.7759087932165868,-0.20429807052284343,-0.9336268376010743,-0.21882197714858015,0.2524575721353233,119.3734756097561,0.3464176829268293,"{""lookback"": ""1 (35% of folds)"", ""long_only"": ""True (67% of folds)""}"
ARE,3.1,3.1.price_momentum_long_only,Price-momentum (long-only),momentum,not applicable: degenerates to buy & hold,0.07379789395430811,-0.021434648187782068,-0.779211024207308,-0.02750814288027759,0.29231942722722615,0.09603658536585366,0.5240091463414634,"{""formation"": ""252"", ""skip"": ""21"", ""criterion"": ""cumulative"", ""fraction"": ""0.34"", ""weighting"": ""uniform""}"
ARE,3.4,3.4.low_volatility,Low-volatility anomaly,factor,not applicable: degenerates to buy & hold,0.07379789395430811,-0.021434648187782068,-0.779211024207308,-0.02750814288027759,0.29231942722722615,0.09603658536585366,0.5240091463414634,"{""vol_window"": ""252"", ""fraction"": ""0.34"", ""long_only"": ""True""}"
ARE,4.1,4.1.momentum_rotation,Momentum rotation,momentum,not applicable: degenerates to buy & hold,0.07379789395430811,-0.021434648187782068,-0.779211024207308,-0.02750814288027759,0.29231942722722615,0.09603658536585366,0.5240091463414634,"{""formation"": ""252"", ""fraction"": ""0.34""}"
ARE,3.1,3.1.price_momentum,Price-momentum,momentum,not applicable: takes no position on a one-name universe,,,,,,,,{}
ARE,3.6,3.6.multifactor,Multifactor portfolio (rank blend),factor,not applicable: takes no position on a one-name universe,,,,,,,,{}
ARE,3.7,3.7.residual_momentum,Residual momentum (market-residual proxy),momentum,not applicable: takes no position on a one-name universe,,,,,,,,{}
ARE,3.8,3.8.pairs_trading,Pairs trading,mean-reversion,not applicable: takes no position on a one-name universe,,,,,,,,{}
