ticker,section,key,title,style,applicability,sharpe,cagr,max_drawdown,calmar,ann_volatility,ann_turnover,hit_rate,params
MO,6.5,6.5.volatility_targeting,Volatility targeting with risk-free asset,allocation,active,0.44978332446669705,0.06496026197631477,-0.3933999151559088,0.1651252567011111,0.17374195441736703,3.6391063862459316,0.5388719512195121,"{""target_vol"": ""0.2 (49% of folds)"", ""vol_window"": ""21 (50% of folds)"", ""max_leverage"": ""1.0 (73% of folds)"", ""rebalance_threshold"": ""0.1 (70% of folds)"", ""annualization"": ""252""}"
MO,4.1.2,4.1.2.dual_momentum,Dual-momentum rotation,momentum,active,0.2156092119344074,0.02227844591605499,-0.41043498761845587,0.054280084759161025,0.16913741889217307,8.64329268292683,0.3487042682926829,"{""formation"": ""252"", ""fraction"": ""0.34"", ""ma_length"": ""100 (51% of folds)""}"
MO,3.15,3.15.channel,Channel (Donchian),technical,active,0.18440597693601568,0.01695212589484907,-0.619851695206147,0.027348680379443376,0.20087280797742618,12.58079268292683,0.3978658536585366,"{""length"": ""20 (44% of folds)"", ""mode"": ""breakout (60% of folds)"", ""long_only"": ""True (50% of folds)""}"
MO,10.4,10.4.trend_following,Trend following (sign/vol weighting),momentum,active,0.018232322847123828,-0.022099098068345202,-0.6745480038574221,-0.03276134232400196,0.22990061202530032,23.336890243902438,0.5163871951219512,"{""formation"": ""21 (38% of folds)"", ""vol_window"": ""63"", ""smoothing"": ""sign"", ""demean_returns"": ""False"", ""dollar_neutral"": ""False""}"
MO,4.6,4.6.multi_asset_trend,Multi-asset trend following,momentum,active,0.015682545360673837,-0.010376000940955588,-0.5526680755800548,-0.018774380861542286,0.15980598468467005,7.778963414634149,0.3159298780487805,"{""formation"": ""252 (57% of folds)"", ""weighting"": ""inverse_vol"", ""ma_filter"": ""True (55% of folds)"", ""ma_length"": ""200 (80% of folds)""}"
MO,3.14,3.14.support_resistance,Support and resistance,technical,active,-0.00977610388438831,-0.021463909628379296,-0.628705885889031,-0.03413982612557847,0.19828029360697771,104.29573170731707,0.35289634146341464,"{""lookback"": ""5 (46% of folds)"", ""long_only"": ""True (69% of folds)""}"
MO,3.11,3.11.single_moving_average,Single moving average,technical,active,-0.026966776488040366,-0.027027300292727707,-0.4868296366120394,-0.055516957596947004,0.20819983653488838,28.426829268292682,0.4092987804878049,"{""length"": ""200 (50% of folds)"", ""kind"": ""sma (74% of folds)"", ""lam"": ""0.9"", ""long_only"": ""True (60% of folds)""}"
MO,3.12,3.12.two_moving_averages,Two moving averages,technical,active,-0.033678801372235646,-0.033618444364423516,-0.6887734667988341,-0.04880914551001752,0.23002216047070276,15.269817073170731,0.5030487804878049,"{""fast"": ""20 (39% of folds)"", ""slow"": ""30 (42% of folds)"", ""kind"": ""sma"", ""stop_loss"": ""0.0""}"
MO,3.13,3.13.three_moving_averages,Three moving averages,technical,active,-0.10105632329983455,-0.03644890927453159,-0.5388851188491214,-0.06763762442053381,0.18959296545546855,31.211890243902438,0.33041158536585363,"{""t1"": ""5 (42% of folds)"", ""t2"": ""10 (59% of folds)"", ""t3"": ""100 (42% of folds)"", ""kind"": ""sma""}"
MO,3.20,3.20.alpha_combo,Alpha combos,combo,active,-0.10624264554344455,-0.049935236509229264,-0.6037131163441225,-0.08271351931463698,0.23026130264936012,46.769817073170735,0.508765243902439,"{""d"": ""63 (60% of folds)"", ""n_factors"": ""2 (51% of folds)""}"
MO,3.17,3.17.single_stock_knn,Single-stock KNN,machine-learning,active,-0.2762561642126384,-0.0713234392843034,-0.7905584428244046,-0.09021905961751325,0.1970875279698377,121.67835365853658,0.375,"{""horizon"": ""5 (98% of folds)"", ""k"": ""5 (74% of folds)"", ""feature_lengths"": ""(5, 21, 63)"", ""z1"": ""0.01 (52% of folds)"", ""z2"": ""0.0""}"
MO,3.1,3.1.price_momentum_long_only,Price-momentum (long-only),momentum,not applicable: degenerates to buy & hold,0.42200714844091,0.07290955014362721,-0.5369478902862032,0.13578515059397117,0.22996067177019258,0.09603658536585366,0.5388719512195121,"{""formation"": ""252"", ""skip"": ""21"", ""criterion"": ""cumulative"", ""fraction"": ""0.34"", ""weighting"": ""uniform""}"
