ticker,best_strategy,n_days,n_candidates,sharpe,buy_hold_sharpe,t_stat_vs_zero,p_vs_zero,newey_west_lags,excess_ann_return,t_stat_vs_buy_hold,p_vs_buy_hold,p_worse_than_buy_hold,reality_check_p,spa_p,psr_vs_zero,psr_vs_buy_hold,deflated_sharpe_prob,luck_threshold_sharpe_ann,bootstrap_draws,bootstrap_block,verdict
ABT,6.5.volatility_targeting,2624,11,0.5455467233771969,0.6259264316420533,1.8006066256299327,0.035939869542202664,8,-0.051793974602567724,-2.066044528379896,0.9805388747201867,0.01946112527981325,0.9966,1.0,0.9589745975729361,0.3988954358974486,0.5694568484735334,0.49064675067300195,5000,10.0,lower return than buy & hold (significant)
ACN,6.5.volatility_targeting,2624,11,0.45361665529786205,0.3782943887960039,1.4599161528682663,0.07221643636942239,8,-0.027644668207670215,-0.6744777551350281,0.7499664686066182,0.2500335313933818,0.8892,1.0,0.925784134894962,0.594817518455981,0.433063969736011,0.5065337720465657,5000,10.0,not distinguishable from luck
AES,6.5.volatility_targeting,2624,11,0.39532084860492245,0.36964598470669036,1.2600173222302165,0.10388760162863861,8,-0.06294270632945402,-1.0242260082770118,0.8470885078274478,0.15291149217255218,0.8544,0.856,0.898136587638266,0.5328944628489687,0.5361598689431422,0.3670905701098465,5000,10.0,not distinguishable from luck
AFL,6.5.volatility_targeting,2624,11,0.7534586841423089,0.7438633281025792,2.4694756490403718,0.006797180916117787,8,-0.054213505035442214,-1.6259462088504908,0.9479593871640108,0.05204061283598915,0.9862,1.0,0.9908444299458774,0.5119845914138478,0.5565954272389241,0.7079998321682568,5000,10.0,"profitable, but no better than buy & hold"
APA,3.11.single_moving_average,2624,11,0.39040774906752246,0.3331057701128564,1.1967834649387765,0.11574956035110749,8,0.02288565725158507,0.07777227317302549,0.46900756714764097,0.530992432852359,0.8108,0.8188,0.9003264583215773,0.5747077488796187,0.6188481760085638,0.29840190328955923,5000,10.0,not distinguishable from luck
APD,6.5.volatility_targeting,2624,11,0.547464910678332,0.5576969241642845,1.8541215925015262,0.03191697269754369,8,-0.04714924415624837,-1.6175412694368436,0.9470591329716512,0.05294086702834877,0.9934,1.0,0.9596619712743305,0.48697807582838876,0.4793887690397843,0.563664577187917,5000,10.0,"profitable, but no better than buy & hold"
ARE,3.15.channel,2624,11,0.11783606088458178,0.07379789395430608,0.38735479384353805,0.34926249631036377,8,0.010906878677710013,0.08701302627464107,0.46533389978762646,0.5346661002123736,0.8292,0.8134,0.6482344801797034,0.5565483731382431,0.13342267340473496,0.4616468919310496,5000,10.0,not distinguishable from luck
GOOGL,6.5.volatility_targeting,2624,11,0.8442858620050304,0.8871388404473961,2.839474249925359,0.002276798545402917,8,-0.1064671194336089,-2.86222936475464,0.9978799624295233,0.0021200375704767405,0.9996,1.0,0.9966131169425511,0.44534281340300824,0.8582226776474828,0.5099197394740417,5000,10.0,lower return than buy & hold (significant)
GOOG,6.5.volatility_targeting,2624,11,0.9146023664268179,0.8954342514894533,3.083272611884296,0.0010343397879271103,8,-0.09495442684842696,-2.585787061316231,0.9951154268986026,0.004884573101397449,0.9998,1.0,0.9983763751739819,0.5245933413833278,0.9188717344028299,0.48033683261692867,5000,10.0,lower return than buy & hold (significant)
MMM,3.15.channel,2624,11,0.6637763573544252,0.36248053298835936,2.2774910424989154,0.011418534619073384,8,0.06170893711687834,0.6491019721493909,0.2581646480768916,0.7418353519231085,0.6402,0.6476,0.9848996077583722,0.8374003158556701,0.632923467846031,0.5597726137352151,5000,10.0,"profitable, but no better than buy & hold"
MO,6.5.volatility_targeting,2624,11,0.4497833244666926,0.4220071484409055,1.443186011178073,0.0745437442974721,8,-0.018898813490110127,-0.7525079714625618,0.7740934187460704,0.2259065812539296,0.95,1.0,0.9236248977970481,0.5351816340008776,0.6676870066270415,0.3134108222630917,5000,10.0,not distinguishable from luck
