fold,train_start,train_end,test_start,test_end,train_days,test_days,in_sample_objective,params,grid_size
0,2015-03-11,2016-03-09,2016-03-10,2016-04-08,252,21,-0.38541333381694615,"{""lookback"": 5, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63, ""activity_window"": 5}",8
1,2015-04-10,2016-04-08,2016-04-11,2016-05-09,252,21,-0.37464908880951975,"{""lookback"": 5, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63, ""activity_window"": 5}",8
2,2015-05-11,2016-05-09,2016-05-10,2016-06-08,252,21,-0.4736702909747594,"{""lookback"": 5, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63, ""activity_window"": 5}",8
3,2015-06-10,2016-06-08,2016-06-09,2016-07-08,252,21,-0.6166903811707457,"{""lookback"": 5, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63, ""activity_window"": 5}",8
4,2015-07-10,2016-07-08,2016-07-11,2016-08-08,252,21,-0.33522756539790577,"{""lookback"": 5, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63, ""activity_window"": 5}",8
5,2015-08-10,2016-08-08,2016-08-09,2016-09-07,252,21,0.03687484768727908,"{""lookback"": 5, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63, ""activity_window"": 5}",8
6,2015-09-09,2016-09-07,2016-09-08,2016-10-06,252,21,-0.16803891080803976,"{""lookback"": 10, ""vol_scaling"": ""none"", ""vol_window"": 63, ""activity_window"": 5}",8
7,2015-10-08,2016-10-06,2016-10-07,2016-11-04,252,21,-0.17468231097526213,"{""lookback"": 10, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63, ""activity_window"": 5}",8
8,2015-11-06,2016-11-04,2016-11-07,2016-12-06,252,21,-0.5300620805992178,"{""lookback"": 10, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63, ""activity_window"": 5}",8
9,2015-12-08,2016-12-06,2016-12-07,2017-01-06,252,21,-0.6215990636736212,"{""lookback"": 5, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63, ""activity_window"": 5}",8
10,2016-01-08,2017-01-06,2017-01-09,2017-02-07,252,21,-1.373444189960072,"{""lookback"": 5, ""vol_scaling"": ""none"", ""vol_window"": 63, ""activity_window"": 10}",8
11,2016-02-09,2017-02-07,2017-02-08,2017-03-09,252,21,-0.9119321063426475,"{""lookback"": 5, ""vol_scaling"": ""none"", ""vol_window"": 63, ""activity_window"": 10}",8
12,2016-03-10,2017-03-09,2017-03-10,2017-04-07,252,21,-0.8873143139122943,"{""lookback"": 5, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63, ""activity_window"": 10}",8
13,2016-04-11,2017-04-07,2017-04-10,2017-05-09,252,21,-0.8576899421616602,"{""lookback"": 5, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63, ""activity_window"": 10}",8
14,2016-05-10,2017-05-09,2017-05-10,2017-06-08,252,21,-0.15440088243641534,"{""lookback"": 5, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63, ""activity_window"": 10}",8
15,2016-06-09,2017-06-08,2017-06-09,2017-07-10,252,21,-0.46313204275001396,"{""lookback"": 5, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63, ""activity_window"": 10}",8
16,2016-07-11,2017-07-10,2017-07-11,2017-08-08,252,21,-0.7367007021968546,"{""lookback"": 10, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63, ""activity_window"": 5}",8
17,2016-08-09,2017-08-08,2017-08-09,2017-09-07,252,21,-0.5873064686504987,"{""lookback"": 10, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63, ""activity_window"": 5}",8
18,2016-09-08,2017-09-07,2017-09-08,2017-10-06,252,21,0.10540321532037218,"{""lookback"": 10, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63, ""activity_window"": 5}",8
19,2016-10-07,2017-10-06,2017-10-09,2017-11-06,252,21,0.5371557158981594,"{""lookback"": 10, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63, ""activity_window"": 5}",8
20,2016-11-07,2017-11-06,2017-11-07,2017-12-06,252,21,0.5988073312995922,"{""lookback"": 10, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63, ""activity_window"": 5}",8
21,2016-12-07,2017-12-06,2017-12-07,2018-01-08,252,21,0.3053330190681025,"{""lookback"": 10, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63, ""activity_window"": 5}",8
22,2017-01-09,2018-01-08,2018-01-09,2018-02-07,252,21,0.38866423056623267,"{""lookback"": 10, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63, ""activity_window"": 5}",8
23,2017-02-08,2018-02-07,2018-02-08,2018-03-09,252,21,0.494132735118219,"{""lookback"": 10, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63, ""activity_window"": 5}",8
24,2017-03-10,2018-03-09,2018-03-12,2018-04-10,252,21,0.8259351513956151,"{""lookback"": 10, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63, ""activity_window"": 5}",8
25,2017-04-10,2018-04-10,2018-04-11,2018-05-09,252,21,1.573058996084923,"{""lookback"": 10, ""vol_scaling"": ""none"", ""vol_window"": 63, ""activity_window"": 5}",8
26,2017-05-10,2018-05-09,2018-05-10,2018-06-08,252,21,1.0643471393450241,"{""lookback"": 10, ""vol_scaling"": ""none"", ""vol_window"": 63, ""activity_window"": 5}",8
27,2017-06-09,2018-06-08,2018-06-11,2018-07-10,252,21,1.3541297417660974,"{""lookback"": 5, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63, ""activity_window"": 10}",8
28,2017-07-11,2018-07-10,2018-07-11,2018-08-08,252,21,1.3635091033970534,"{""lookback"": 5, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63, ""activity_window"": 10}",8
29,2017-08-09,2018-08-08,2018-08-09,2018-09-07,252,21,1.3225264633063725,"{""lookback"": 5, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63, ""activity_window"": 10}",8
30,2017-09-08,2018-09-07,2018-09-10,2018-10-08,252,21,1.2040987439291566,"{""lookback"": 5, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63, ""activity_window"": 10}",8
31,2017-10-09,2018-10-08,2018-10-09,2018-11-06,252,21,1.6781094863640091,"{""lookback"": 5, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63, ""activity_window"": 10}",8
32,2017-11-07,2018-11-06,2018-11-07,2018-12-07,252,21,1.174670352883238,"{""lookback"": 5, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63, ""activity_window"": 5}",8
33,2017-12-07,2018-12-07,2018-12-10,2019-01-09,252,21,0.7047733423955876,"{""lookback"": 5, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63, ""activity_window"": 10}",8
34,2018-01-09,2019-01-09,2019-01-10,2019-02-08,252,21,1.1844716793124526,"{""lookback"": 5, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63, ""activity_window"": 5}",8
