fold,train_start,train_end,test_start,test_end,train_days,test_days,in_sample_objective,params,grid_size
0,2015-03-11,2016-03-11,2016-03-14,2016-04-12,252,21,-0.3537366033181498,"{""lookback"": 5, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
1,2015-04-10,2016-04-12,2016-04-13,2016-05-11,252,21,-0.263923698175457,"{""lookback"": 5, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
2,2015-05-11,2016-05-11,2016-05-12,2016-06-10,252,21,-0.3385169707777481,"{""lookback"": 5, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
3,2015-06-12,2016-06-10,2016-06-13,2016-07-12,252,21,-0.2479672510706095,"{""lookback"": 21, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
4,2015-07-14,2016-07-12,2016-07-13,2016-08-11,252,21,0.08845660866369563,"{""lookback"": 21, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
5,2015-08-12,2016-08-11,2016-08-12,2016-09-12,252,21,0.36730744898721945,"{""lookback"": 21, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
6,2015-09-11,2016-09-12,2016-09-13,2016-10-11,252,21,0.3241982449493164,"{""lookback"": 21, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
7,2015-10-12,2016-10-11,2016-10-12,2016-11-09,252,21,0.0619672121600325,"{""lookback"": 21, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63}",9
8,2015-11-10,2016-11-09,2016-11-10,2016-12-09,252,21,0.20850187699189376,"{""lookback"": 21, ""vol_scaling"": ""inverse_var"", ""vol_window"": 63}",9
9,2015-12-10,2016-12-09,2016-12-12,2017-01-11,252,21,0.015501390915791377,"{""lookback"": 21, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63}",9
10,2016-01-12,2017-01-11,2017-01-12,2017-02-10,252,21,0.9222883965128764,"{""lookback"": 21, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
