fold,train_start,train_end,test_start,test_end,train_days,test_days,in_sample_objective,params,grid_size
0,2015-03-11,2016-03-11,2016-03-14,2016-04-12,252,21,0.4749695224247844,"{""formation"": 252, ""vol_window"": 63, ""smoothing"": ""sign"", ""demean_returns"": false, ""dollar_neutral"": true}",64
1,2015-04-10,2016-04-12,2016-04-13,2016-05-11,252,21,0.6181199049518332,"{""formation"": 252, ""vol_window"": 63, ""smoothing"": ""sign"", ""demean_returns"": false, ""dollar_neutral"": true}",64
2,2015-05-11,2016-05-11,2016-05-12,2016-06-10,252,21,0.8554250114495652,"{""formation"": 252, ""vol_window"": 63, ""smoothing"": ""sign"", ""demean_returns"": false, ""dollar_neutral"": true}",64
3,2015-06-12,2016-06-10,2016-06-13,2016-07-12,252,21,0.5894207954174987,"{""formation"": 252, ""vol_window"": 63, ""smoothing"": ""sign"", ""demean_returns"": false, ""dollar_neutral"": true}",64
4,2015-07-14,2016-07-12,2016-07-13,2016-08-11,252,21,0.5195562106689183,"{""formation"": 126, ""vol_window"": 63, ""smoothing"": ""sign"", ""demean_returns"": true, ""dollar_neutral"": false}",64
5,2015-08-12,2016-08-11,2016-08-12,2016-09-12,252,21,0.4774935166357626,"{""formation"": 126, ""vol_window"": 63, ""smoothing"": ""sign"", ""demean_returns"": true, ""dollar_neutral"": false}",64
6,2015-09-11,2016-09-12,2016-09-13,2016-10-11,252,21,0.8694197109539609,"{""formation"": 126, ""vol_window"": 63, ""smoothing"": ""sign"", ""demean_returns"": true, ""dollar_neutral"": false}",64
7,2015-10-12,2016-10-11,2016-10-12,2016-11-09,252,21,1.0969304322609574,"{""formation"": 126, ""vol_window"": 63, ""smoothing"": ""sign"", ""demean_returns"": true, ""dollar_neutral"": false}",64
8,2015-11-10,2016-11-09,2016-11-10,2016-12-09,252,21,1.220474770072861,"{""formation"": 126, ""vol_window"": 63, ""smoothing"": ""sign"", ""demean_returns"": true, ""dollar_neutral"": false}",64
9,2015-12-10,2016-12-09,2016-12-12,2017-01-11,252,21,1.0731229858274283,"{""formation"": 126, ""vol_window"": 63, ""smoothing"": ""sign"", ""demean_returns"": true, ""dollar_neutral"": false}",64
10,2016-01-12,2017-01-11,2017-01-12,2017-02-10,252,21,0.6244809964603967,"{""formation"": 126, ""vol_window"": 63, ""smoothing"": ""sign"", ""demean_returns"": true, ""dollar_neutral"": false}",64
11,2016-02-11,2017-02-10,2017-02-13,2017-03-14,252,21,0.13295785005520594,"{""formation"": 126, ""vol_window"": 63, ""smoothing"": ""tanh"", ""demean_returns"": false, ""dollar_neutral"": false}",64
