fold,train_start,train_end,test_start,test_end,train_days,test_days,in_sample_objective,params,grid_size
0,2015-03-11,2016-03-11,2016-03-14,2016-04-12,252,21,0.4851486052568378,"{""formation"": 252, ""skip"": 21, ""criterion"": ""cumulative"", ""fraction"": 0.17, ""weighting"": ""inverse_vol""}",72
1,2015-04-10,2016-04-12,2016-04-13,2016-05-11,252,21,0.621387769530407,"{""formation"": 252, ""skip"": 21, ""criterion"": ""cumulative"", ""fraction"": 0.17, ""weighting"": ""inverse_vol""}",72
2,2015-05-11,2016-05-11,2016-05-12,2016-06-10,252,21,0.9279106089796781,"{""formation"": 252, ""skip"": 21, ""criterion"": ""cumulative"", ""fraction"": 0.17, ""weighting"": ""inverse_vol""}",72
3,2015-06-12,2016-06-10,2016-06-13,2016-07-12,252,21,0.7189888387064057,"{""formation"": 252, ""skip"": 21, ""criterion"": ""cumulative"", ""fraction"": 0.17, ""weighting"": ""inverse_vol""}",72
4,2015-07-14,2016-07-12,2016-07-13,2016-08-11,252,21,0.584316046070656,"{""formation"": 252, ""skip"": 21, ""criterion"": ""cumulative"", ""fraction"": 0.17, ""weighting"": ""inverse_vol""}",72
5,2015-08-12,2016-08-11,2016-08-12,2016-09-12,252,21,0.39131408561882236,"{""formation"": 126, ""skip"": 21, ""criterion"": ""risk_adjusted"", ""fraction"": 0.17, ""weighting"": ""inverse_vol""}",72
6,2015-09-11,2016-09-12,2016-09-13,2016-10-11,252,21,0.3731277324939487,"{""formation"": 126, ""skip"": 0, ""criterion"": ""cumulative"", ""fraction"": 0.34, ""weighting"": ""inverse_vol""}",72
7,2015-10-12,2016-10-11,2016-10-12,2016-11-09,252,21,0.5847044371720422,"{""formation"": 126, ""skip"": 0, ""criterion"": ""mean"", ""fraction"": 0.34, ""weighting"": ""inverse_vol""}",72
8,2015-11-10,2016-11-09,2016-11-10,2016-12-09,252,21,0.5706799519856012,"{""formation"": 126, ""skip"": 0, ""criterion"": ""mean"", ""fraction"": 0.34, ""weighting"": ""inverse_vol""}",72
9,2015-12-10,2016-12-09,2016-12-12,2017-01-11,252,21,0.4670542616428218,"{""formation"": 126, ""skip"": 0, ""criterion"": ""mean"", ""fraction"": 0.34, ""weighting"": ""inverse_vol""}",72
10,2016-01-12,2017-01-11,2017-01-12,2017-02-10,252,21,-0.14053510305192582,"{""formation"": 126, ""skip"": 0, ""criterion"": ""mean"", ""fraction"": 0.34, ""weighting"": ""inverse_vol""}",72
11,2016-02-11,2017-02-10,2017-02-13,2017-03-14,252,21,-0.09125016811872447,"{""formation"": 63, ""skip"": 21, ""criterion"": ""mean"", ""fraction"": 0.17, ""weighting"": ""inverse_vol""}",72
12,2016-03-14,2017-03-14,2017-03-15,2017-04-12,252,21,0.21659161152626832,"{""formation"": 63, ""skip"": 21, ""criterion"": ""mean"", ""fraction"": 0.17, ""weighting"": ""uniform""}",72
13,2016-04-13,2017-04-12,2017-04-13,2017-05-15,252,21,0.2631357755107009,"{""formation"": 63, ""skip"": 21, ""criterion"": ""mean"", ""fraction"": 0.17, ""weighting"": ""uniform""}",72
14,2016-05-12,2017-05-15,2017-05-16,2017-06-14,252,21,0.10907240939752769,"{""formation"": 63, ""skip"": 21, ""criterion"": ""cumulative"", ""fraction"": 0.17, ""weighting"": ""uniform""}",72
15,2016-06-13,2017-06-14,2017-06-15,2017-07-14,252,21,0.32475617593105927,"{""formation"": 63, ""skip"": 21, ""criterion"": ""cumulative"", ""fraction"": 0.17, ""weighting"": ""uniform""}",72
16,2016-07-13,2017-07-14,2017-07-17,2017-08-14,252,21,0.43057315527259116,"{""formation"": 63, ""skip"": 21, ""criterion"": ""cumulative"", ""fraction"": 0.17, ""weighting"": ""inverse_vol""}",72
17,2016-08-12,2017-08-14,2017-08-15,2017-09-13,252,21,0.36840046131285037,"{""formation"": 63, ""skip"": 21, ""criterion"": ""cumulative"", ""fraction"": 0.17, ""weighting"": ""inverse_vol""}",72
