fold,train_start,train_end,test_start,test_end,train_days,test_days,in_sample_objective,params,grid_size
0,2015-03-11,2016-03-09,2016-03-10,2016-04-08,252,21,0.839828080433602,"{""lookback"": 5, ""n_factors"": 2, ""vol_window"": 63, ""weighted"": true}",12
1,2015-04-10,2016-04-08,2016-04-11,2016-05-09,252,21,0.654873589629419,"{""lookback"": 5, ""n_factors"": 2, ""vol_window"": 63, ""weighted"": true}",12
2,2015-05-11,2016-05-09,2016-05-10,2016-06-08,252,21,0.6399286936418587,"{""lookback"": 5, ""n_factors"": 2, ""vol_window"": 63, ""weighted"": true}",12
3,2015-06-10,2016-06-08,2016-06-09,2016-07-08,252,21,0.23740192177012354,"{""lookback"": 5, ""n_factors"": 2, ""vol_window"": 63, ""weighted"": true}",12
4,2015-07-10,2016-07-08,2016-07-11,2016-08-08,252,21,0.9582050391122172,"{""lookback"": 5, ""n_factors"": 2, ""vol_window"": 63, ""weighted"": true}",12
5,2015-08-10,2016-08-08,2016-08-09,2016-09-07,252,21,1.8538791102029684,"{""lookback"": 5, ""n_factors"": 2, ""vol_window"": 63, ""weighted"": true}",12
6,2015-09-09,2016-09-07,2016-09-08,2016-10-06,252,21,0.8761840651884834,"{""lookback"": 5, ""n_factors"": 2, ""vol_window"": 63, ""weighted"": true}",12
7,2015-10-08,2016-10-06,2016-10-07,2016-11-04,252,21,1.198132102165809,"{""lookback"": 5, ""n_factors"": 2, ""vol_window"": 63, ""weighted"": true}",12
8,2015-11-06,2016-11-04,2016-11-07,2016-12-06,252,21,0.8427263770484961,"{""lookback"": 5, ""n_factors"": 2, ""vol_window"": 63, ""weighted"": true}",12
9,2015-12-08,2016-12-06,2016-12-07,2017-01-06,252,21,0.029856209806875724,"{""lookback"": 5, ""n_factors"": 2, ""vol_window"": 63, ""weighted"": true}",12
10,2016-01-08,2017-01-06,2017-01-09,2017-02-07,252,21,-0.46553610471080276,"{""lookback"": 5, ""n_factors"": 2, ""vol_window"": 63, ""weighted"": true}",12
11,2016-02-09,2017-02-07,2017-02-08,2017-03-09,252,21,-0.956670643387352,"{""lookback"": 21, ""n_factors"": 2, ""vol_window"": 63, ""weighted"": false}",12
12,2016-03-10,2017-03-09,2017-03-10,2017-04-07,252,21,-0.7908931292820922,"{""lookback"": 5, ""n_factors"": 2, ""vol_window"": 63, ""weighted"": false}",12
13,2016-04-11,2017-04-07,2017-04-10,2017-05-09,252,21,-0.5854564704512375,"{""lookback"": 5, ""n_factors"": 2, ""vol_window"": 63, ""weighted"": false}",12
14,2016-05-10,2017-05-09,2017-05-10,2017-06-08,252,21,0.2649698045999928,"{""lookback"": 5, ""n_factors"": 2, ""vol_window"": 63, ""weighted"": false}",12
15,2016-06-09,2017-06-08,2017-06-09,2017-07-10,252,21,-0.1805392460262087,"{""lookback"": 1, ""n_factors"": 2, ""vol_window"": 63, ""weighted"": true}",12
16,2016-07-11,2017-07-10,2017-07-11,2017-08-08,252,21,-0.6413092950049795,"{""lookback"": 21, ""n_factors"": 2, ""vol_window"": 63, ""weighted"": false}",12
17,2016-08-09,2017-08-08,2017-08-09,2017-09-07,252,21,-0.4304027699224716,"{""lookback"": 1, ""n_factors"": 2, ""vol_window"": 63, ""weighted"": false}",12
