fold,train_start,train_end,test_start,test_end,train_days,test_days,in_sample_objective,params,grid_size
0,2015-03-11,2016-03-09,2016-03-10,2016-04-08,252,21,1.1219694744704958,"{""length"": 50, ""kind"": ""sma"", ""lam"": 0.9, ""long_only"": true}",16
1,2015-04-10,2016-04-08,2016-04-11,2016-05-09,252,21,1.3271008865282305,"{""length"": 100, ""kind"": ""sma"", ""lam"": 0.9, ""long_only"": true}",16
2,2015-05-11,2016-05-09,2016-05-10,2016-06-08,252,21,1.0513818743291519,"{""length"": 50, ""kind"": ""sma"", ""lam"": 0.9, ""long_only"": true}",16
3,2015-06-10,2016-06-08,2016-06-09,2016-07-08,252,21,1.5198757558661564,"{""length"": 50, ""kind"": ""sma"", ""lam"": 0.9, ""long_only"": true}",16
4,2015-07-10,2016-07-08,2016-07-11,2016-08-08,252,21,1.6211515009855857,"{""length"": 50, ""kind"": ""sma"", ""lam"": 0.9, ""long_only"": true}",16
5,2015-08-10,2016-08-08,2016-08-09,2016-09-07,252,21,1.7544935143259892,"{""length"": 50, ""kind"": ""sma"", ""lam"": 0.9, ""long_only"": true}",16
6,2015-09-09,2016-09-07,2016-09-08,2016-10-06,252,21,2.574386169239354,"{""length"": 50, ""kind"": ""sma"", ""lam"": 0.9, ""long_only"": true}",16
7,2015-10-08,2016-10-06,2016-10-07,2016-11-04,252,21,2.3486709140721516,"{""length"": 50, ""kind"": ""sma"", ""lam"": 0.9, ""long_only"": true}",16
8,2015-11-06,2016-11-04,2016-11-07,2016-12-06,252,21,1.4844492944342593,"{""length"": 50, ""kind"": ""sma"", ""lam"": 0.9, ""long_only"": true}",16
9,2015-12-08,2016-12-06,2016-12-07,2017-01-06,252,21,2.130196043571703,"{""length"": 50, ""kind"": ""sma"", ""lam"": 0.9, ""long_only"": true}",16
10,2016-01-08,2017-01-06,2017-01-09,2017-02-07,252,21,3.021838683140298,"{""length"": 50, ""kind"": ""sma"", ""lam"": 0.9, ""long_only"": true}",16
11,2016-02-09,2017-02-07,2017-02-08,2017-03-09,252,21,3.526410022654077,"{""length"": 200, ""kind"": ""sma"", ""lam"": 0.9, ""long_only"": true}",16
12,2016-03-10,2017-03-09,2017-03-10,2017-04-07,252,21,3.3068643507433686,"{""length"": 50, ""kind"": ""sma"", ""lam"": 0.9, ""long_only"": true}",16
13,2016-04-11,2017-04-07,2017-04-10,2017-05-09,252,21,3.0306917879821835,"{""length"": 50, ""kind"": ""sma"", ""lam"": 0.9, ""long_only"": true}",16
14,2016-05-10,2017-05-09,2017-05-10,2017-06-08,252,21,3.3380109635388413,"{""length"": 50, ""kind"": ""sma"", ""lam"": 0.9, ""long_only"": true}",16
15,2016-06-09,2017-06-08,2017-06-09,2017-07-10,252,21,3.5712912251136095,"{""length"": 50, ""kind"": ""sma"", ""lam"": 0.9, ""long_only"": true}",16
16,2016-07-11,2017-07-10,2017-07-11,2017-08-08,252,21,3.1710755788121094,"{""length"": 200, ""kind"": ""sma"", ""lam"": 0.9, ""long_only"": true}",16
