fold,train_start,train_end,test_start,test_end,train_days,test_days,in_sample_objective,params,grid_size
0,2015-03-11,2016-03-11,2016-03-14,2016-04-12,252,21,1.0381942584589974,"{""fast"": 20, ""slow"": 30, ""kind"": ""sma"", ""stop_loss"": 0.02}",36
1,2015-04-10,2016-04-12,2016-04-13,2016-05-11,252,21,1.1898694875864926,"{""fast"": 20, ""slow"": 30, ""kind"": ""sma"", ""stop_loss"": 0.02}",36
2,2015-05-11,2016-05-11,2016-05-12,2016-06-10,252,21,1.1599707669403736,"{""fast"": 20, ""slow"": 30, ""kind"": ""sma"", ""stop_loss"": 0.02}",36
3,2015-06-12,2016-06-10,2016-06-13,2016-07-12,252,21,0.979960505571818,"{""fast"": 20, ""slow"": 30, ""kind"": ""sma"", ""stop_loss"": 0.02}",36
4,2015-07-14,2016-07-12,2016-07-13,2016-08-11,252,21,0.5396018869063033,"{""fast"": 20, ""slow"": 30, ""kind"": ""sma"", ""stop_loss"": 0.02}",36
5,2015-08-12,2016-08-11,2016-08-12,2016-09-12,252,21,0.39890429646269726,"{""fast"": 20, ""slow"": 30, ""kind"": ""sma"", ""stop_loss"": 0.02}",36
6,2015-09-11,2016-09-12,2016-09-13,2016-10-11,252,21,0.5879359058404123,"{""fast"": 20, ""slow"": 30, ""kind"": ""sma"", ""stop_loss"": 0.02}",36
7,2015-10-12,2016-10-11,2016-10-12,2016-11-09,252,21,0.4554397316894341,"{""fast"": 20, ""slow"": 30, ""kind"": ""sma"", ""stop_loss"": 0.02}",36
8,2015-11-10,2016-11-09,2016-11-10,2016-12-09,252,21,0.26453675805167814,"{""fast"": 20, ""slow"": 30, ""kind"": ""sma"", ""stop_loss"": 0.02}",36
9,2015-12-10,2016-12-09,2016-12-12,2017-01-11,252,21,0.4765097262393929,"{""fast"": 20, ""slow"": 30, ""kind"": ""sma"", ""stop_loss"": 0.02}",36
10,2016-01-12,2017-01-11,2017-01-12,2017-02-10,252,21,0.10924051583964788,"{""fast"": 20, ""slow"": 50, ""kind"": ""sma"", ""stop_loss"": 0.0}",36
11,2016-02-11,2017-02-10,2017-02-13,2017-03-14,252,21,-0.33424753745623326,"{""fast"": 20, ""slow"": 50, ""kind"": ""sma"", ""stop_loss"": 0.0}",36
12,2016-03-14,2017-03-14,2017-03-15,2017-04-12,252,21,1.1683228988526815,"{""fast"": 20, ""slow"": 50, ""kind"": ""sma"", ""stop_loss"": 0.0}",36
13,2016-04-13,2017-04-12,2017-04-13,2017-05-15,252,21,0.6761784997930923,"{""fast"": 20, ""slow"": 50, ""kind"": ""sma"", ""stop_loss"": 0.0}",36
14,2016-05-12,2017-05-15,2017-05-16,2017-06-14,252,21,0.9187705120688084,"{""fast"": 20, ""slow"": 100, ""kind"": ""sma"", ""stop_loss"": 0.0}",36
15,2016-06-13,2017-06-14,2017-06-15,2017-07-14,252,21,1.1252663780487753,"{""fast"": 20, ""slow"": 50, ""kind"": ""sma"", ""stop_loss"": 0.0}",36
16,2016-07-13,2017-07-14,2017-07-17,2017-08-14,252,21,1.1260811051367836,"{""fast"": 20, ""slow"": 50, ""kind"": ""sma"", ""stop_loss"": 0.0}",36
17,2016-08-12,2017-08-14,2017-08-15,2017-09-13,252,21,1.0161084195187,"{""fast"": 20, ""slow"": 100, ""kind"": ""sma"", ""stop_loss"": 0.0}",36
18,2016-09-13,2017-09-13,2017-09-14,2017-10-12,252,21,1.4050951942512915,"{""fast"": 20, ""slow"": 100, ""kind"": ""sma"", ""stop_loss"": 0.0}",36
