fold,train_start,train_end,test_start,test_end,train_days,test_days,in_sample_objective,params,grid_size
0,2015-03-11,2016-03-11,2016-03-14,2016-04-12,252,21,-0.3582029136649661,"{""t1"": 10, ""t2"": 20, ""t3"": 21, ""kind"": ""sma""}",54
1,2015-04-10,2016-04-12,2016-04-13,2016-05-11,252,21,-0.10677529375853488,"{""t1"": 3, ""t2"": 20, ""t3"": 21, ""kind"": ""sma""}",54
2,2015-05-11,2016-05-11,2016-05-12,2016-06-10,252,21,-0.15342175442002587,"{""t1"": 3, ""t2"": 20, ""t3"": 21, ""kind"": ""sma""}",54
3,2015-06-12,2016-06-10,2016-06-13,2016-07-12,252,21,-0.2366132353586605,"{""t1"": 3, ""t2"": 20, ""t3"": 21, ""kind"": ""sma""}",54
4,2015-07-14,2016-07-12,2016-07-13,2016-08-11,252,21,-0.5070420703842193,"{""t1"": 10, ""t2"": 20, ""t3"": 21, ""kind"": ""sma""}",54
5,2015-08-12,2016-08-11,2016-08-12,2016-09-12,252,21,-0.5764565490497285,"{""t1"": 3, ""t2"": 20, ""t3"": 21, ""kind"": ""sma""}",54
6,2015-09-11,2016-09-12,2016-09-13,2016-10-11,252,21,-0.3025010963564084,"{""t1"": 5, ""t2"": 21, ""t3"": 50, ""kind"": ""sma""}",54
7,2015-10-12,2016-10-11,2016-10-12,2016-11-09,252,21,-0.05684595408797293,"{""t1"": 5, ""t2"": 21, ""t3"": 50, ""kind"": ""sma""}",54
8,2015-11-10,2016-11-09,2016-11-10,2016-12-09,252,21,-0.2173736333456094,"{""t1"": 5, ""t2"": 21, ""t3"": 50, ""kind"": ""sma""}",54
9,2015-12-10,2016-12-09,2016-12-12,2017-01-11,252,21,0.13973439430791895,"{""t1"": 5, ""t2"": 21, ""t3"": 50, ""kind"": ""sma""}",54
10,2016-01-12,2017-01-11,2017-01-12,2017-02-10,252,21,-0.10694506608082716,"{""t1"": 5, ""t2"": 21, ""t3"": 50, ""kind"": ""sma""}",54
11,2016-02-11,2017-02-10,2017-02-13,2017-03-14,252,21,-0.5608881284925517,"{""t1"": 10, ""t2"": 20, ""t3"": 50, ""kind"": ""sma""}",54
12,2016-03-14,2017-03-14,2017-03-15,2017-04-12,252,21,0.3081508851113703,"{""t1"": 5, ""t2"": 21, ""t3"": 50, ""kind"": ""sma""}",54
13,2016-04-13,2017-04-12,2017-04-13,2017-05-15,252,21,-0.12867622064265902,"{""t1"": 5, ""t2"": 21, ""t3"": 100, ""kind"": ""sma""}",54
14,2016-05-12,2017-05-15,2017-05-16,2017-06-14,252,21,0.2092445312740547,"{""t1"": 10, ""t2"": 20, ""t3"": 100, ""kind"": ""sma""}",54
15,2016-06-13,2017-06-14,2017-06-15,2017-07-14,252,21,0.6105559725671938,"{""t1"": 10, ""t2"": 20, ""t3"": 100, ""kind"": ""sma""}",54
16,2016-07-13,2017-07-14,2017-07-17,2017-08-14,252,21,0.516635196184747,"{""t1"": 10, ""t2"": 20, ""t3"": 100, ""kind"": ""sma""}",54
17,2016-08-12,2017-08-14,2017-08-15,2017-09-13,252,21,0.2892731515408936,"{""t1"": 10, ""t2"": 20, ""t3"": 100, ""kind"": ""sma""}",54
18,2016-09-13,2017-09-13,2017-09-14,2017-10-12,252,21,0.46661156764766065,"{""t1"": 10, ""t2"": 20, ""t3"": 100, ""kind"": ""sma""}",54
19,2016-10-12,2017-10-12,2017-10-13,2017-11-10,252,21,1.3444319745125466,"{""t1"": 10, ""t2"": 20, ""t3"": 100, ""kind"": ""sma""}",54
20,2016-11-10,2017-11-10,2017-11-13,2017-12-12,252,21,1.6210136482445643,"{""t1"": 10, ""t2"": 21, ""t3"": 100, ""kind"": ""sma""}",54
21,2016-12-12,2017-12-12,2017-12-13,2018-01-12,252,21,1.5272091978074656,"{""t1"": 10, ""t2"": 21, ""t3"": 100, ""kind"": ""sma""}",54
22,2017-01-12,2018-01-12,2018-01-16,2018-02-13,252,21,2.7647581517934046,"{""t1"": 10, ""t2"": 21, ""t3"": 100, ""kind"": ""sma""}",54
23,2017-02-13,2018-02-13,2018-02-14,2018-03-15,252,21,1.1911965800383095,"{""t1"": 3, ""t2"": 21, ""t3"": 100, ""kind"": ""sma""}",54
24,2017-03-15,2018-03-15,2018-03-16,2018-04-16,252,21,0.6346989815604623,"{""t1"": 10, ""t2"": 21, ""t3"": 100, ""kind"": ""sma""}",54
25,2017-04-13,2018-04-16,2018-04-17,2018-05-15,252,21,0.30791544921471103,"{""t1"": 3, ""t2"": 21, ""t3"": 100, ""kind"": ""sma""}",54
26,2017-05-16,2018-05-15,2018-05-16,2018-06-14,252,21,-0.3142632007133471,"{""t1"": 3, ""t2"": 21, ""t3"": 100, ""kind"": ""sma""}",54
27,2017-06-15,2018-06-14,2018-06-15,2018-07-16,252,21,-0.3318657323276039,"{""t1"": 3, ""t2"": 10, ""t3"": 100, ""kind"": ""sma""}",54
28,2017-07-17,2018-07-16,2018-07-17,2018-08-14,252,21,-0.04822708274398791,"{""t1"": 3, ""t2"": 10, ""t3"": 100, ""kind"": ""sma""}",54
29,2017-08-15,2018-08-14,2018-08-15,2018-09-13,252,21,0.033845986524277165,"{""t1"": 3, ""t2"": 10, ""t3"": 100, ""kind"": ""sma""}",54
30,2017-09-14,2018-09-13,2018-09-14,2018-10-12,252,21,0.4107634815740099,"{""t1"": 3, ""t2"": 10, ""t3"": 100, ""kind"": ""sma""}",54
31,2017-10-13,2018-10-12,2018-10-15,2018-11-12,252,21,-0.088812704020051,"{""t1"": 3, ""t2"": 10, ""t3"": 100, ""kind"": ""sma""}",54
32,2017-11-13,2018-11-12,2018-11-13,2018-12-13,252,21,-0.4217089069778843,"{""t1"": 3, ""t2"": 10, ""t3"": 100, ""kind"": ""sma""}",54
33,2017-12-13,2018-12-13,2018-12-14,2019-01-15,252,21,-0.5634447192871657,"{""t1"": 10, ""t2"": 21, ""t3"": 50, ""kind"": ""sma""}",54
34,2018-01-16,2019-01-15,2019-01-16,2019-02-14,252,21,-1.0103580387081046,"{""t1"": 3, ""t2"": 10, ""t3"": 50, ""kind"": ""sma""}",54
35,2018-02-14,2019-02-14,2019-02-15,2019-03-18,252,21,-0.37991438503833075,"{""t1"": 5, ""t2"": 10, ""t3"": 21, ""kind"": ""sma""}",54
36,2018-03-16,2019-03-18,2019-03-19,2019-04-16,252,21,-0.22003781750661172,"{""t1"": 3, ""t2"": 10, ""t3"": 50, ""kind"": ""sma""}",54
37,2018-04-17,2019-04-16,2019-04-17,2019-05-16,252,21,-0.032350653329335254,"{""t1"": 10, ""t2"": 20, ""t3"": 21, ""kind"": ""sma""}",54
38,2018-05-16,2019-05-16,2019-05-17,2019-06-17,252,21,0.23484726055360547,"{""t1"": 3, ""t2"": 10, ""t3"": 21, ""kind"": ""sma""}",54
39,2018-06-15,2019-06-17,2019-06-18,2019-07-17,252,21,0.21386121037880104,"{""t1"": 3, ""t2"": 10, ""t3"": 21, ""kind"": ""sma""}",54
40,2018-07-17,2019-07-17,2019-07-18,2019-08-15,252,21,0.42335962809379285,"{""t1"": 10, ""t2"": 20, ""t3"": 21, ""kind"": ""sma""}",54
41,2018-08-15,2019-08-15,2019-08-16,2019-09-16,252,21,0.4527819831299247,"{""t1"": 10, ""t2"": 20, ""t3"": 21, ""kind"": ""sma""}",54
42,2018-09-14,2019-09-16,2019-09-17,2019-10-15,252,21,0.20871597962829644,"{""t1"": 3, ""t2"": 10, ""t3"": 21, ""kind"": ""sma""}",54
43,2018-10-15,2019-10-15,2019-10-16,2019-11-13,252,21,-0.30674590833119514,"{""t1"": 3, ""t2"": 10, ""t3"": 21, ""kind"": ""sma""}",54
44,2018-11-13,2019-11-13,2019-11-14,2019-12-13,252,21,-0.06226177503648599,"{""t1"": 3, ""t2"": 10, ""t3"": 21, ""kind"": ""sma""}",54
45,2018-12-14,2019-12-13,2019-12-16,2020-01-15,252,21,0.20029594810852452,"{""t1"": 3, ""t2"": 10, ""t3"": 21, ""kind"": ""sma""}",54
46,2019-01-16,2020-01-15,2020-01-16,2020-02-14,252,21,0.631805022655838,"{""t1"": 10, ""t2"": 20, ""t3"": 21, ""kind"": ""sma""}",54
47,2019-02-15,2020-02-14,2020-02-18,2020-03-17,252,21,0.45446316480964166,"{""t1"": 10, ""t2"": 20, ""t3"": 100, ""kind"": ""sma""}",54
48,2019-03-19,2020-03-17,2020-03-18,2020-04-16,252,21,0.8996179043316322,"{""t1"": 3, ""t2"": 10, ""t3"": 21, ""kind"": ""sma""}",54
49,2019-04-17,2020-04-16,2020-04-17,2020-05-15,252,21,0.208244261615512,"{""t1"": 10, ""t2"": 20, ""t3"": 100, ""kind"": ""sma""}",54
50,2019-05-17,2020-05-15,2020-05-18,2020-06-16,252,21,0.1956153071878066,"{""t1"": 10, ""t2"": 20, ""t3"": 100, ""kind"": ""sma""}",54
51,2019-06-18,2020-06-16,2020-06-17,2020-07-16,252,21,0.2469182649481805,"{""t1"": 10, ""t2"": 20, ""t3"": 50, ""kind"": ""sma""}",54
52,2019-07-18,2020-07-16,2020-07-17,2020-08-14,252,21,0.17905831256569935,"{""t1"": 10, ""t2"": 20, ""t3"": 50, ""kind"": ""sma""}",54
53,2019-08-16,2020-08-14,2020-08-17,2020-09-15,252,21,0.29996579216188973,"{""t1"": 10, ""t2"": 20, ""t3"": 50, ""kind"": ""sma""}",54
54,2019-09-17,2020-09-15,2020-09-16,2020-10-14,252,21,0.4242259440983649,"{""t1"": 10, ""t2"": 20, ""t3"": 50, ""kind"": ""sma""}",54
55,2019-10-16,2020-10-14,2020-10-15,2020-11-13,252,21,0.372034168750661,"{""t1"": 10, ""t2"": 20, ""t3"": 50, ""kind"": ""sma""}",54
56,2019-11-14,2020-11-13,2020-11-16,2020-12-15,252,21,0.16098866320983954,"{""t1"": 10, ""t2"": 21, ""t3"": 50, ""kind"": ""sma""}",54
57,2019-12-16,2020-12-15,2020-12-16,2021-01-15,252,21,0.24245806461078082,"{""t1"": 10, ""t2"": 21, ""t3"": 50, ""kind"": ""sma""}",54
58,2020-01-16,2021-01-15,2021-01-19,2021-02-17,252,21,0.2232974409613742,"{""t1"": 10, ""t2"": 21, ""t3"": 50, ""kind"": ""sma""}",54
59,2020-02-18,2021-02-17,2021-02-18,2021-03-18,252,21,0.13232867195296763,"{""t1"": 10, ""t2"": 21, ""t3"": 50, ""kind"": ""sma""}",54
60,2020-03-18,2021-03-18,2021-03-19,2021-04-19,252,21,-0.8598448378468062,"{""t1"": 10, ""t2"": 21, ""t3"": 50, ""kind"": ""sma""}",54
61,2020-04-17,2021-04-19,2021-04-20,2021-05-18,252,21,0.23731489840089212,"{""t1"": 10, ""t2"": 21, ""t3"": 50, ""kind"": ""sma""}",54
62,2020-05-18,2021-05-18,2021-05-19,2021-06-17,252,21,0.4969645698162947,"{""t1"": 10, ""t2"": 21, ""t3"": 100, ""kind"": ""sma""}",54
63,2020-06-17,2021-06-17,2021-06-18,2021-07-19,252,21,0.8326741498735909,"{""t1"": 3, ""t2"": 20, ""t3"": 100, ""kind"": ""sma""}",54
64,2020-07-17,2021-07-19,2021-07-20,2021-08-17,252,21,0.7576485454161497,"{""t1"": 3, ""t2"": 10, ""t3"": 100, ""kind"": ""sma""}",54
65,2020-08-17,2021-08-17,2021-08-18,2021-09-16,252,21,0.5398926476265874,"{""t1"": 3, ""t2"": 20, ""t3"": 100, ""kind"": ""sma""}",54
66,2020-09-16,2021-09-16,2021-09-17,2021-10-15,252,21,0.49505172448386686,"{""t1"": 3, ""t2"": 20, ""t3"": 100, ""kind"": ""sma""}",54
67,2020-10-15,2021-10-15,2021-10-18,2021-11-15,252,21,0.46911448312716714,"{""t1"": 10, ""t2"": 20, ""t3"": 100, ""kind"": ""sma""}",54
68,2020-11-16,2021-11-15,2021-11-16,2021-12-15,252,21,1.139877420237325,"{""t1"": 10, ""t2"": 20, ""t3"": 100, ""kind"": ""sma""}",54
69,2020-12-16,2021-12-15,2021-12-16,2022-01-14,252,21,0.7891158555564883,"{""t1"": 10, ""t2"": 21, ""t3"": 100, ""kind"": ""sma""}",54
70,2021-01-19,2022-01-14,2022-01-18,2022-02-15,252,21,0.5169201932778028,"{""t1"": 10, ""t2"": 20, ""t3"": 100, ""kind"": ""sma""}",54
71,2021-02-18,2022-02-15,2022-02-16,2022-03-17,252,21,0.214452140440253,"{""t1"": 10, ""t2"": 20, ""t3"": 100, ""kind"": ""sma""}",54
72,2021-03-19,2022-03-17,2022-03-18,2022-04-18,252,21,-0.332604145726446,"{""t1"": 10, ""t2"": 20, ""t3"": 21, ""kind"": ""sma""}",54
73,2021-04-20,2022-04-18,2022-04-19,2022-05-17,252,21,-0.33148485423670027,"{""t1"": 3, ""t2"": 20, ""t3"": 100, ""kind"": ""sma""}",54
74,2021-05-19,2022-05-17,2022-05-18,2022-06-16,252,21,-0.3385726966109138,"{""t1"": 10, ""t2"": 20, ""t3"": 100, ""kind"": ""sma""}",54
75,2021-06-18,2022-06-16,2022-06-17,2022-07-19,252,21,-0.14302557064705296,"{""t1"": 3, ""t2"": 20, ""t3"": 100, ""kind"": ""sma""}",54
76,2021-07-20,2022-07-19,2022-07-20,2022-08-17,252,21,-0.8352997329015687,"{""t1"": 5, ""t2"": 10, ""t3"": 100, ""kind"": ""sma""}",54
77,2021-08-18,2022-08-17,2022-08-18,2022-09-16,252,21,-0.6880377122308984,"{""t1"": 5, ""t2"": 10, ""t3"": 50, ""kind"": ""sma""}",54
78,2021-09-17,2022-09-16,2022-09-19,2022-10-17,252,21,-0.6579563644103239,"{""t1"": 5, ""t2"": 10, ""t3"": 21, ""kind"": ""sma""}",54
79,2021-10-18,2022-10-17,2022-10-18,2022-11-15,252,21,-0.5120000932393103,"{""t1"": 3, ""t2"": 10, ""t3"": 21, ""kind"": ""sma""}",54
80,2021-11-16,2022-11-15,2022-11-16,2022-12-15,252,21,-0.30205083711268593,"{""t1"": 5, ""t2"": 10, ""t3"": 21, ""kind"": ""sma""}",54
81,2021-12-16,2022-12-15,2022-12-16,2023-01-18,252,21,-0.2769200056604164,"{""t1"": 5, ""t2"": 10, ""t3"": 21, ""kind"": ""sma""}",54
82,2022-01-18,2023-01-18,2023-01-19,2023-02-16,252,21,-0.42951137433497805,"{""t1"": 5, ""t2"": 10, ""t3"": 21, ""kind"": ""sma""}",54
83,2022-02-16,2023-02-16,2023-02-17,2023-03-20,252,21,-0.2685614733307917,"{""t1"": 5, ""t2"": 10, ""t3"": 21, ""kind"": ""sma""}",54
84,2022-03-18,2023-03-20,2023-03-21,2023-04-19,252,21,0.01095205554240989,"{""t1"": 5, ""t2"": 10, ""t3"": 21, ""kind"": ""sma""}",54
85,2022-04-19,2023-04-19,2023-04-20,2023-05-18,252,21,-0.07316285128147794,"{""t1"": 5, ""t2"": 20, ""t3"": 21, ""kind"": ""sma""}",54
86,2022-05-18,2023-05-18,2023-05-19,2023-06-21,252,21,-0.2571018191969956,"{""t1"": 5, ""t2"": 10, ""t3"": 21, ""kind"": ""sma""}",54
87,2022-06-17,2023-06-21,2023-06-22,2023-07-21,252,21,0.26246491140826456,"{""t1"": 5, ""t2"": 20, ""t3"": 21, ""kind"": ""sma""}",54
88,2022-07-20,2023-07-21,2023-07-24,2023-08-21,252,21,0.7839927291021258,"{""t1"": 5, ""t2"": 10, ""t3"": 21, ""kind"": ""sma""}",54
89,2022-08-18,2023-08-21,2023-08-22,2023-09-20,252,21,0.4319897167508792,"{""t1"": 5, ""t2"": 10, ""t3"": 21, ""kind"": ""sma""}",54
90,2022-09-19,2023-09-20,2023-09-21,2023-10-19,252,21,0.47171669047185805,"{""t1"": 10, ""t2"": 20, ""t3"": 21, ""kind"": ""sma""}",54
91,2022-10-18,2023-10-19,2023-10-20,2023-11-17,252,21,0.40008726678448175,"{""t1"": 5, ""t2"": 20, ""t3"": 21, ""kind"": ""sma""}",54
92,2022-11-16,2023-11-17,2023-11-20,2023-12-19,252,21,-0.29215563863989935,"{""t1"": 5, ""t2"": 10, ""t3"": 21, ""kind"": ""sma""}",54
93,2022-12-16,2023-12-19,2023-12-20,2024-01-22,252,21,0.514396228238715,"{""t1"": 3, ""t2"": 10, ""t3"": 21, ""kind"": ""sma""}",54
94,2023-01-19,2024-01-22,2024-01-23,2024-02-21,252,21,0.5988799141219275,"{""t1"": 10, ""t2"": 20, ""t3"": 21, ""kind"": ""sma""}",54
95,2023-02-17,2024-02-21,2024-02-22,2024-03-21,252,21,0.31176107854498397,"{""t1"": 3, ""t2"": 10, ""t3"": 21, ""kind"": ""sma""}",54
96,2023-03-21,2024-03-21,2024-03-22,2024-04-22,252,21,0.5702175920156594,"{""t1"": 3, ""t2"": 20, ""t3"": 21, ""kind"": ""sma""}",54
