fold,train_start,train_end,test_start,test_end,train_days,test_days,in_sample_objective,params,grid_size
0,2015-03-11,2016-03-09,2016-03-10,2016-04-08,252,21,0.5051063149501177,"{""lookback"": 5, ""long_only"": true}",6
1,2015-04-10,2016-04-08,2016-04-11,2016-05-09,252,21,0.5160095672134178,"{""lookback"": 5, ""long_only"": true}",6
2,2015-05-11,2016-05-09,2016-05-10,2016-06-08,252,21,0.43053518517161415,"{""lookback"": 5, ""long_only"": true}",6
3,2015-06-10,2016-06-08,2016-06-09,2016-07-08,252,21,0.8747711966220245,"{""lookback"": 5, ""long_only"": true}",6
4,2015-07-10,2016-07-08,2016-07-11,2016-08-08,252,21,0.84126521396097,"{""lookback"": 5, ""long_only"": true}",6
5,2015-08-10,2016-08-08,2016-08-09,2016-09-07,252,21,1.1167108742356409,"{""lookback"": 1, ""long_only"": true}",6
6,2015-09-09,2016-09-07,2016-09-08,2016-10-06,252,21,1.1759019550726733,"{""lookback"": 1, ""long_only"": true}",6
7,2015-10-08,2016-10-06,2016-10-07,2016-11-04,252,21,0.799095603187346,"{""lookback"": 1, ""long_only"": true}",6
8,2015-11-06,2016-11-04,2016-11-07,2016-12-06,252,21,0.5203455405638677,"{""lookback"": 1, ""long_only"": true}",6
9,2015-12-08,2016-12-06,2016-12-07,2017-01-06,252,21,0.9158540065436758,"{""lookback"": 1, ""long_only"": true}",6
10,2016-01-08,2017-01-06,2017-01-09,2017-02-07,252,21,1.987343450604642,"{""lookback"": 1, ""long_only"": true}",6
11,2016-02-09,2017-02-07,2017-02-08,2017-03-09,252,21,3.2651144274566506,"{""lookback"": 1, ""long_only"": true}",6
12,2016-03-10,2017-03-09,2017-03-10,2017-04-07,252,21,2.7330149228716496,"{""lookback"": 1, ""long_only"": true}",6
13,2016-04-11,2017-04-07,2017-04-10,2017-05-09,252,21,2.262025637968176,"{""lookback"": 1, ""long_only"": true}",6
14,2016-05-10,2017-05-09,2017-05-10,2017-06-08,252,21,2.374089983939848,"{""lookback"": 1, ""long_only"": true}",6
15,2016-06-09,2017-06-08,2017-06-09,2017-07-10,252,21,2.387127577737709,"{""lookback"": 1, ""long_only"": true}",6
16,2016-07-11,2017-07-10,2017-07-11,2017-08-08,252,21,2.326854631184151,"{""lookback"": 1, ""long_only"": true}",6
