fold,train_start,train_end,test_start,test_end,train_days,test_days,in_sample_objective,params,grid_size
0,2015-03-11,2016-03-09,2016-03-10,2016-04-08,252,21,1.7384875039146221,"{""length"": 50, ""mode"": ""breakout"", ""long_only"": true}",12
1,2015-04-10,2016-04-08,2016-04-11,2016-05-09,252,21,1.9203016806205568,"{""length"": 20, ""mode"": ""breakout"", ""long_only"": true}",12
2,2015-05-11,2016-05-09,2016-05-10,2016-06-08,252,21,1.5729033209233825,"{""length"": 50, ""mode"": ""breakout"", ""long_only"": true}",12
3,2015-06-10,2016-06-08,2016-06-09,2016-07-08,252,21,1.9342472882753035,"{""length"": 20, ""mode"": ""breakout"", ""long_only"": true}",12
4,2015-07-10,2016-07-08,2016-07-11,2016-08-08,252,21,1.8937786849516849,"{""length"": 50, ""mode"": ""breakout"", ""long_only"": true}",12
5,2015-08-10,2016-08-08,2016-08-09,2016-09-07,252,21,1.978890576866771,"{""length"": 50, ""mode"": ""breakout"", ""long_only"": true}",12
6,2015-09-09,2016-09-07,2016-09-08,2016-10-06,252,21,2.5530926182132068,"{""length"": 50, ""mode"": ""breakout"", ""long_only"": true}",12
7,2015-10-08,2016-10-06,2016-10-07,2016-11-04,252,21,2.3263749730981362,"{""length"": 50, ""mode"": ""breakout"", ""long_only"": true}",12
8,2015-11-06,2016-11-04,2016-11-07,2016-12-06,252,21,1.4350657225331513,"{""length"": 20, ""mode"": ""breakout"", ""long_only"": true}",12
9,2015-12-08,2016-12-06,2016-12-07,2017-01-06,252,21,2.1432273611030106,"{""length"": 20, ""mode"": ""breakout"", ""long_only"": true}",12
10,2016-01-08,2017-01-06,2017-01-09,2017-02-07,252,21,2.9489644074440595,"{""length"": 20, ""mode"": ""breakout"", ""long_only"": true}",12
11,2016-02-09,2017-02-07,2017-02-08,2017-03-09,252,21,3.3503280249930145,"{""length"": 10, ""mode"": ""breakout"", ""long_only"": true}",12
12,2016-03-10,2017-03-09,2017-03-10,2017-04-07,252,21,3.2863679479931567,"{""length"": 10, ""mode"": ""breakout"", ""long_only"": true}",12
13,2016-04-11,2017-04-07,2017-04-10,2017-05-09,252,21,3.1414050176091624,"{""length"": 10, ""mode"": ""breakout"", ""long_only"": true}",12
14,2016-05-10,2017-05-09,2017-05-10,2017-06-08,252,21,3.3358520670963383,"{""length"": 50, ""mode"": ""breakout"", ""long_only"": true}",12
15,2016-06-09,2017-06-08,2017-06-09,2017-07-10,252,21,3.5365038491885086,"{""length"": 50, ""mode"": ""breakout"", ""long_only"": true}",12
16,2016-07-11,2017-07-10,2017-07-11,2017-08-08,252,21,3.2446371325961225,"{""length"": 50, ""mode"": ""breakout"", ""long_only"": true}",12
17,2016-08-09,2017-08-08,2017-08-09,2017-09-07,252,21,3.2262983090209367,"{""length"": 50, ""mode"": ""breakout"", ""long_only"": true}",12
18,2016-09-08,2017-09-07,2017-09-08,2017-10-06,252,21,2.970432066859571,"{""length"": 50, ""mode"": ""breakout"", ""long_only"": true}",12
19,2016-10-07,2017-10-06,2017-10-09,2017-11-06,252,21,2.9765188357037564,"{""length"": 50, ""mode"": ""breakout"", ""long_only"": true}",12
20,2016-11-07,2017-11-06,2017-11-07,2017-12-06,252,21,3.446564036030833,"{""length"": 20, ""mode"": ""breakout"", ""long_only"": true}",12
21,2016-12-07,2017-12-06,2017-12-07,2018-01-08,252,21,3.0077842059866713,"{""length"": 50, ""mode"": ""breakout"", ""long_only"": true}",12
22,2017-01-09,2018-01-08,2018-01-09,2018-02-07,252,21,3.0824656529570333,"{""length"": 50, ""mode"": ""breakout"", ""long_only"": true}",12
23,2017-02-08,2018-02-07,2018-02-08,2018-03-09,252,21,2.8599198385963116,"{""length"": 50, ""mode"": ""breakout"", ""long_only"": true}",12
24,2017-03-10,2018-03-09,2018-03-12,2018-04-10,252,21,3.1441117420857005,"{""length"": 50, ""mode"": ""breakout"", ""long_only"": true}",12
25,2017-04-10,2018-04-10,2018-04-11,2018-05-09,252,21,2.484574183410245,"{""length"": 50, ""mode"": ""breakout"", ""long_only"": false}",12
26,2017-05-10,2018-05-09,2018-05-10,2018-06-08,252,21,2.347853153058456,"{""length"": 50, ""mode"": ""breakout"", ""long_only"": false}",12
27,2017-06-09,2018-06-08,2018-06-11,2018-07-10,252,21,2.116570814272929,"{""length"": 50, ""mode"": ""breakout"", ""long_only"": false}",12
28,2017-07-11,2018-07-10,2018-07-11,2018-08-08,252,21,2.1072516154460184,"{""length"": 50, ""mode"": ""breakout"", ""long_only"": false}",12
29,2017-08-09,2018-08-08,2018-08-09,2018-09-07,252,21,2.151276276139202,"{""length"": 50, ""mode"": ""breakout"", ""long_only"": false}",12
30,2017-09-08,2018-09-07,2018-09-10,2018-10-08,252,21,2.275182885911081,"{""length"": 50, ""mode"": ""breakout"", ""long_only"": false}",12
31,2017-10-09,2018-10-08,2018-10-09,2018-11-06,252,21,1.8970850069566294,"{""length"": 50, ""mode"": ""breakout"", ""long_only"": false}",12
32,2017-11-07,2018-11-06,2018-11-07,2018-12-07,252,21,1.3588845745402545,"{""length"": 20, ""mode"": ""reversion"", ""long_only"": true}",12
33,2017-12-07,2018-12-07,2018-12-10,2019-01-09,252,21,1.4417455287941299,"{""length"": 10, ""mode"": ""reversion"", ""long_only"": false}",12
34,2018-01-09,2019-01-09,2019-01-10,2019-02-08,252,21,1.3023280568548101,"{""length"": 10, ""mode"": ""reversion"", ""long_only"": false}",12
35,2018-02-08,2019-02-08,2019-02-11,2019-03-12,252,21,1.8350614135091212,"{""length"": 10, ""mode"": ""reversion"", ""long_only"": false}",12
36,2018-03-12,2019-03-12,2019-03-13,2019-04-10,252,21,2.085339874911029,"{""length"": 10, ""mode"": ""reversion"", ""long_only"": false}",12
37,2018-04-11,2019-04-10,2019-04-11,2019-05-10,252,21,1.9575329593980026,"{""length"": 10, ""mode"": ""reversion"", ""long_only"": false}",12
38,2018-05-10,2019-05-10,2019-05-13,2019-06-11,252,21,1.7692949409458885,"{""length"": 10, ""mode"": ""reversion"", ""long_only"": false}",12
39,2018-06-11,2019-06-11,2019-06-12,2019-07-11,252,21,1.4948685945425926,"{""length"": 10, ""mode"": ""reversion"", ""long_only"": false}",12
40,2018-07-11,2019-07-11,2019-07-12,2019-08-09,252,21,0.9607645716065074,"{""length"": 10, ""mode"": ""reversion"", ""long_only"": false}",12
41,2018-08-09,2019-08-09,2019-08-12,2019-09-10,252,21,1.137264862266183,"{""length"": 50, ""mode"": ""reversion"", ""long_only"": false}",12
42,2018-09-10,2019-09-10,2019-09-11,2019-10-09,252,21,1.0385220186850046,"{""length"": 10, ""mode"": ""reversion"", ""long_only"": false}",12
43,2018-10-09,2019-10-09,2019-10-10,2019-11-07,252,21,0.9477086585111146,"{""length"": 50, ""mode"": ""reversion"", ""long_only"": false}",12
44,2018-11-07,2019-11-07,2019-11-08,2019-12-09,252,21,0.5946156219035481,"{""length"": 10, ""mode"": ""reversion"", ""long_only"": false}",12
45,2018-12-10,2019-12-09,2019-12-10,2020-01-09,252,21,1.2572610794017056,"{""length"": 10, ""mode"": ""reversion"", ""long_only"": true}",12
46,2019-01-10,2020-01-09,2020-01-10,2020-02-10,252,21,1.852908909390299,"{""length"": 20, ""mode"": ""breakout"", ""long_only"": true}",12
47,2019-02-11,2020-02-10,2020-02-11,2020-03-11,252,21,2.827886597662593,"{""length"": 50, ""mode"": ""breakout"", ""long_only"": true}",12
48,2019-03-13,2020-03-11,2020-03-12,2020-04-09,252,21,1.6453911539927215,"{""length"": 10, ""mode"": ""breakout"", ""long_only"": true}",12
49,2019-04-11,2020-04-09,2020-04-13,2020-05-11,252,21,1.2382066002372971,"{""length"": 10, ""mode"": ""breakout"", ""long_only"": true}",12
50,2019-05-13,2020-05-11,2020-05-12,2020-06-10,252,21,1.775603592903572,"{""length"": 10, ""mode"": ""breakout"", ""long_only"": true}",12
51,2019-06-12,2020-06-10,2020-06-11,2020-07-10,252,21,2.134482677397039,"{""length"": 50, ""mode"": ""reversion"", ""long_only"": true}",12
52,2019-07-12,2020-07-10,2020-07-13,2020-08-10,252,21,2.076423937414496,"{""length"": 10, ""mode"": ""breakout"", ""long_only"": true}",12
53,2019-08-12,2020-08-10,2020-08-11,2020-09-09,252,21,2.3179936050088377,"{""length"": 10, ""mode"": ""breakout"", ""long_only"": true}",12
54,2019-09-11,2020-09-09,2020-09-10,2020-10-08,252,21,2.238087278766293,"{""length"": 10, ""mode"": ""breakout"", ""long_only"": true}",12
55,2019-10-10,2020-10-08,2020-10-09,2020-11-06,252,21,2.500255990398145,"{""length"": 10, ""mode"": ""breakout"", ""long_only"": true}",12
56,2019-11-08,2020-11-06,2020-11-09,2020-12-08,252,21,2.220035427326824,"{""length"": 10, ""mode"": ""reversion"", ""long_only"": true}",12
57,2019-12-10,2020-12-08,2020-12-09,2021-01-08,252,21,2.3996630956900793,"{""length"": 10, ""mode"": ""reversion"", ""long_only"": true}",12
58,2020-01-10,2021-01-08,2021-01-11,2021-02-09,252,21,2.514492003270291,"{""length"": 10, ""mode"": ""reversion"", ""long_only"": true}",12
59,2020-02-11,2021-02-09,2021-02-10,2021-03-11,252,21,2.42413146014911,"{""length"": 10, ""mode"": ""reversion"", ""long_only"": true}",12
60,2020-03-12,2021-03-11,2021-03-12,2021-04-12,252,21,2.9322809827543903,"{""length"": 10, ""mode"": ""reversion"", ""long_only"": true}",12
61,2020-04-13,2021-04-12,2021-04-13,2021-05-11,252,21,2.995134007967429,"{""length"": 10, ""mode"": ""reversion"", ""long_only"": true}",12
62,2020-05-12,2021-05-11,2021-05-12,2021-06-10,252,21,3.0686621298905643,"{""length"": 10, ""mode"": ""reversion"", ""long_only"": true}",12
63,2020-06-11,2021-06-10,2021-06-11,2021-07-12,252,21,2.976466162963273,"{""length"": 10, ""mode"": ""reversion"", ""long_only"": true}",12
64,2020-07-13,2021-07-12,2021-07-13,2021-08-10,252,21,2.7440283219383015,"{""length"": 10, ""mode"": ""reversion"", ""long_only"": true}",12
65,2020-08-11,2021-08-10,2021-08-11,2021-09-09,252,21,2.662515777235536,"{""length"": 10, ""mode"": ""reversion"", ""long_only"": true}",12
66,2020-09-10,2021-09-09,2021-09-10,2021-10-08,252,21,2.4472787636045954,"{""length"": 10, ""mode"": ""reversion"", ""long_only"": true}",12
67,2020-10-09,2021-10-08,2021-10-11,2021-11-08,252,21,2.0872785880207085,"{""length"": 10, ""mode"": ""reversion"", ""long_only"": true}",12
68,2020-11-09,2021-11-08,2021-11-09,2021-12-08,252,21,2.756083997935841,"{""length"": 50, ""mode"": ""breakout"", ""long_only"": true}",12
69,2020-12-09,2021-12-08,2021-12-09,2022-01-07,252,21,2.1929498520465693,"{""length"": 50, ""mode"": ""breakout"", ""long_only"": true}",12
70,2021-01-11,2022-01-07,2022-01-10,2022-02-08,252,21,1.7487520498047253,"{""length"": 50, ""mode"": ""reversion"", ""long_only"": true}",12
71,2021-02-10,2022-02-08,2022-02-09,2022-03-10,252,21,1.415350207064555,"{""length"": 20, ""mode"": ""reversion"", ""long_only"": true}",12
72,2021-03-12,2022-03-10,2022-03-11,2022-04-08,252,21,1.477988116058465,"{""length"": 20, ""mode"": ""reversion"", ""long_only"": true}",12
73,2021-04-13,2022-04-08,2022-04-11,2022-05-10,252,21,1.0936124131978242,"{""length"": 50, ""mode"": ""reversion"", ""long_only"": true}",12
74,2021-05-12,2022-05-10,2022-05-11,2022-06-09,252,21,0.9276052240112754,"{""length"": 50, ""mode"": ""reversion"", ""long_only"": true}",12
75,2021-06-11,2022-06-09,2022-06-10,2022-07-12,252,21,1.0722194595401646,"{""length"": 50, ""mode"": ""reversion"", ""long_only"": false}",12
76,2021-07-13,2022-07-12,2022-07-13,2022-08-10,252,21,0.7326168275982528,"{""length"": 50, ""mode"": ""reversion"", ""long_only"": false}",12
77,2021-08-11,2022-08-10,2022-08-11,2022-09-09,252,21,1.0115344942406297,"{""length"": 50, ""mode"": ""reversion"", ""long_only"": false}",12
78,2021-09-10,2022-09-09,2022-09-12,2022-10-10,252,21,1.059654025650766,"{""length"": 50, ""mode"": ""reversion"", ""long_only"": false}",12
79,2021-10-11,2022-10-10,2022-10-11,2022-11-08,252,21,1.1146230998927886,"{""length"": 50, ""mode"": ""reversion"", ""long_only"": false}",12
80,2021-11-09,2022-11-08,2022-11-09,2022-12-08,252,21,1.5208873991623029,"{""length"": 50, ""mode"": ""reversion"", ""long_only"": false}",12
81,2021-12-09,2022-12-08,2022-12-09,2023-01-10,252,21,1.3940657862109502,"{""length"": 50, ""mode"": ""reversion"", ""long_only"": false}",12
82,2022-01-10,2023-01-10,2023-01-11,2023-02-09,252,21,1.1819864505181792,"{""length"": 50, ""mode"": ""reversion"", ""long_only"": false}",12
83,2022-02-09,2023-02-09,2023-02-10,2023-03-13,252,21,1.0109982707578629,"{""length"": 50, ""mode"": ""reversion"", ""long_only"": false}",12
84,2022-03-11,2023-03-13,2023-03-14,2023-04-12,252,21,1.704558002824684,"{""length"": 50, ""mode"": ""reversion"", ""long_only"": false}",12
85,2022-04-11,2023-04-12,2023-04-13,2023-05-11,252,21,0.6795000686502367,"{""length"": 50, ""mode"": ""reversion"", ""long_only"": false}",12
86,2022-05-11,2023-05-11,2023-05-12,2023-06-12,252,21,0.9892289752908114,"{""length"": 20, ""mode"": ""breakout"", ""long_only"": true}",12
87,2022-06-10,2023-06-12,2023-06-13,2023-07-13,252,21,1.907230975938,"{""length"": 20, ""mode"": ""breakout"", ""long_only"": true}",12
