fold,train_start,train_end,test_start,test_end,train_days,test_days,in_sample_objective,params,grid_size
0,2015-03-11,2016-03-11,2016-03-14,2016-04-12,252,21,13.35336571075507,"{""horizon"": 5, ""k"": 5, ""feature_lengths"": [5, 21, 63], ""z1"": 0.01, ""z2"": 0.0}",12
1,2015-04-10,2016-04-12,2016-04-13,2016-05-11,252,21,12.919613189360126,"{""horizon"": 5, ""k"": 5, ""feature_lengths"": [5, 21, 63], ""z1"": 0.01, ""z2"": 0.0}",12
2,2015-05-11,2016-05-11,2016-05-12,2016-06-10,252,21,13.213448285936,"{""horizon"": 5, ""k"": 5, ""feature_lengths"": [5, 21, 63], ""z1"": 0.01, ""z2"": 0.0}",12
3,2015-06-12,2016-06-10,2016-06-13,2016-07-12,252,21,12.99116751750329,"{""horizon"": 5, ""k"": 5, ""feature_lengths"": [5, 21, 63], ""z1"": 0.01, ""z2"": 0.0}",12
4,2015-07-14,2016-07-12,2016-07-13,2016-08-11,252,21,11.753959344713467,"{""horizon"": 5, ""k"": 5, ""feature_lengths"": [5, 21, 63], ""z1"": 0.01, ""z2"": 0.0}",12
5,2015-08-12,2016-08-11,2016-08-12,2016-09-12,252,21,11.1816233502023,"{""horizon"": 5, ""k"": 5, ""feature_lengths"": [5, 21, 63], ""z1"": 0.01, ""z2"": 0.0}",12
6,2015-09-11,2016-09-12,2016-09-13,2016-10-11,252,21,13.536988987212471,"{""horizon"": 5, ""k"": 5, ""feature_lengths"": [5, 21, 63], ""z1"": 0.01, ""z2"": 0.0}",12
7,2015-10-12,2016-10-11,2016-10-12,2016-11-09,252,21,13.409845155514956,"{""horizon"": 5, ""k"": 5, ""feature_lengths"": [5, 21, 63], ""z1"": 0.01, ""z2"": 0.0}",12
8,2015-11-10,2016-11-09,2016-11-10,2016-12-09,252,21,13.226173782613966,"{""horizon"": 5, ""k"": 5, ""feature_lengths"": [5, 21, 63], ""z1"": 0.01, ""z2"": 0.0}",12
9,2015-12-10,2016-12-09,2016-12-12,2017-01-11,252,21,9.809556713343971,"{""horizon"": 5, ""k"": 5, ""feature_lengths"": [5, 21, 63], ""z1"": 0.01, ""z2"": 0.0}",12
10,2016-01-12,2017-01-11,2017-01-12,2017-02-10,252,21,9.588052177621044,"{""horizon"": 5, ""k"": 5, ""feature_lengths"": [5, 21, 63], ""z1"": 0.01, ""z2"": 0.0}",12
11,2016-02-11,2017-02-10,2017-02-13,2017-03-14,252,21,13.252327135963801,"{""horizon"": 5, ""k"": 5, ""feature_lengths"": [5, 21, 63], ""z1"": 0.01, ""z2"": 0.0}",12
12,2016-03-14,2017-03-14,2017-03-15,2017-04-12,252,21,13.088934271108648,"{""horizon"": 5, ""k"": 5, ""feature_lengths"": [5, 21, 63], ""z1"": 0.01, ""z2"": 0.0}",12
13,2016-04-13,2017-04-12,2017-04-13,2017-05-15,252,21,12.915521796326372,"{""horizon"": 5, ""k"": 5, ""feature_lengths"": [5, 21, 63], ""z1"": 0.01, ""z2"": 0.0}",12
14,2016-05-12,2017-05-15,2017-05-16,2017-06-14,252,21,13.040273857776217,"{""horizon"": 5, ""k"": 5, ""feature_lengths"": [5, 21, 63], ""z1"": 0.01, ""z2"": 0.0}",12
15,2016-06-13,2017-06-14,2017-06-15,2017-07-14,252,21,14.680580605906034,"{""horizon"": 5, ""k"": 5, ""feature_lengths"": [5, 21, 63], ""z1"": 0.01, ""z2"": 0.0}",12
16,2016-07-13,2017-07-14,2017-07-17,2017-08-14,252,21,16.216578460566037,"{""horizon"": 5, ""k"": 5, ""feature_lengths"": [5, 21, 63], ""z1"": 0.01, ""z2"": 0.0}",12
