fold,train_start,train_end,test_start,test_end,train_days,test_days,in_sample_objective,params,grid_size
0,2015-03-11,2016-03-11,2016-03-14,2016-04-12,252,21,1.6348986837386055,"{""alpha"": ""mean_reversion"", ""lookback"": 21, ""cov_model"": ""pc"", ""n_factors"": 2, ""shrinkage"": 0.5, ""dollar_neutral"": true}",24
1,2015-04-10,2016-04-12,2016-04-13,2016-05-11,252,21,1.3274592538833299,"{""alpha"": ""mean_reversion"", ""lookback"": 21, ""cov_model"": ""pc"", ""n_factors"": 2, ""shrinkage"": 0.5, ""dollar_neutral"": true}",24
2,2015-05-11,2016-05-11,2016-05-12,2016-06-10,252,21,1.5252928828624732,"{""alpha"": ""mean_reversion"", ""lookback"": 21, ""cov_model"": ""pc"", ""n_factors"": 2, ""shrinkage"": 0.5, ""dollar_neutral"": true}",24
3,2015-06-12,2016-06-10,2016-06-13,2016-07-12,252,21,1.6243798425672755,"{""alpha"": ""mean_reversion"", ""lookback"": 21, ""cov_model"": ""pc"", ""n_factors"": 2, ""shrinkage"": 0.5, ""dollar_neutral"": true}",24
4,2015-07-14,2016-07-12,2016-07-13,2016-08-11,252,21,2.0546145656332087,"{""alpha"": ""mean_reversion"", ""lookback"": 21, ""cov_model"": ""pc"", ""n_factors"": 2, ""shrinkage"": 0.5, ""dollar_neutral"": true}",24
5,2015-08-12,2016-08-11,2016-08-12,2016-09-12,252,21,2.032125569425053,"{""alpha"": ""mean_reversion"", ""lookback"": 21, ""cov_model"": ""pc"", ""n_factors"": 2, ""shrinkage"": 0.5, ""dollar_neutral"": true}",24
6,2015-09-11,2016-09-12,2016-09-13,2016-10-11,252,21,2.1379804299157716,"{""alpha"": ""mean_reversion"", ""lookback"": 21, ""cov_model"": ""pc"", ""n_factors"": 2, ""shrinkage"": 0.5, ""dollar_neutral"": true}",24
7,2015-10-12,2016-10-11,2016-10-12,2016-11-09,252,21,2.0678921606416303,"{""alpha"": ""mean_reversion"", ""lookback"": 21, ""cov_model"": ""pc"", ""n_factors"": 2, ""shrinkage"": 0.5, ""dollar_neutral"": true}",24
8,2015-11-10,2016-11-09,2016-11-10,2016-12-09,252,21,2.1333112133354333,"{""alpha"": ""mean_reversion"", ""lookback"": 21, ""cov_model"": ""pc"", ""n_factors"": 2, ""shrinkage"": 0.5, ""dollar_neutral"": true}",24
9,2015-12-10,2016-12-09,2016-12-12,2017-01-11,252,21,2.151448227186505,"{""alpha"": ""mean_reversion"", ""lookback"": 21, ""cov_model"": ""pc"", ""n_factors"": 2, ""shrinkage"": 0.5, ""dollar_neutral"": true}",24
