fold,train_start,train_end,test_start,test_end,train_days,test_days,in_sample_objective,params,grid_size
0,2015-03-11,2016-03-09,2016-03-10,2016-04-08,252,21,0.7967630515417705,"{""alpha"": ""momentum"", ""lookback"": 21, ""cov_model"": ""shrunk"", ""n_factors"": 1, ""shrinkage"": 0.5, ""dollar_neutral"": true}",144
1,2015-04-10,2016-04-08,2016-04-11,2016-05-09,252,21,1.5571538893529115,"{""alpha"": ""momentum"", ""lookback"": 21, ""cov_model"": ""shrunk"", ""n_factors"": 1, ""shrinkage"": 0.5, ""dollar_neutral"": true}",144
2,2015-05-11,2016-05-09,2016-05-10,2016-06-08,252,21,1.3980890209700298,"{""alpha"": ""momentum"", ""lookback"": 21, ""cov_model"": ""shrunk"", ""n_factors"": 1, ""shrinkage"": 0.5, ""dollar_neutral"": true}",144
3,2015-06-10,2016-06-08,2016-06-09,2016-07-08,252,21,1.3585309598062196,"{""alpha"": ""momentum"", ""lookback"": 21, ""cov_model"": ""pc"", ""n_factors"": 2, ""shrinkage"": 0.5, ""dollar_neutral"": true}",144
4,2015-07-10,2016-07-08,2016-07-11,2016-08-08,252,21,1.4514509806664584,"{""alpha"": ""momentum"", ""lookback"": 21, ""cov_model"": ""pc"", ""n_factors"": 2, ""shrinkage"": 0.5, ""dollar_neutral"": true}",144
5,2015-08-10,2016-08-08,2016-08-09,2016-09-07,252,21,1.3449849092184945,"{""alpha"": ""momentum"", ""lookback"": 21, ""cov_model"": ""pc"", ""n_factors"": 2, ""shrinkage"": 0.5, ""dollar_neutral"": true}",144
6,2015-09-09,2016-09-07,2016-09-08,2016-10-06,252,21,1.5786602091860544,"{""alpha"": ""momentum"", ""lookback"": 21, ""cov_model"": ""shrunk"", ""n_factors"": 1, ""shrinkage"": 0.5, ""dollar_neutral"": true}",144
7,2015-10-08,2016-10-06,2016-10-07,2016-11-04,252,21,1.1958945314242666,"{""alpha"": ""momentum"", ""lookback"": 21, ""cov_model"": ""pc"", ""n_factors"": 1, ""shrinkage"": 0.5, ""dollar_neutral"": true}",144
8,2015-11-06,2016-11-04,2016-11-07,2016-12-06,252,21,0.7354957553993314,"{""alpha"": ""momentum"", ""lookback"": 21, ""cov_model"": ""pc"", ""n_factors"": 1, ""shrinkage"": 0.5, ""dollar_neutral"": false}",144
9,2015-12-08,2016-12-06,2016-12-07,2017-01-06,252,21,1.341162893759389,"{""alpha"": ""momentum"", ""lookback"": 21, ""cov_model"": ""pc"", ""n_factors"": 1, ""shrinkage"": 0.5, ""dollar_neutral"": true}",144
