fold,train_start,train_end,test_start,test_end,train_days,test_days,in_sample_objective,params,grid_size,combo_weights
0,2015-03-11,2016-03-09,2016-03-10,2016-04-08,252,21,-0.7669278785516304,"{""d"": 63, ""n_factors"": 1}",4,"{""3.1.price_momentum"": -0.0659, ""3.1.price_momentum_long_only"": -0.0354, ""3.4.low_volatility"": 0.1165, ""3.6.multifactor"": -0.0147, ""3.9.mean_reversion_single_cluster"": 0.0352, ""3.11.single_moving_average"": -0.278, ""3.12.two_moving_averages"": -0.0234, ""3.14.support_resistance"": -0.0246, ""3.15.channel"": -0.0566, ""4.4.mean_reversion_ibs"": 0.0208, ""4.6.multi_asset_trend"": -0.0556, ""10.4.trend_following"": -0.2733}"
1,2015-04-10,2016-04-08,2016-04-11,2016-05-09,252,21,1.8528949819054794,"{""d"": 63, ""n_factors"": 1}",4,"{""3.1.price_momentum"": 0.018, ""3.1.price_momentum_long_only"": 0.061, ""3.4.low_volatility"": -0.1161, ""3.6.multifactor"": -0.0895, ""3.9.mean_reversion_single_cluster"": -0.0992, ""3.11.single_moving_average"": -0.0574, ""3.12.two_moving_averages"": 0.1649, ""3.14.support_resistance"": -0.0427, ""3.15.channel"": 0.1248, ""4.4.mean_reversion_ibs"": 0.0382, ""4.6.multi_asset_trend"": 0.0446, ""10.4.trend_following"": -0.1435}"
2,2015-05-11,2016-05-09,2016-05-10,2016-06-08,252,21,0.05710086266564454,"{""d"": 21, ""n_factors"": 2}",4,"{""3.1.price_momentum"": 0.0695, ""3.1.price_momentum_long_only"": 0.0545, ""3.4.low_volatility"": 0.1715, ""3.6.multifactor"": -0.0218, ""3.9.mean_reversion_single_cluster"": -0.1541, ""3.11.single_moving_average"": -0.0591, ""3.12.two_moving_averages"": -0.0252, ""3.14.support_resistance"": 0.0945, ""3.15.channel"": 0.0417, ""4.4.mean_reversion_ibs"": 0.0693, ""4.6.multi_asset_trend"": 0.0272, ""10.4.trend_following"": -0.2117}"
3,2015-06-10,2016-06-08,2016-06-09,2016-07-08,252,21,2.128524226228549,"{""d"": 63, ""n_factors"": 2}",4,"{""3.1.price_momentum"": 0.0068, ""3.1.price_momentum_long_only"": 0.1209, ""3.4.low_volatility"": 0.0053, ""3.6.multifactor"": -0.0771, ""3.9.mean_reversion_single_cluster"": -0.1309, ""3.11.single_moving_average"": -0.0075, ""3.12.two_moving_averages"": 0.1013, ""3.14.support_resistance"": 0.0895, ""3.15.channel"": 0.2061, ""4.4.mean_reversion_ibs"": 0.0389, ""4.6.multi_asset_trend"": 0.1071, ""10.4.trend_following"": -0.1086}"
4,2015-07-10,2016-07-08,2016-07-11,2016-08-08,252,21,2.282749700406077,"{""d"": 63, ""n_factors"": 2}",4,"{""3.1.price_momentum"": 0.058, ""3.1.price_momentum_long_only"": 0.0549, ""3.4.low_volatility"": 0.1608, ""3.6.multifactor"": 0.0799, ""3.9.mean_reversion_single_cluster"": -0.0349, ""3.11.single_moving_average"": -0.1197, ""3.12.two_moving_averages"": -0.025, ""3.14.support_resistance"": 0.1037, ""3.15.channel"": 0.0556, ""4.4.mean_reversion_ibs"": 0.1133, ""4.6.multi_asset_trend"": 0.0588, ""10.4.trend_following"": 0.1354}"
5,2015-08-10,2016-08-08,2016-08-09,2016-09-07,252,21,2.345508619497125,"{""d"": 63, ""n_factors"": 1}",4,"{""3.1.price_momentum"": 0.0496, ""3.1.price_momentum_long_only"": 0.1143, ""3.4.low_volatility"": 0.0639, ""3.6.multifactor"": 0.0593, ""3.9.mean_reversion_single_cluster"": 0.1984, ""3.11.single_moving_average"": 0.0191, ""3.12.two_moving_averages"": 0.0388, ""3.14.support_resistance"": 0.1139, ""3.15.channel"": -0.079, ""4.4.mean_reversion_ibs"": 0.0562, ""4.6.multi_asset_trend"": 0.1388, ""10.4.trend_following"": 0.0688}"
6,2015-09-09,2016-09-07,2016-09-08,2016-10-06,252,21,2.353992280996554,"{""d"": 63, ""n_factors"": 1}",4,"{""3.1.price_momentum"": 0.0986, ""3.1.price_momentum_long_only"": 0.0721, ""3.4.low_volatility"": 0.0721, ""3.6.multifactor"": 0.107, ""3.9.mean_reversion_single_cluster"": 0.1091, ""3.11.single_moving_average"": 0.0443, ""3.12.two_moving_averages"": 0.0699, ""3.14.support_resistance"": 0.0974, ""3.15.channel"": -0.0909, ""4.4.mean_reversion_ibs"": 0.0308, ""4.6.multi_asset_trend"": 0.0956, ""10.4.trend_following"": 0.1122}"
7,2015-10-08,2016-10-06,2016-10-07,2016-11-04,252,21,1.7489655564153281,"{""d"": 63, ""n_factors"": 2}",4,"{""3.1.price_momentum"": 0.0976, ""3.1.price_momentum_long_only"": 0.0855, ""3.4.low_volatility"": 0.0513, ""3.6.multifactor"": 0.0311, ""3.9.mean_reversion_single_cluster"": -0.01, ""3.11.single_moving_average"": 0.1829, ""3.12.two_moving_averages"": 0.1564, ""3.14.support_resistance"": 0.0458, ""3.15.channel"": 0.0575, ""4.4.mean_reversion_ibs"": -0.0623, ""4.6.multi_asset_trend"": 0.096, ""10.4.trend_following"": 0.1236}"
8,2015-11-06,2016-11-04,2016-11-07,2016-12-06,252,21,0.5168075681673938,"{""d"": 63, ""n_factors"": 2}",4,"{""3.1.price_momentum"": 0.1475, ""3.1.price_momentum_long_only"": 0.0446, ""3.4.low_volatility"": 0.056, ""3.6.multifactor"": 0.0721, ""3.9.mean_reversion_single_cluster"": -0.0089, ""3.11.single_moving_average"": 0.0905, ""3.12.two_moving_averages"": 0.0705, ""3.14.support_resistance"": 0.0487, ""3.15.channel"": 0.0037, ""4.4.mean_reversion_ibs"": -0.1916, ""4.6.multi_asset_trend"": 0.0652, ""10.4.trend_following"": 0.2007}"
9,2015-12-08,2016-12-06,2016-12-07,2017-01-06,252,21,1.0374784112518811,"{""d"": 21, ""n_factors"": 2}",4,"{""3.1.price_momentum"": 0.0377, ""3.1.price_momentum_long_only"": 0.032, ""3.4.low_volatility"": 0.0668, ""3.6.multifactor"": 0.076, ""3.9.mean_reversion_single_cluster"": 0.0003, ""3.11.single_moving_average"": 0.1712, ""3.12.two_moving_averages"": 0.1021, ""3.14.support_resistance"": 0.0695, ""3.15.channel"": 0.125, ""4.4.mean_reversion_ibs"": -0.0312, ""4.6.multi_asset_trend"": 0.0457, ""10.4.trend_following"": 0.2424}"
