fold,train_start,train_end,test_start,test_end,train_days,test_days,in_sample_objective,params,grid_size
0,2015-03-11,2016-03-09,2016-03-10,2016-04-08,252,21,0.12175694472585483,"{""vol_window"": 126, ""fraction"": 0.17, ""long_only"": true}",8
1,2015-04-10,2016-04-08,2016-04-11,2016-05-09,252,21,0.15833870532915556,"{""vol_window"": 126, ""fraction"": 0.17, ""long_only"": true}",8
2,2015-05-11,2016-05-09,2016-05-10,2016-06-08,252,21,0.3342806266708961,"{""vol_window"": 126, ""fraction"": 0.17, ""long_only"": true}",8
3,2015-06-10,2016-06-08,2016-06-09,2016-07-08,252,21,0.7752734743874314,"{""vol_window"": 126, ""fraction"": 0.17, ""long_only"": true}",8
4,2015-07-10,2016-07-08,2016-07-11,2016-08-08,252,21,0.9134606821201137,"{""vol_window"": 126, ""fraction"": 0.17, ""long_only"": true}",8
5,2015-08-10,2016-08-08,2016-08-09,2016-09-07,252,21,0.9588932180520832,"{""vol_window"": 126, ""fraction"": 0.17, ""long_only"": true}",8
6,2015-09-09,2016-09-07,2016-09-08,2016-10-06,252,21,1.3567096440971564,"{""vol_window"": 126, ""fraction"": 0.17, ""long_only"": true}",8
7,2015-10-08,2016-10-06,2016-10-07,2016-11-04,252,21,1.0538730242051533,"{""vol_window"": 126, ""fraction"": 0.17, ""long_only"": true}",8
8,2015-11-06,2016-11-04,2016-11-07,2016-12-06,252,21,1.069662016477081,"{""vol_window"": 252, ""fraction"": 0.17, ""long_only"": true}",8
9,2015-12-08,2016-12-06,2016-12-07,2017-01-06,252,21,1.0594120042504704,"{""vol_window"": 252, ""fraction"": 0.17, ""long_only"": true}",8
10,2016-01-08,2017-01-06,2017-01-09,2017-02-07,252,21,1.047715420106138,"{""vol_window"": 252, ""fraction"": 0.34, ""long_only"": true}",8
11,2016-02-09,2017-02-07,2017-02-08,2017-03-09,252,21,1.1369539378764315,"{""vol_window"": 252, ""fraction"": 0.34, ""long_only"": true}",8
12,2016-03-10,2017-03-09,2017-03-10,2017-04-07,252,21,1.2587937899596189,"{""vol_window"": 252, ""fraction"": 0.34, ""long_only"": true}",8
13,2016-04-11,2017-04-07,2017-04-10,2017-05-09,252,21,1.4981291887076338,"{""vol_window"": 252, ""fraction"": 0.34, ""long_only"": true}",8
14,2016-05-10,2017-05-09,2017-05-10,2017-06-08,252,21,1.6374332278565464,"{""vol_window"": 252, ""fraction"": 0.34, ""long_only"": true}",8
15,2016-06-09,2017-06-08,2017-06-09,2017-07-10,252,21,1.7328838669878013,"{""vol_window"": 252, ""fraction"": 0.34, ""long_only"": true}",8
16,2016-07-11,2017-07-10,2017-07-11,2017-08-08,252,21,1.3315887034637182,"{""vol_window"": 252, ""fraction"": 0.34, ""long_only"": true}",8
17,2016-08-09,2017-08-08,2017-08-09,2017-09-07,252,21,1.7723619127270176,"{""vol_window"": 252, ""fraction"": 0.34, ""long_only"": true}",8
18,2016-09-08,2017-09-07,2017-09-08,2017-10-06,252,21,1.9071966325715637,"{""vol_window"": 252, ""fraction"": 0.34, ""long_only"": true}",8
19,2016-10-07,2017-10-06,2017-10-09,2017-11-06,252,21,2.2641179476616426,"{""vol_window"": 252, ""fraction"": 0.34, ""long_only"": true}",8
20,2016-11-07,2017-11-06,2017-11-07,2017-12-06,252,21,3.0439483622260366,"{""vol_window"": 252, ""fraction"": 0.34, ""long_only"": true}",8
21,2016-12-07,2017-12-06,2017-12-07,2018-01-08,252,21,3.2885534786204325,"{""vol_window"": 252, ""fraction"": 0.34, ""long_only"": true}",8
22,2017-01-09,2018-01-08,2018-01-09,2018-02-07,252,21,3.719486215525171,"{""vol_window"": 252, ""fraction"": 0.34, ""long_only"": true}",8
23,2017-02-08,2018-02-07,2018-02-08,2018-03-09,252,21,3.4731559362888484,"{""vol_window"": 252, ""fraction"": 0.34, ""long_only"": true}",8
24,2017-03-10,2018-03-09,2018-03-12,2018-04-10,252,21,3.2756998508483224,"{""vol_window"": 252, ""fraction"": 0.34, ""long_only"": true}",8
25,2017-04-10,2018-04-10,2018-04-11,2018-05-09,252,21,2.4374064475970654,"{""vol_window"": 252, ""fraction"": 0.34, ""long_only"": true}",8
26,2017-05-10,2018-05-09,2018-05-10,2018-06-08,252,21,2.2034622796589773,"{""vol_window"": 252, ""fraction"": 0.34, ""long_only"": true}",8
27,2017-06-09,2018-06-08,2018-06-11,2018-07-10,252,21,2.119279071425316,"{""vol_window"": 252, ""fraction"": 0.34, ""long_only"": true}",8
28,2017-07-11,2018-07-10,2018-07-11,2018-08-08,252,21,2.2453411018879548,"{""vol_window"": 252, ""fraction"": 0.34, ""long_only"": true}",8
29,2017-08-09,2018-08-08,2018-08-09,2018-09-07,252,21,2.280268027306479,"{""vol_window"": 252, ""fraction"": 0.34, ""long_only"": true}",8
30,2017-09-08,2018-09-07,2018-09-10,2018-10-08,252,21,2.20310784193179,"{""vol_window"": 252, ""fraction"": 0.34, ""long_only"": true}",8
31,2017-10-09,2018-10-08,2018-10-09,2018-11-06,252,21,2.1701411587290393,"{""vol_window"": 252, ""fraction"": 0.34, ""long_only"": true}",8
32,2017-11-07,2018-11-06,2018-11-07,2018-12-07,252,21,1.3936539467617552,"{""vol_window"": 252, ""fraction"": 0.34, ""long_only"": true}",8
33,2017-12-07,2018-12-07,2018-12-10,2019-01-09,252,21,0.61209227323536,"{""vol_window"": 252, ""fraction"": 0.34, ""long_only"": true}",8
34,2018-01-09,2019-01-09,2019-01-10,2019-02-08,252,21,0.36803139677895,"{""vol_window"": 252, ""fraction"": 0.34, ""long_only"": false}",8
35,2018-02-08,2019-02-08,2019-02-11,2019-03-12,252,21,0.49904681502244463,"{""vol_window"": 252, ""fraction"": 0.34, ""long_only"": true}",8
36,2018-03-12,2019-03-12,2019-03-13,2019-04-10,252,21,0.44270053335307863,"{""vol_window"": 252, ""fraction"": 0.34, ""long_only"": false}",8
37,2018-04-11,2019-04-10,2019-04-11,2019-05-10,252,21,0.49599124140992845,"{""vol_window"": 252, ""fraction"": 0.34, ""long_only"": true}",8
38,2018-05-10,2019-05-10,2019-05-13,2019-06-11,252,21,0.6997152832458748,"{""vol_window"": 252, ""fraction"": 0.34, ""long_only"": false}",8
39,2018-06-11,2019-06-11,2019-06-12,2019-07-11,252,21,1.0966453436040517,"{""vol_window"": 252, ""fraction"": 0.34, ""long_only"": false}",8
40,2018-07-11,2019-07-11,2019-07-12,2019-08-09,252,21,1.0078139368970105,"{""vol_window"": 252, ""fraction"": 0.17, ""long_only"": true}",8
41,2018-08-09,2019-08-09,2019-08-12,2019-09-10,252,21,0.9105568869396581,"{""vol_window"": 126, ""fraction"": 0.34, ""long_only"": false}",8
42,2018-09-10,2019-09-10,2019-09-11,2019-10-09,252,21,0.7329554026037567,"{""vol_window"": 252, ""fraction"": 0.17, ""long_only"": true}",8
