fold,train_start,train_end,test_start,test_end,train_days,test_days,in_sample_objective,params,grid_size
0,2015-03-11,2016-03-11,2016-03-14,2016-04-12,252,21,0.26806196090708545,"{""beta_window"": 756, ""formation"": 252, ""skip"": 21, ""fraction"": 0.34}",12
1,2015-04-10,2016-04-12,2016-04-13,2016-05-11,252,21,0.35133799973677665,"{""beta_window"": 252, ""formation"": 252, ""skip"": 21, ""fraction"": 0.34}",12
2,2015-05-11,2016-05-11,2016-05-12,2016-06-10,252,21,0.6241926366767917,"{""beta_window"": 252, ""formation"": 252, ""skip"": 21, ""fraction"": 0.34}",12
3,2015-06-12,2016-06-10,2016-06-13,2016-07-12,252,21,0.4677418450464676,"{""beta_window"": 252, ""formation"": 252, ""skip"": 21, ""fraction"": 0.34}",12
4,2015-07-14,2016-07-12,2016-07-13,2016-08-11,252,21,0.2476874444897055,"{""beta_window"": 252, ""formation"": 252, ""skip"": 21, ""fraction"": 0.34}",12
5,2015-08-12,2016-08-11,2016-08-12,2016-09-12,252,21,-0.005172552552342377,"{""beta_window"": 504, ""formation"": 126, ""skip"": 21, ""fraction"": 0.34}",12
6,2015-09-11,2016-09-12,2016-09-13,2016-10-11,252,21,-0.4264222696180287,"{""beta_window"": 756, ""formation"": 126, ""skip"": 21, ""fraction"": 0.34}",12
7,2015-10-12,2016-10-11,2016-10-12,2016-11-09,252,21,-0.26344463044345034,"{""beta_window"": 756, ""formation"": 126, ""skip"": 21, ""fraction"": 0.34}",12
8,2015-11-10,2016-11-09,2016-11-10,2016-12-09,252,21,-0.3775330393006099,"{""beta_window"": 756, ""formation"": 126, ""skip"": 21, ""fraction"": 0.34}",12
9,2015-12-10,2016-12-09,2016-12-12,2017-01-11,252,21,-0.6312799625616023,"{""beta_window"": 756, ""formation"": 126, ""skip"": 0, ""fraction"": 0.34}",12
10,2016-01-12,2017-01-11,2017-01-12,2017-02-10,252,21,-1.1947372026288872,"{""beta_window"": 756, ""formation"": 126, ""skip"": 21, ""fraction"": 0.34}",12
11,2016-02-11,2017-02-10,2017-02-13,2017-03-14,252,21,-1.2596684372834062,"{""beta_window"": 756, ""formation"": 126, ""skip"": 21, ""fraction"": 0.34}",12
12,2016-03-14,2017-03-14,2017-03-15,2017-04-12,252,21,-0.5927775442493628,"{""beta_window"": 756, ""formation"": 126, ""skip"": 21, ""fraction"": 0.34}",12
13,2016-04-13,2017-04-12,2017-04-13,2017-05-15,252,21,-0.73343738647842,"{""beta_window"": 756, ""formation"": 126, ""skip"": 21, ""fraction"": 0.34}",12
14,2016-05-12,2017-05-15,2017-05-16,2017-06-14,252,21,-0.8573875423409341,"{""beta_window"": 756, ""formation"": 126, ""skip"": 21, ""fraction"": 0.34}",12
15,2016-06-13,2017-06-14,2017-06-15,2017-07-14,252,21,-0.6856823917952769,"{""beta_window"": 252, ""formation"": 126, ""skip"": 0, ""fraction"": 0.34}",12
16,2016-07-13,2017-07-14,2017-07-17,2017-08-14,252,21,-1.0073838262864696,"{""beta_window"": 504, ""formation"": 126, ""skip"": 0, ""fraction"": 0.34}",12
17,2016-08-12,2017-08-14,2017-08-15,2017-09-13,252,21,-0.4715122022310519,"{""beta_window"": 504, ""formation"": 126, ""skip"": 0, ""fraction"": 0.34}",12
