fold,train_start,train_end,test_start,test_end,train_days,test_days,in_sample_objective,params,grid_size,fitted_pair
0,2015-03-11,2016-03-11,2016-03-14,2016-04-12,252,21,0.24435567311166403,"{""lookback"": 5, ""min_correlation"": 0.0}",6,"[""BAC"", ""C""]"
1,2015-04-10,2016-04-12,2016-04-13,2016-05-11,252,21,0.5976297249121285,"{""lookback"": 21, ""min_correlation"": 0.0}",6,"[""BAC"", ""C""]"
2,2015-05-11,2016-05-11,2016-05-12,2016-06-10,252,21,0.5481461678818812,"{""lookback"": 5, ""min_correlation"": 0.0}",6,"[""BAC"", ""C""]"
3,2015-06-12,2016-06-10,2016-06-13,2016-07-12,252,21,0.256627208643445,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""BAC"", ""C""]"
4,2015-07-14,2016-07-12,2016-07-13,2016-08-11,252,21,0.8016449696123557,"{""lookback"": 5, ""min_correlation"": 0.0}",6,"[""BAC"", ""C""]"
5,2015-08-12,2016-08-11,2016-08-12,2016-09-12,252,21,0.6110113116978344,"{""lookback"": 5, ""min_correlation"": 0.0}",6,"[""BAC"", ""C""]"
6,2015-09-11,2016-09-12,2016-09-13,2016-10-11,252,21,0.5418578048414964,"{""lookback"": 5, ""min_correlation"": 0.0}",6,"[""BAC"", ""C""]"
7,2015-10-12,2016-10-11,2016-10-12,2016-11-09,252,21,0.5587060016007458,"{""lookback"": 5, ""min_correlation"": 0.0}",6,"[""BAC"", ""C""]"
8,2015-11-10,2016-11-09,2016-11-10,2016-12-09,252,21,0.22145049382468018,"{""lookback"": 5, ""min_correlation"": 0.0}",6,"[""BAC"", ""C""]"
9,2015-12-10,2016-12-09,2016-12-12,2017-01-11,252,21,1.5342535956618704,"{""lookback"": 21, ""min_correlation"": 0.0}",6,"[""CMS"", ""XEL""]"
10,2016-01-12,2017-01-11,2017-01-12,2017-02-10,252,21,2.0072315030146606,"{""lookback"": 21, ""min_correlation"": 0.0}",6,"[""CMS"", ""XEL""]"
11,2016-02-11,2017-02-10,2017-02-13,2017-03-14,252,21,1.8666838337019944,"{""lookback"": 21, ""min_correlation"": 0.0}",6,"[""CMS"", ""XEL""]"
12,2016-03-14,2017-03-14,2017-03-15,2017-04-12,252,21,2.0072910672146707,"{""lookback"": 21, ""min_correlation"": 0.0}",6,"[""CMS"", ""XEL""]"
13,2016-04-13,2017-04-12,2017-04-13,2017-05-15,252,21,1.9069584177805403,"{""lookback"": 21, ""min_correlation"": 0.0}",6,"[""CMS"", ""XEL""]"
14,2016-05-12,2017-05-15,2017-05-16,2017-06-14,252,21,1.3657812810938315,"{""lookback"": 21, ""min_correlation"": 0.0}",6,"[""CMS"", ""XEL""]"
15,2016-06-13,2017-06-14,2017-06-15,2017-07-14,252,21,1.4729191195715978,"{""lookback"": 21, ""min_correlation"": 0.0}",6,"[""CMS"", ""XEL""]"
16,2016-07-13,2017-07-14,2017-07-17,2017-08-14,252,21,1.0616760035726245,"{""lookback"": 21, ""min_correlation"": 0.0}",6,"[""CMS"", ""XEL""]"
17,2016-08-12,2017-08-14,2017-08-15,2017-09-13,252,21,1.0685440084541014,"{""lookback"": 21, ""min_correlation"": 0.0}",6,"[""CMS"", ""XEL""]"
18,2016-09-13,2017-09-13,2017-09-14,2017-10-12,252,21,0.9941091579992234,"{""lookback"": 21, ""min_correlation"": 0.0}",6,"[""CMS"", ""XEL""]"
19,2016-10-12,2017-10-12,2017-10-13,2017-11-10,252,21,0.892063934436423,"{""lookback"": 21, ""min_correlation"": 0.0}",6,"[""CMS"", ""XEL""]"
20,2016-11-10,2017-11-10,2017-11-13,2017-12-12,252,21,0.4221267084578762,"{""lookback"": 21, ""min_correlation"": 0.0}",6,"[""BAC"", ""JPM""]"
21,2016-12-12,2017-12-12,2017-12-13,2018-01-12,252,21,1.8403307156238966,"{""lookback"": 21, ""min_correlation"": 0.0}",6,"[""BAC"", ""JPM""]"
22,2017-01-12,2018-01-12,2018-01-16,2018-02-13,252,21,1.38876771090902,"{""lookback"": 21, ""min_correlation"": 0.0}",6,"[""BAC"", ""JPM""]"
23,2017-02-13,2018-02-13,2018-02-14,2018-03-15,252,21,1.2781708367723914,"{""lookback"": 21, ""min_correlation"": 0.0}",6,"[""BAC"", ""JPM""]"
24,2017-03-15,2018-03-15,2018-03-16,2018-04-16,252,21,-0.8528171568841534,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""ED"", ""WEC""]"
25,2017-04-13,2018-04-16,2018-04-17,2018-05-15,252,21,1.1734463851659802,"{""lookback"": 21, ""min_correlation"": 0.0}",6,"[""BAC"", ""JPM""]"
26,2017-05-16,2018-05-15,2018-05-16,2018-06-14,252,21,-0.3406647498745087,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""ED"", ""WEC""]"
27,2017-06-15,2018-06-14,2018-06-15,2018-07-16,252,21,-0.20224064867569314,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""ED"", ""WEC""]"
28,2017-07-17,2018-07-16,2018-07-17,2018-08-14,252,21,0.002383223895389002,"{""lookback"": 21, ""min_correlation"": 0.0}",6,"[""ED"", ""WEC""]"
29,2017-08-15,2018-08-14,2018-08-15,2018-09-13,252,21,-0.3077517306172851,"{""lookback"": 21, ""min_correlation"": 0.0}",6,"[""ED"", ""WEC""]"
30,2017-09-14,2018-09-13,2018-09-14,2018-10-12,252,21,1.5346051603549902,"{""lookback"": 21, ""min_correlation"": 0.0}",6,"[""BAC"", ""JPM""]"
31,2017-10-13,2018-10-12,2018-10-15,2018-11-12,252,21,1.2767327325951776,"{""lookback"": 21, ""min_correlation"": 0.0}",6,"[""BAC"", ""JPM""]"
32,2017-11-13,2018-11-12,2018-11-13,2018-12-13,252,21,0.7080198449436409,"{""lookback"": 21, ""min_correlation"": 0.0}",6,"[""BAC"", ""JPM""]"
33,2017-12-13,2018-12-13,2018-12-14,2019-01-15,252,21,-0.13802693294046012,"{""lookback"": 21, ""min_correlation"": 0.0}",6,"[""BAC"", ""JPM""]"
34,2018-01-16,2019-01-15,2019-01-16,2019-02-14,252,21,1.2012614317639752,"{""lookback"": 5, ""min_correlation"": 0.0}",6,"[""CMS"", ""WEC""]"
35,2018-02-14,2019-02-14,2019-02-15,2019-03-18,252,21,0.6610507875272954,"{""lookback"": 5, ""min_correlation"": 0.0}",6,"[""CMS"", ""WEC""]"
36,2018-03-16,2019-03-18,2019-03-19,2019-04-16,252,21,0.4553694727813539,"{""lookback"": 5, ""min_correlation"": 0.0}",6,"[""CMS"", ""WEC""]"
37,2018-04-17,2019-04-16,2019-04-17,2019-05-16,252,21,0.5535444783427971,"{""lookback"": 5, ""min_correlation"": 0.0}",6,"[""CMS"", ""WEC""]"
38,2018-05-16,2019-05-16,2019-05-17,2019-06-17,252,21,0.6294111353316253,"{""lookback"": 5, ""min_correlation"": 0.0}",6,"[""CMS"", ""WEC""]"
39,2018-06-15,2019-06-17,2019-06-18,2019-07-17,252,21,0.4279788573207068,"{""lookback"": 5, ""min_correlation"": 0.0}",6,"[""CMS"", ""WEC""]"
40,2018-07-17,2019-07-17,2019-07-18,2019-08-15,252,21,-0.12315745922058105,"{""lookback"": 21, ""min_correlation"": 0.0}",6,"[""WEC"", ""XEL""]"
41,2018-08-15,2019-08-15,2019-08-16,2019-09-16,252,21,-1.2659926830927908,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""WEC"", ""XEL""]"
42,2018-09-14,2019-09-16,2019-09-17,2019-10-15,252,21,-0.6966684786601388,"{""lookback"": 21, ""min_correlation"": 0.0}",6,"[""WEC"", ""XEL""]"
43,2018-10-15,2019-10-15,2019-10-16,2019-11-13,252,21,-0.6107541692874616,"{""lookback"": 5, ""min_correlation"": 0.0}",6,"[""CMS"", ""WEC""]"
44,2018-11-13,2019-11-13,2019-11-14,2019-12-13,252,21,-0.3262675728943926,"{""lookback"": 5, ""min_correlation"": 0.0}",6,"[""CMS"", ""WEC""]"
45,2018-12-14,2019-12-13,2019-12-16,2020-01-15,252,21,-0.17380702349027308,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""CMS"", ""WEC""]"
46,2019-01-16,2020-01-15,2020-01-16,2020-02-14,252,21,-0.14328037685640277,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""CMS"", ""WEC""]"
47,2019-02-15,2020-02-14,2020-02-18,2020-03-17,252,21,1.4267035172913995,"{""lookback"": 21, ""min_correlation"": 0.0}",6,"[""KEY"", ""RF""]"
48,2019-03-19,2020-03-17,2020-03-18,2020-04-16,252,21,0.9347701007047541,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""BAC"", ""JPM""]"
49,2019-04-17,2020-04-16,2020-04-17,2020-05-15,252,21,0.5673057702405985,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""FITB"", ""KEY""]"
50,2019-05-17,2020-05-15,2020-05-18,2020-06-16,252,21,0.18471865683805602,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""FITB"", ""KEY""]"
51,2019-06-18,2020-06-16,2020-06-17,2020-07-16,252,21,0.11599530210245575,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""FITB"", ""KEY""]"
52,2019-07-18,2020-07-16,2020-07-17,2020-08-14,252,21,-0.05664839226799692,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""FITB"", ""KEY""]"
53,2019-08-16,2020-08-14,2020-08-17,2020-09-15,252,21,0.4487603497106998,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""MET"", ""PRU""]"
54,2019-09-17,2020-09-15,2020-09-16,2020-10-14,252,21,0.16634926297991273,"{""lookback"": 21, ""min_correlation"": 0.0}",6,"[""MET"", ""PRU""]"
55,2019-10-16,2020-10-14,2020-10-15,2020-11-13,252,21,-0.0810912665630159,"{""lookback"": 5, ""min_correlation"": 0.0}",6,"[""FITB"", ""KEY""]"
56,2019-11-14,2020-11-13,2020-11-16,2020-12-15,252,21,0.13138127310782927,"{""lookback"": 21, ""min_correlation"": 0.0}",6,"[""MET"", ""PRU""]"
57,2019-12-16,2020-12-15,2020-12-16,2021-01-15,252,21,0.3385977301597297,"{""lookback"": 21, ""min_correlation"": 0.0}",6,"[""MET"", ""PRU""]"
58,2020-01-16,2021-01-15,2021-01-19,2021-02-17,252,21,0.42556972642832475,"{""lookback"": 21, ""min_correlation"": 0.0}",6,"[""MET"", ""PRU""]"
59,2020-02-18,2021-02-17,2021-02-18,2021-03-18,252,21,0.3218661054659718,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""FITB"", ""KEY""]"
60,2020-03-18,2021-03-18,2021-03-19,2021-04-19,252,21,-0.21008639714409696,"{""lookback"": 21, ""min_correlation"": 0.0}",6,"[""AON"", ""WTW""]"
61,2020-04-17,2021-04-19,2021-04-20,2021-05-18,252,21,-0.027454125795509078,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""AON"", ""WTW""]"
62,2020-05-18,2021-05-18,2021-05-19,2021-06-17,252,21,-0.25488118299290285,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""AON"", ""WTW""]"
63,2020-06-17,2021-06-17,2021-06-18,2021-07-19,252,21,0.41333681992944915,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""AON"", ""WTW""]"
64,2020-07-17,2021-07-19,2021-07-20,2021-08-17,252,21,0.5464408781668874,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""AON"", ""WTW""]"
65,2020-08-17,2021-08-17,2021-08-18,2021-09-16,252,21,0.0409317095816553,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""FITB"", ""KEY""]"
66,2020-09-16,2021-09-16,2021-09-17,2021-10-15,252,21,0.9215449521176147,"{""lookback"": 21, ""min_correlation"": 0.0}",6,"[""FRT"", ""REG""]"
67,2020-10-15,2021-10-15,2021-10-18,2021-11-15,252,21,1.1091746750737197,"{""lookback"": 21, ""min_correlation"": 0.0}",6,"[""FRT"", ""REG""]"
68,2020-11-16,2021-11-15,2021-11-16,2021-12-15,252,21,0.7422898611551082,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""FITB"", ""KEY""]"
69,2020-12-16,2021-12-15,2021-12-16,2022-01-14,252,21,0.6999908772693211,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""FITB"", ""KEY""]"
