fold,train_start,train_end,test_start,test_end,train_days,test_days,in_sample_objective,params,grid_size
0,2015-03-11,2016-03-11,2016-03-14,2016-04-12,252,21,-0.30115005455212207,"{""lookback"": 5, ""use_log"": true, ""vol_scaling"": ""none"", ""vol_window"": 63}",24
1,2015-04-10,2016-04-12,2016-04-13,2016-05-11,252,21,-0.21009192458495196,"{""lookback"": 5, ""use_log"": true, ""vol_scaling"": ""none"", ""vol_window"": 63}",24
2,2015-05-11,2016-05-11,2016-05-12,2016-06-10,252,21,-0.3194835150691426,"{""lookback"": 5, ""use_log"": true, ""vol_scaling"": ""none"", ""vol_window"": 63}",24
3,2015-06-12,2016-06-10,2016-06-13,2016-07-12,252,21,-0.1707463392169418,"{""lookback"": 21, ""use_log"": true, ""vol_scaling"": ""none"", ""vol_window"": 63}",24
4,2015-07-14,2016-07-12,2016-07-13,2016-08-11,252,21,0.15265969631262324,"{""lookback"": 21, ""use_log"": true, ""vol_scaling"": ""none"", ""vol_window"": 63}",24
5,2015-08-12,2016-08-11,2016-08-12,2016-09-12,252,21,0.44586739298293465,"{""lookback"": 21, ""use_log"": true, ""vol_scaling"": ""none"", ""vol_window"": 63}",24
6,2015-09-11,2016-09-12,2016-09-13,2016-10-11,252,21,0.3998956582151017,"{""lookback"": 21, ""use_log"": true, ""vol_scaling"": ""none"", ""vol_window"": 63}",24
7,2015-10-12,2016-10-11,2016-10-12,2016-11-09,252,21,0.12024351907494522,"{""lookback"": 21, ""use_log"": true, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63}",24
8,2015-11-10,2016-11-09,2016-11-10,2016-12-09,252,21,0.2438036262272827,"{""lookback"": 21, ""use_log"": true, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63}",24
9,2015-12-10,2016-12-09,2016-12-12,2017-01-11,252,21,0.1144508910059877,"{""lookback"": 21, ""use_log"": true, ""vol_scaling"": ""none"", ""vol_window"": 63}",24
10,2016-01-12,2017-01-11,2017-01-12,2017-02-10,252,21,1.0804819336194051,"{""lookback"": 21, ""use_log"": true, ""vol_scaling"": ""none"", ""vol_window"": 63}",24
11,2016-02-11,2017-02-10,2017-02-13,2017-03-14,252,21,1.9120493813548425,"{""lookback"": 21, ""use_log"": true, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63}",24
12,2016-03-14,2017-03-14,2017-03-15,2017-04-12,252,21,1.3742228399746654,"{""lookback"": 21, ""use_log"": true, ""vol_scaling"": ""none"", ""vol_window"": 63}",24
13,2016-04-13,2017-04-12,2017-04-13,2017-05-15,252,21,1.1293882485473385,"{""lookback"": 21, ""use_log"": true, ""vol_scaling"": ""none"", ""vol_window"": 63}",24
14,2016-05-12,2017-05-15,2017-05-16,2017-06-14,252,21,0.7862411940978995,"{""lookback"": 21, ""use_log"": true, ""vol_scaling"": ""none"", ""vol_window"": 63}",24
15,2016-06-13,2017-06-14,2017-06-15,2017-07-14,252,21,0.46030710961041105,"{""lookback"": 21, ""use_log"": true, ""vol_scaling"": ""none"", ""vol_window"": 63}",24
16,2016-07-13,2017-07-14,2017-07-17,2017-08-14,252,21,0.2762418634960539,"{""lookback"": 10, ""use_log"": true, ""vol_scaling"": ""none"", ""vol_window"": 63}",24
17,2016-08-12,2017-08-14,2017-08-15,2017-09-13,252,21,0.36873633908217657,"{""lookback"": 10, ""use_log"": false, ""vol_scaling"": ""none"", ""vol_window"": 63}",24
18,2016-09-13,2017-09-13,2017-09-14,2017-10-12,252,21,0.6981502008598399,"{""lookback"": 10, ""use_log"": false, ""vol_scaling"": ""none"", ""vol_window"": 63}",24
19,2016-10-12,2017-10-12,2017-10-13,2017-11-10,252,21,0.4267944505660198,"{""lookback"": 10, ""use_log"": false, ""vol_scaling"": ""none"", ""vol_window"": 63}",24
20,2016-11-10,2017-11-10,2017-11-13,2017-12-12,252,21,0.9176378647977735,"{""lookback"": 10, ""use_log"": false, ""vol_scaling"": ""none"", ""vol_window"": 63}",24
21,2016-12-12,2017-12-12,2017-12-13,2018-01-12,252,21,0.2824274954015759,"{""lookback"": 10, ""use_log"": false, ""vol_scaling"": ""none"", ""vol_window"": 63}",24
22,2017-01-12,2018-01-12,2018-01-16,2018-02-13,252,21,-0.7108949579384896,"{""lookback"": 10, ""use_log"": false, ""vol_scaling"": ""none"", ""vol_window"": 63}",24
23,2017-02-13,2018-02-13,2018-02-14,2018-03-15,252,21,-0.7724580991712531,"{""lookback"": 10, ""use_log"": false, ""vol_scaling"": ""none"", ""vol_window"": 63}",24
24,2017-03-15,2018-03-15,2018-03-16,2018-04-16,252,21,-0.8098921304698183,"{""lookback"": 10, ""use_log"": true, ""vol_scaling"": ""none"", ""vol_window"": 63}",24
25,2017-04-13,2018-04-16,2018-04-17,2018-05-15,252,21,-0.49917413481099576,"{""lookback"": 10, ""use_log"": true, ""vol_scaling"": ""none"", ""vol_window"": 63}",24
26,2017-05-16,2018-05-15,2018-05-16,2018-06-14,252,21,-0.05517958758725877,"{""lookback"": 10, ""use_log"": true, ""vol_scaling"": ""none"", ""vol_window"": 63}",24
27,2017-06-15,2018-06-14,2018-06-15,2018-07-16,252,21,-0.4162026058919996,"{""lookback"": 10, ""use_log"": true, ""vol_scaling"": ""none"", ""vol_window"": 63}",24
28,2017-07-17,2018-07-16,2018-07-17,2018-08-14,252,21,-1.0928056240400164,"{""lookback"": 10, ""use_log"": true, ""vol_scaling"": ""none"", ""vol_window"": 63}",24
29,2017-08-15,2018-08-14,2018-08-15,2018-09-13,252,21,-0.5608469178815683,"{""lookback"": 10, ""use_log"": true, ""vol_scaling"": ""none"", ""vol_window"": 63}",24
30,2017-09-14,2018-09-13,2018-09-14,2018-10-12,252,21,-0.6025349478768485,"{""lookback"": 10, ""use_log"": true, ""vol_scaling"": ""none"", ""vol_window"": 63}",24
31,2017-10-13,2018-10-12,2018-10-15,2018-11-12,252,21,-0.2525649475671193,"{""lookback"": 10, ""use_log"": true, ""vol_scaling"": ""none"", ""vol_window"": 63}",24
32,2017-11-13,2018-11-12,2018-11-13,2018-12-13,252,21,-0.2894207890236282,"{""lookback"": 10, ""use_log"": true, ""vol_scaling"": ""none"", ""vol_window"": 63}",24
33,2017-12-13,2018-12-13,2018-12-14,2019-01-15,252,21,0.057360906497266564,"{""lookback"": 10, ""use_log"": true, ""vol_scaling"": ""none"", ""vol_window"": 63}",24
