fold,train_start,train_end,test_start,test_end,train_days,test_days,in_sample_objective,params,grid_size
0,2015-03-11,2016-03-09,2016-03-10,2016-04-08,252,21,0.30876159184215324,"{""formation"": 252, ""fraction"": 0.34, ""ma_length"": 200, ""ma_kind"": ""ema""}",8
1,2015-04-10,2016-04-08,2016-04-11,2016-05-09,252,21,0.9294219364626757,"{""formation"": 252, ""fraction"": 0.34, ""ma_length"": 200, ""ma_kind"": ""ema""}",8
2,2015-05-11,2016-05-09,2016-05-10,2016-06-08,252,21,1.2413601545770536,"{""formation"": 252, ""fraction"": 0.34, ""ma_length"": 200, ""ma_kind"": ""sma""}",8
3,2015-06-10,2016-06-08,2016-06-09,2016-07-08,252,21,1.438034192366815,"{""formation"": 252, ""fraction"": 0.34, ""ma_length"": 200, ""ma_kind"": ""sma""}",8
4,2015-07-10,2016-07-08,2016-07-11,2016-08-08,252,21,1.4794638223975063,"{""formation"": 252, ""fraction"": 0.34, ""ma_length"": 200, ""ma_kind"": ""sma""}",8
5,2015-08-10,2016-08-08,2016-08-09,2016-09-07,252,21,1.5138575650006227,"{""formation"": 252, ""fraction"": 0.34, ""ma_length"": 200, ""ma_kind"": ""sma""}",8
6,2015-09-09,2016-09-07,2016-09-08,2016-10-06,252,21,2.1267201598518244,"{""formation"": 252, ""fraction"": 0.34, ""ma_length"": 200, ""ma_kind"": ""sma""}",8
7,2015-10-08,2016-10-06,2016-10-07,2016-11-04,252,21,2.105076928954411,"{""formation"": 252, ""fraction"": 0.34, ""ma_length"": 200, ""ma_kind"": ""sma""}",8
8,2015-11-06,2016-11-04,2016-11-07,2016-12-06,252,21,1.3754027266905686,"{""formation"": 252, ""fraction"": 0.34, ""ma_length"": 200, ""ma_kind"": ""sma""}",8
9,2015-12-08,2016-12-06,2016-12-07,2017-01-06,252,21,1.8092082686533635,"{""formation"": 252, ""fraction"": 0.34, ""ma_length"": 200, ""ma_kind"": ""sma""}",8
10,2016-01-08,2017-01-06,2017-01-09,2017-02-07,252,21,2.0312602413806564,"{""formation"": 252, ""fraction"": 0.34, ""ma_length"": 200, ""ma_kind"": ""sma""}",8
11,2016-02-09,2017-02-07,2017-02-08,2017-03-09,252,21,2.1852623854073947,"{""formation"": 252, ""fraction"": 0.34, ""ma_length"": 200, ""ma_kind"": ""sma""}",8
12,2016-03-10,2017-03-09,2017-03-10,2017-04-07,252,21,2.220962820192682,"{""formation"": 252, ""fraction"": 0.34, ""ma_length"": 100, ""ma_kind"": ""sma""}",8
13,2016-04-11,2017-04-07,2017-04-10,2017-05-09,252,21,1.8675408955147628,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 100, ""ma_kind"": ""sma""}",8
14,2016-05-10,2017-05-09,2017-05-10,2017-06-08,252,21,2.160325226753664,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 100, ""ma_kind"": ""sma""}",8
15,2016-06-09,2017-06-08,2017-06-09,2017-07-10,252,21,2.853407425146727,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 200, ""ma_kind"": ""sma""}",8
16,2016-07-11,2017-07-10,2017-07-11,2017-08-08,252,21,2.305292663883279,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 200, ""ma_kind"": ""sma""}",8
17,2016-08-09,2017-08-08,2017-08-09,2017-09-07,252,21,2.4189423006842916,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 200, ""ma_kind"": ""sma""}",8
18,2016-09-08,2017-09-07,2017-09-08,2017-10-06,252,21,2.0265412616870817,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 200, ""ma_kind"": ""sma""}",8
19,2016-10-07,2017-10-06,2017-10-09,2017-11-06,252,21,1.9452832715523296,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 200, ""ma_kind"": ""sma""}",8
20,2016-11-07,2017-11-06,2017-11-07,2017-12-06,252,21,2.2296753913604657,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 200, ""ma_kind"": ""sma""}",8
21,2016-12-07,2017-12-06,2017-12-07,2018-01-08,252,21,1.600930704961895,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 200, ""ma_kind"": ""sma""}",8
22,2017-01-09,2018-01-08,2018-01-09,2018-02-07,252,21,1.5485531934703363,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 200, ""ma_kind"": ""sma""}",8
23,2017-02-08,2018-02-07,2018-02-08,2018-03-09,252,21,1.464243451576805,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 200, ""ma_kind"": ""sma""}",8
24,2017-03-10,2018-03-09,2018-03-12,2018-04-10,252,21,1.7515730373635983,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 200, ""ma_kind"": ""sma""}",8
25,2017-04-10,2018-04-10,2018-04-11,2018-05-09,252,21,1.3808581450096349,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 200, ""ma_kind"": ""sma""}",8
26,2017-05-10,2018-05-09,2018-05-10,2018-06-08,252,21,1.1930778520241403,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 200, ""ma_kind"": ""sma""}",8
27,2017-06-09,2018-06-08,2018-06-11,2018-07-10,252,21,0.571374046039191,"{""formation"": 252, ""fraction"": 0.34, ""ma_length"": 200, ""ma_kind"": ""sma""}",8
28,2017-07-11,2018-07-10,2018-07-11,2018-08-08,252,21,0.5621769019114512,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 100, ""ma_kind"": ""sma""}",8
29,2017-08-09,2018-08-08,2018-08-09,2018-09-07,252,21,0.15755860629285715,"{""formation"": 252, ""fraction"": 0.34, ""ma_length"": 200, ""ma_kind"": ""sma""}",8
30,2017-09-08,2018-09-07,2018-09-10,2018-10-08,252,21,0.7096960496729584,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 100, ""ma_kind"": ""sma""}",8
31,2017-10-09,2018-10-08,2018-10-09,2018-11-06,252,21,0.23239436069289837,"{""formation"": 252, ""fraction"": 0.34, ""ma_length"": 200, ""ma_kind"": ""sma""}",8
32,2017-11-07,2018-11-06,2018-11-07,2018-12-07,252,21,-0.5703011887862404,"{""formation"": 252, ""fraction"": 0.34, ""ma_length"": 200, ""ma_kind"": ""sma""}",8
33,2017-12-07,2018-12-07,2018-12-10,2019-01-09,252,21,0.09669685262357114,"{""formation"": 252, ""fraction"": 0.34, ""ma_length"": 200, ""ma_kind"": ""sma""}",8
34,2018-01-09,2019-01-09,2019-01-10,2019-02-08,252,21,-0.19017954543722976,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 200, ""ma_kind"": ""ema""}",8
