fold,train_start,train_end,test_start,test_end,train_days,test_days,in_sample_objective,params,grid_size
0,2015-03-11,2016-03-09,2016-03-10,2016-04-08,252,21,0.21786366195442505,"{""formation"": 252, ""fraction"": 0.34, ""ma_length"": 100}",4
1,2015-04-10,2016-04-08,2016-04-11,2016-05-09,252,21,0.5231190471129202,"{""formation"": 252, ""fraction"": 0.34, ""ma_length"": 100}",4
2,2015-05-11,2016-05-09,2016-05-10,2016-06-08,252,21,0.9271181701479372,"{""formation"": 252, ""fraction"": 0.34, ""ma_length"": 100}",4
3,2015-06-10,2016-06-08,2016-06-09,2016-07-08,252,21,1.72370657462916,"{""formation"": 252, ""fraction"": 0.34, ""ma_length"": 100}",4
4,2015-07-10,2016-07-08,2016-07-11,2016-08-08,252,21,1.9316226808457597,"{""formation"": 252, ""fraction"": 0.34, ""ma_length"": 100}",4
5,2015-08-10,2016-08-08,2016-08-09,2016-09-07,252,21,1.8824324558354817,"{""formation"": 252, ""fraction"": 0.34, ""ma_length"": 100}",4
6,2015-09-09,2016-09-07,2016-09-08,2016-10-06,252,21,2.5625775823721115,"{""formation"": 252, ""fraction"": 0.34, ""ma_length"": 100}",4
7,2015-10-08,2016-10-06,2016-10-07,2016-11-04,252,21,2.808644249575679,"{""formation"": 252, ""fraction"": 0.34, ""ma_length"": 100}",4
8,2015-11-06,2016-11-04,2016-11-07,2016-12-06,252,21,2.0791143278139446,"{""formation"": 252, ""fraction"": 0.34, ""ma_length"": 100}",4
9,2015-12-08,2016-12-06,2016-12-07,2017-01-06,252,21,2.264105160888893,"{""formation"": 252, ""fraction"": 0.34, ""ma_length"": 100}",4
10,2016-01-08,2017-01-06,2017-01-09,2017-02-07,252,21,3.0315243694589133,"{""formation"": 252, ""fraction"": 0.34, ""ma_length"": 100}",4
11,2016-02-09,2017-02-07,2017-02-08,2017-03-09,252,21,3.1732372804597726,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 100}",4
12,2016-03-10,2017-03-09,2017-03-10,2017-04-07,252,21,2.9326788429404336,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 200}",4
13,2016-04-11,2017-04-07,2017-04-10,2017-05-09,252,21,2.731498910534112,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 200}",4
14,2016-05-10,2017-05-09,2017-05-10,2017-06-08,252,21,3.0586806639041835,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 200}",4
15,2016-06-09,2017-06-08,2017-06-09,2017-07-10,252,21,3.340912265780012,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 200}",4
16,2016-07-11,2017-07-10,2017-07-11,2017-08-08,252,21,2.647463122726184,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 200}",4
17,2016-08-09,2017-08-08,2017-08-09,2017-09-07,252,21,2.747405116096303,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 200}",4
18,2016-09-08,2017-09-07,2017-09-08,2017-10-06,252,21,2.459928881841474,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 200}",4
19,2016-10-07,2017-10-06,2017-10-09,2017-11-06,252,21,2.343236300700936,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 200}",4
20,2016-11-07,2017-11-06,2017-11-07,2017-12-06,252,21,2.6287806754698915,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 200}",4
21,2016-12-07,2017-12-06,2017-12-07,2018-01-08,252,21,1.9303128797698867,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 200}",4
22,2017-01-09,2018-01-08,2018-01-09,2018-02-07,252,21,1.87059344469254,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 200}",4
23,2017-02-08,2018-02-07,2018-02-08,2018-03-09,252,21,1.8299344608311914,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 200}",4
24,2017-03-10,2018-03-09,2018-03-12,2018-04-10,252,21,2.335405064601405,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 200}",4
25,2017-04-10,2018-04-10,2018-04-11,2018-05-09,252,21,1.7893945681143617,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 200}",4
26,2017-05-10,2018-05-09,2018-05-10,2018-06-08,252,21,1.7669555146786713,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 200}",4
27,2017-06-09,2018-06-08,2018-06-11,2018-07-10,252,21,1.3653645306655124,"{""formation"": 252, ""fraction"": 0.34, ""ma_length"": 200}",4
28,2017-07-11,2018-07-10,2018-07-11,2018-08-08,252,21,1.475267488261574,"{""formation"": 252, ""fraction"": 0.34, ""ma_length"": 200}",4
