fold,train_start,train_end,test_start,test_end,train_days,test_days,in_sample_objective,params,grid_size
0,2015-03-11,2016-03-09,2016-03-10,2016-04-08,252,21,1.1849157917332047,"{""formation"": 189, ""fraction"": 0.34}",6
1,2015-04-10,2016-04-08,2016-04-11,2016-05-09,252,21,1.5397065201554139,"{""formation"": 126, ""fraction"": 0.17}",6
2,2015-05-11,2016-05-09,2016-05-10,2016-06-08,252,21,1.678571040722686,"{""formation"": 252, ""fraction"": 0.34}",6
3,2015-06-10,2016-06-08,2016-06-09,2016-07-08,252,21,2.2256791366121935,"{""formation"": 252, ""fraction"": 0.34}",6
4,2015-07-10,2016-07-08,2016-07-11,2016-08-08,252,21,2.4444696290054617,"{""formation"": 189, ""fraction"": 0.34}",6
5,2015-08-10,2016-08-08,2016-08-09,2016-09-07,252,21,2.3992113574437433,"{""formation"": 252, ""fraction"": 0.34}",6
6,2015-09-09,2016-09-07,2016-09-08,2016-10-06,252,21,2.958517442629652,"{""formation"": 252, ""fraction"": 0.34}",6
7,2015-10-08,2016-10-06,2016-10-07,2016-11-04,252,21,2.8683353159408123,"{""formation"": 252, ""fraction"": 0.34}",6
8,2015-11-06,2016-11-04,2016-11-07,2016-12-06,252,21,2.048872916849343,"{""formation"": 189, ""fraction"": 0.17}",6
9,2015-12-08,2016-12-06,2016-12-07,2017-01-06,252,21,2.254337240299595,"{""formation"": 189, ""fraction"": 0.17}",6
10,2016-01-08,2017-01-06,2017-01-09,2017-02-07,252,21,2.81114827594353,"{""formation"": 252, ""fraction"": 0.34}",6
11,2016-02-09,2017-02-07,2017-02-08,2017-03-09,252,21,3.893410069694109,"{""formation"": 252, ""fraction"": 0.34}",6
12,2016-03-10,2017-03-09,2017-03-10,2017-04-07,252,21,3.0624395139310585,"{""formation"": 252, ""fraction"": 0.34}",6
13,2016-04-11,2017-04-07,2017-04-10,2017-05-09,252,21,2.762840350324093,"{""formation"": 126, ""fraction"": 0.34}",6
14,2016-05-10,2017-05-09,2017-05-10,2017-06-08,252,21,3.0900264741496923,"{""formation"": 126, ""fraction"": 0.34}",6
15,2016-06-09,2017-06-08,2017-06-09,2017-07-10,252,21,3.3703755621236704,"{""formation"": 126, ""fraction"": 0.34}",6
16,2016-07-11,2017-07-10,2017-07-11,2017-08-08,252,21,2.647463122726184,"{""formation"": 126, ""fraction"": 0.34}",6
17,2016-08-09,2017-08-08,2017-08-09,2017-09-07,252,21,2.747405116096303,"{""formation"": 126, ""fraction"": 0.34}",6
18,2016-09-08,2017-09-07,2017-09-08,2017-10-06,252,21,2.459928881841474,"{""formation"": 126, ""fraction"": 0.34}",6
19,2016-10-07,2017-10-06,2017-10-09,2017-11-06,252,21,2.343236300700936,"{""formation"": 126, ""fraction"": 0.34}",6
20,2016-11-07,2017-11-06,2017-11-07,2017-12-06,252,21,2.6287806754698915,"{""formation"": 126, ""fraction"": 0.34}",6
21,2016-12-07,2017-12-06,2017-12-07,2018-01-08,252,21,1.9303128797698867,"{""formation"": 126, ""fraction"": 0.34}",6
22,2017-01-09,2018-01-08,2018-01-09,2018-02-07,252,21,2.0101419505955387,"{""formation"": 252, ""fraction"": 0.17}",6
23,2017-02-08,2018-02-07,2018-02-08,2018-03-09,252,21,1.8299344608311914,"{""formation"": 126, ""fraction"": 0.34}",6
24,2017-03-10,2018-03-09,2018-03-12,2018-04-10,252,21,2.4185927380057546,"{""formation"": 252, ""fraction"": 0.17}",6
25,2017-04-10,2018-04-10,2018-04-11,2018-05-09,252,21,2.2005381624703255,"{""formation"": 252, ""fraction"": 0.17}",6
26,2017-05-10,2018-05-09,2018-05-10,2018-06-08,252,21,2.0943461177136924,"{""formation"": 252, ""fraction"": 0.17}",6
27,2017-06-09,2018-06-08,2018-06-11,2018-07-10,252,21,1.704841125683974,"{""formation"": 252, ""fraction"": 0.17}",6
28,2017-07-11,2018-07-10,2018-07-11,2018-08-08,252,21,1.7139868859024923,"{""formation"": 189, ""fraction"": 0.34}",6
29,2017-08-09,2018-08-08,2018-08-09,2018-09-07,252,21,1.6029765616732858,"{""formation"": 252, ""fraction"": 0.17}",6
30,2017-09-08,2018-09-07,2018-09-10,2018-10-08,252,21,1.921861058659651,"{""formation"": 189, ""fraction"": 0.34}",6
31,2017-10-09,2018-10-08,2018-10-09,2018-11-06,252,21,1.6364278663971903,"{""formation"": 189, ""fraction"": 0.34}",6
32,2017-11-07,2018-11-06,2018-11-07,2018-12-07,252,21,1.0252263126160206,"{""formation"": 252, ""fraction"": 0.34}",6
33,2017-12-07,2018-12-07,2018-12-10,2019-01-09,252,21,1.0612943827619152,"{""formation"": 252, ""fraction"": 0.34}",6
34,2018-01-09,2019-01-09,2019-01-10,2019-02-08,252,21,0.6958339184864523,"{""formation"": 252, ""fraction"": 0.34}",6
35,2018-02-08,2019-02-08,2019-02-11,2019-03-12,252,21,0.7624898847306996,"{""formation"": 126, ""fraction"": 0.17}",6
36,2018-03-12,2019-03-12,2019-03-13,2019-04-10,252,21,0.6928698392824335,"{""formation"": 126, ""fraction"": 0.17}",6
37,2018-04-11,2019-04-10,2019-04-11,2019-05-10,252,21,1.385527460920964,"{""formation"": 126, ""fraction"": 0.17}",6
38,2018-05-10,2019-05-10,2019-05-13,2019-06-11,252,21,1.0797501108807102,"{""formation"": 126, ""fraction"": 0.17}",6
39,2018-06-11,2019-06-11,2019-06-12,2019-07-11,252,21,1.0215783649703445,"{""formation"": 126, ""fraction"": 0.17}",6
40,2018-07-11,2019-07-11,2019-07-12,2019-08-09,252,21,1.064389467785999,"{""formation"": 126, ""fraction"": 0.17}",6
41,2018-08-09,2019-08-09,2019-08-12,2019-09-10,252,21,0.7233599467735082,"{""formation"": 126, ""fraction"": 0.17}",6
42,2018-09-10,2019-09-10,2019-09-11,2019-10-09,252,21,0.5975916995751588,"{""formation"": 126, ""fraction"": 0.17}",6
43,2018-10-09,2019-10-09,2019-10-10,2019-11-07,252,21,0.7533281307823287,"{""formation"": 252, ""fraction"": 0.34}",6
44,2018-11-07,2019-11-07,2019-11-08,2019-12-09,252,21,1.4832827727878817,"{""formation"": 126, ""fraction"": 0.17}",6
45,2018-12-10,2019-12-09,2019-12-10,2020-01-09,252,21,1.6679098300135955,"{""formation"": 252, ""fraction"": 0.34}",6
46,2019-01-10,2020-01-09,2020-01-10,2020-02-10,252,21,2.818287771909932,"{""formation"": 126, ""fraction"": 0.17}",6
47,2019-02-11,2020-02-10,2020-02-11,2020-03-11,252,21,3.047008296890655,"{""formation"": 252, ""fraction"": 0.34}",6
48,2019-03-13,2020-03-11,2020-03-12,2020-04-09,252,21,1.9962902089774477,"{""formation"": 126, ""fraction"": 0.17}",6
49,2019-04-11,2020-04-09,2020-04-13,2020-05-11,252,21,1.52520473096427,"{""formation"": 126, ""fraction"": 0.17}",6
50,2019-05-13,2020-05-11,2020-05-12,2020-06-10,252,21,1.9060980315843494,"{""formation"": 126, ""fraction"": 0.17}",6
51,2019-06-12,2020-06-10,2020-06-11,2020-07-10,252,21,2.120709049943425,"{""formation"": 126, ""fraction"": 0.17}",6
52,2019-07-12,2020-07-10,2020-07-13,2020-08-10,252,21,2.5345764528990586,"{""formation"": 126, ""fraction"": 0.17}",6
53,2019-08-12,2020-08-10,2020-08-11,2020-09-09,252,21,2.4819063841254114,"{""formation"": 126, ""fraction"": 0.34}",6
54,2019-09-11,2020-09-09,2020-09-10,2020-10-08,252,21,2.583957419370124,"{""formation"": 126, ""fraction"": 0.34}",6
55,2019-10-10,2020-10-08,2020-10-09,2020-11-06,252,21,2.6996514588600684,"{""formation"": 126, ""fraction"": 0.34}",6
56,2019-11-08,2020-11-06,2020-11-09,2020-12-08,252,21,2.673801911563091,"{""formation"": 126, ""fraction"": 0.34}",6
57,2019-12-10,2020-12-08,2020-12-09,2021-01-08,252,21,2.9778486131161848,"{""formation"": 126, ""fraction"": 0.17}",6
58,2020-01-10,2021-01-08,2021-01-11,2021-02-09,252,21,2.9360486551786473,"{""formation"": 126, ""fraction"": 0.17}",6
59,2020-02-11,2021-02-09,2021-02-10,2021-03-11,252,21,2.4448597003254875,"{""formation"": 126, ""fraction"": 0.17}",6
60,2020-03-12,2021-03-11,2021-03-12,2021-04-12,252,21,2.8517796032906597,"{""formation"": 126, ""fraction"": 0.34}",6
61,2020-04-13,2021-04-12,2021-04-13,2021-05-11,252,21,2.938939928510579,"{""formation"": 126, ""fraction"": 0.34}",6
62,2020-05-12,2021-05-11,2021-05-12,2021-06-10,252,21,2.5581593811100847,"{""formation"": 126, ""fraction"": 0.34}",6
63,2020-06-11,2021-06-10,2021-06-11,2021-07-12,252,21,2.399816494771924,"{""formation"": 126, ""fraction"": 0.34}",6
64,2020-07-13,2021-07-12,2021-07-13,2021-08-10,252,21,1.9940779794843806,"{""formation"": 126, ""fraction"": 0.34}",6
65,2020-08-11,2021-08-10,2021-08-11,2021-09-09,252,21,2.1144281579699467,"{""formation"": 126, ""fraction"": 0.34}",6
