fold,train_start,train_end,test_start,test_end,train_days,test_days,in_sample_objective,params,grid_size
0,2015-03-11,2016-03-11,2016-03-14,2016-04-12,252,21,0.6967721265388426,"{""window"": 252, ""fraction"": 0.34, ""blend"": ""alpha_over_r2""}",4
1,2015-04-10,2016-04-12,2016-04-13,2016-05-11,252,21,0.6377369079709425,"{""window"": 252, ""fraction"": 0.34, ""blend"": ""alpha_over_r2""}",4
2,2015-05-11,2016-05-11,2016-05-12,2016-06-10,252,21,0.7942716023041287,"{""window"": 252, ""fraction"": 0.34, ""blend"": ""alpha_over_r2""}",4
3,2015-06-12,2016-06-10,2016-06-13,2016-07-12,252,21,0.7456658159311328,"{""window"": 252, ""fraction"": 0.34, ""blend"": ""alpha_over_r2""}",4
4,2015-07-14,2016-07-12,2016-07-13,2016-08-11,252,21,0.49628249945093467,"{""window"": 252, ""fraction"": 0.34, ""blend"": ""alpha_over_r2""}",4
5,2015-08-12,2016-08-11,2016-08-12,2016-09-12,252,21,-0.032421542964623545,"{""window"": 252, ""fraction"": 0.34, ""blend"": ""alpha_over_r2""}",4
6,2015-09-11,2016-09-12,2016-09-13,2016-10-11,252,21,-0.5669690863206712,"{""window"": 252, ""fraction"": 0.34, ""blend"": ""alpha_over_r2""}",4
7,2015-10-12,2016-10-11,2016-10-12,2016-11-09,252,21,-0.6053060322933617,"{""window"": 126, ""fraction"": 0.34, ""blend"": ""alpha_only""}",4
8,2015-11-10,2016-11-09,2016-11-10,2016-12-09,252,21,-0.6926114796139975,"{""window"": 126, ""fraction"": 0.34, ""blend"": ""alpha_only""}",4
9,2015-12-10,2016-12-09,2016-12-12,2017-01-11,252,21,-0.8345399527688245,"{""window"": 126, ""fraction"": 0.34, ""blend"": ""alpha_only""}",4
10,2016-01-12,2017-01-11,2017-01-12,2017-02-10,252,21,-1.4576525959635667,"{""window"": 126, ""fraction"": 0.34, ""blend"": ""alpha_only""}",4
11,2016-02-11,2017-02-10,2017-02-13,2017-03-14,252,21,-1.7411512531119582,"{""window"": 126, ""fraction"": 0.34, ""blend"": ""alpha_over_r2""}",4
12,2016-03-14,2017-03-14,2017-03-15,2017-04-12,252,21,-1.0698593482683263,"{""window"": 126, ""fraction"": 0.34, ""blend"": ""alpha_only""}",4
13,2016-04-13,2017-04-12,2017-04-13,2017-05-15,252,21,-1.0860801906100945,"{""window"": 126, ""fraction"": 0.34, ""blend"": ""alpha_over_r2""}",4
14,2016-05-12,2017-05-15,2017-05-16,2017-06-14,252,21,-1.2088961177627684,"{""window"": 126, ""fraction"": 0.34, ""blend"": ""alpha_only""}",4
15,2016-06-13,2017-06-14,2017-06-15,2017-07-14,252,21,-1.0734108987564541,"{""window"": 126, ""fraction"": 0.34, ""blend"": ""alpha_only""}",4
16,2016-07-13,2017-07-14,2017-07-17,2017-08-14,252,21,-1.34628643805447,"{""window"": 126, ""fraction"": 0.34, ""blend"": ""alpha_only""}",4
17,2016-08-12,2017-08-14,2017-08-15,2017-09-13,252,21,-0.778559839035019,"{""window"": 126, ""fraction"": 0.34, ""blend"": ""alpha_only""}",4
