fold,train_start,train_end,test_start,test_end,train_days,test_days,in_sample_objective,params,grid_size
0,2015-03-11,2016-03-11,2016-03-14,2016-04-12,252,21,-1.9332320176717368,"{""fraction"": 0.17, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
1,2015-04-10,2016-04-12,2016-04-13,2016-05-11,252,21,-1.7497427699180896,"{""fraction"": 0.17, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
2,2015-05-11,2016-05-11,2016-05-12,2016-06-10,252,21,-1.7752102625987678,"{""fraction"": 0.17, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
3,2015-06-12,2016-06-10,2016-06-13,2016-07-12,252,21,-1.9539207486450996,"{""fraction"": 0.17, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
4,2015-07-14,2016-07-12,2016-07-13,2016-08-11,252,21,-1.4288320839477102,"{""fraction"": 0.34, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
5,2015-08-12,2016-08-11,2016-08-12,2016-09-12,252,21,-1.4576282017960096,"{""fraction"": 0.34, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
6,2015-09-11,2016-09-12,2016-09-13,2016-10-11,252,21,-1.2175383487088538,"{""fraction"": 0.34, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
7,2015-10-12,2016-10-11,2016-10-12,2016-11-09,252,21,-1.720668218092156,"{""fraction"": 0.34, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
8,2015-11-10,2016-11-09,2016-11-10,2016-12-09,252,21,-2.400439830925319,"{""fraction"": 0.34, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
9,2015-12-10,2016-12-09,2016-12-12,2017-01-11,252,21,-2.1067327006840717,"{""fraction"": 0.34, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
10,2016-01-12,2017-01-11,2017-01-12,2017-02-10,252,21,-1.6942630078419296,"{""fraction"": 0.34, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
11,2016-02-11,2017-02-10,2017-02-13,2017-03-14,252,21,-1.743116042999027,"{""fraction"": 0.34, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
12,2016-03-14,2017-03-14,2017-03-15,2017-04-12,252,21,-2.1912036984980747,"{""fraction"": 0.34, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
13,2016-04-13,2017-04-12,2017-04-13,2017-05-15,252,21,-2.5187141240304003,"{""fraction"": 0.34, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
14,2016-05-12,2017-05-15,2017-05-16,2017-06-14,252,21,-2.705446627184785,"{""fraction"": 0.34, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
