fold,train_start,train_end,test_start,test_end,train_days,test_days,in_sample_objective,params,grid_size
0,2015-03-11,2016-03-09,2016-03-10,2016-04-08,252,21,1.0849372731440374,"{""formation"": 126, ""weighting"": ""raw"", ""ma_filter"": true, ""ma_length"": 200}",24
1,2015-04-10,2016-04-08,2016-04-11,2016-05-09,252,21,1.4069034584418274,"{""formation"": 252, ""weighting"": ""raw"", ""ma_filter"": false, ""ma_length"": 200}",24
2,2015-05-11,2016-05-09,2016-05-10,2016-06-08,252,21,1.351169814311205,"{""formation"": 252, ""weighting"": ""raw"", ""ma_filter"": false, ""ma_length"": 200}",24
3,2015-06-10,2016-06-08,2016-06-09,2016-07-08,252,21,1.9062176733951057,"{""formation"": 252, ""weighting"": ""raw"", ""ma_filter"": false, ""ma_length"": 200}",24
4,2015-07-10,2016-07-08,2016-07-11,2016-08-08,252,21,2.1594315648306295,"{""formation"": 252, ""weighting"": ""raw"", ""ma_filter"": false, ""ma_length"": 200}",24
5,2015-08-10,2016-08-08,2016-08-09,2016-09-07,252,21,2.228516439539002,"{""formation"": 252, ""weighting"": ""raw"", ""ma_filter"": false, ""ma_length"": 200}",24
6,2015-09-09,2016-09-07,2016-09-08,2016-10-06,252,21,2.7567533069944745,"{""formation"": 252, ""weighting"": ""raw"", ""ma_filter"": false, ""ma_length"": 200}",24
7,2015-10-08,2016-10-06,2016-10-07,2016-11-04,252,21,2.730990529989815,"{""formation"": 252, ""weighting"": ""raw"", ""ma_filter"": false, ""ma_length"": 200}",24
8,2015-11-06,2016-11-04,2016-11-07,2016-12-06,252,21,1.943026326070363,"{""formation"": 252, ""weighting"": ""raw"", ""ma_filter"": false, ""ma_length"": 200}",24
9,2015-12-08,2016-12-06,2016-12-07,2017-01-06,252,21,2.2014970605489523,"{""formation"": 252, ""weighting"": ""raw"", ""ma_filter"": false, ""ma_length"": 200}",24
10,2016-01-08,2017-01-06,2017-01-09,2017-02-07,252,21,2.789738596805755,"{""formation"": 252, ""weighting"": ""inverse_var"", ""ma_filter"": false, ""ma_length"": 200}",24
11,2016-02-09,2017-02-07,2017-02-08,2017-03-09,252,21,3.8954487886409437,"{""formation"": 252, ""weighting"": ""inverse_var"", ""ma_filter"": false, ""ma_length"": 200}",24
12,2016-03-10,2017-03-09,2017-03-10,2017-04-07,252,21,3.3291189950441944,"{""formation"": 252, ""weighting"": ""inverse_var"", ""ma_filter"": false, ""ma_length"": 200}",24
13,2016-04-11,2017-04-07,2017-04-10,2017-05-09,252,21,3.0483024333738418,"{""formation"": 252, ""weighting"": ""inverse_var"", ""ma_filter"": true, ""ma_length"": 200}",24
14,2016-05-10,2017-05-09,2017-05-10,2017-06-08,252,21,3.1931428145579104,"{""formation"": 126, ""weighting"": ""inverse_var"", ""ma_filter"": false, ""ma_length"": 200}",24
15,2016-06-09,2017-06-08,2017-06-09,2017-07-10,252,21,3.1213314950081457,"{""formation"": 126, ""weighting"": ""inverse_var"", ""ma_filter"": true, ""ma_length"": 200}",24
16,2016-07-11,2017-07-10,2017-07-11,2017-08-08,252,21,2.6670224021193096,"{""formation"": 252, ""weighting"": ""inverse_var"", ""ma_filter"": true, ""ma_length"": 200}",24
17,2016-08-09,2017-08-08,2017-08-09,2017-09-07,252,21,2.4856176340811915,"{""formation"": 252, ""weighting"": ""inverse_vol"", ""ma_filter"": true, ""ma_length"": 200}",24
18,2016-09-08,2017-09-07,2017-09-08,2017-10-06,252,21,2.255819232971396,"{""formation"": 126, ""weighting"": ""inverse_var"", ""ma_filter"": false, ""ma_length"": 200}",24
19,2016-10-07,2017-10-06,2017-10-09,2017-11-06,252,21,2.276619568485086,"{""formation"": 252, ""weighting"": ""inverse_var"", ""ma_filter"": true, ""ma_length"": 200}",24
20,2016-11-07,2017-11-06,2017-11-07,2017-12-06,252,21,2.66055582018333,"{""formation"": 126, ""weighting"": ""inverse_var"", ""ma_filter"": false, ""ma_length"": 200}",24
21,2016-12-07,2017-12-06,2017-12-07,2018-01-08,252,21,2.469976453713822,"{""formation"": 126, ""weighting"": ""inverse_var"", ""ma_filter"": false, ""ma_length"": 200}",24
22,2017-01-09,2018-01-08,2018-01-09,2018-02-07,252,21,2.77484100028732,"{""formation"": 252, ""weighting"": ""inverse_var"", ""ma_filter"": false, ""ma_length"": 200}",24
23,2017-02-08,2018-02-07,2018-02-08,2018-03-09,252,21,2.5978379269656644,"{""formation"": 126, ""weighting"": ""inverse_var"", ""ma_filter"": false, ""ma_length"": 200}",24
24,2017-03-10,2018-03-09,2018-03-12,2018-04-10,252,21,2.762745401186761,"{""formation"": 252, ""weighting"": ""inverse_var"", ""ma_filter"": false, ""ma_length"": 200}",24
25,2017-04-10,2018-04-10,2018-04-11,2018-05-09,252,21,2.092836678034336,"{""formation"": 252, ""weighting"": ""raw"", ""ma_filter"": false, ""ma_length"": 200}",24
26,2017-05-10,2018-05-09,2018-05-10,2018-06-08,252,21,1.9930493295557365,"{""formation"": 126, ""weighting"": ""raw"", ""ma_filter"": true, ""ma_length"": 200}",24
27,2017-06-09,2018-06-08,2018-06-11,2018-07-10,252,21,1.7707101786849793,"{""formation"": 252, ""weighting"": ""inverse_var"", ""ma_filter"": true, ""ma_length"": 200}",24
28,2017-07-11,2018-07-10,2018-07-11,2018-08-08,252,21,1.8334336686617205,"{""formation"": 126, ""weighting"": ""inverse_var"", ""ma_filter"": true, ""ma_length"": 200}",24
29,2017-08-09,2018-08-08,2018-08-09,2018-09-07,252,21,1.878257648968377,"{""formation"": 126, ""weighting"": ""inverse_var"", ""ma_filter"": true, ""ma_length"": 200}",24
30,2017-09-08,2018-09-07,2018-09-10,2018-10-08,252,21,2.1046090832008817,"{""formation"": 252, ""weighting"": ""inverse_var"", ""ma_filter"": false, ""ma_length"": 200}",24
