fold,train_start,train_end,test_start,test_end,train_days,test_days,in_sample_objective,params,grid_size
0,2015-03-11,2016-03-09,2016-03-10,2016-04-08,252,21,0.9257426737711536,"{""target_vol"": 0.15, ""vol_window"": 21, ""max_leverage"": 1.0, ""rebalance_threshold"": 0.1, ""annualization"": 252}",24
1,2015-04-10,2016-04-08,2016-04-11,2016-05-09,252,21,1.1684823853406479,"{""target_vol"": 0.15, ""vol_window"": 21, ""max_leverage"": 1.0, ""rebalance_threshold"": 0.1, ""annualization"": 252}",24
2,2015-05-11,2016-05-09,2016-05-10,2016-06-08,252,21,0.8064026507416026,"{""target_vol"": 0.15, ""vol_window"": 21, ""max_leverage"": 2.0, ""rebalance_threshold"": 0.1, ""annualization"": 252}",24
3,2015-06-10,2016-06-08,2016-06-09,2016-07-08,252,21,1.350893280058435,"{""target_vol"": 0.15, ""vol_window"": 21, ""max_leverage"": 1.0, ""rebalance_threshold"": 0.1, ""annualization"": 252}",24
4,2015-07-10,2016-07-08,2016-07-11,2016-08-08,252,21,1.3371953210752536,"{""target_vol"": 0.2, ""vol_window"": 21, ""max_leverage"": 1.0, ""rebalance_threshold"": 0.0, ""annualization"": 252}",24
5,2015-08-10,2016-08-08,2016-08-09,2016-09-07,252,21,1.348741701517455,"{""target_vol"": 0.2, ""vol_window"": 21, ""max_leverage"": 1.0, ""rebalance_threshold"": 0.0, ""annualization"": 252}",24
6,2015-09-09,2016-09-07,2016-09-08,2016-10-06,252,21,1.8575899451033564,"{""target_vol"": 0.2, ""vol_window"": 21, ""max_leverage"": 1.0, ""rebalance_threshold"": 0.0, ""annualization"": 252}",24
7,2015-10-08,2016-10-06,2016-10-07,2016-11-04,252,21,1.7758464440723976,"{""target_vol"": 0.2, ""vol_window"": 21, ""max_leverage"": 1.0, ""rebalance_threshold"": 0.1, ""annualization"": 252}",24
8,2015-11-06,2016-11-04,2016-11-07,2016-12-06,252,21,1.1392390748850745,"{""target_vol"": 0.2, ""vol_window"": 21, ""max_leverage"": 1.0, ""rebalance_threshold"": 0.1, ""annualization"": 252}",24
9,2015-12-08,2016-12-06,2016-12-07,2017-01-06,252,21,1.5887332509129788,"{""target_vol"": 0.2, ""vol_window"": 21, ""max_leverage"": 1.0, ""rebalance_threshold"": 0.1, ""annualization"": 252}",24
10,2016-01-08,2017-01-06,2017-01-09,2017-02-07,252,21,2.442035680207685,"{""target_vol"": 0.2, ""vol_window"": 21, ""max_leverage"": 1.0, ""rebalance_threshold"": 0.1, ""annualization"": 252}",24
11,2016-02-09,2017-02-07,2017-02-08,2017-03-09,252,21,3.6721849610449357,"{""target_vol"": 0.2, ""vol_window"": 63, ""max_leverage"": 1.0, ""rebalance_threshold"": 0.1, ""annualization"": 252}",24
12,2016-03-10,2017-03-09,2017-03-10,2017-04-07,252,21,2.966388906868524,"{""target_vol"": 0.2, ""vol_window"": 21, ""max_leverage"": 1.0, ""rebalance_threshold"": 0.1, ""annualization"": 252}",24
13,2016-04-11,2017-04-07,2017-04-10,2017-05-09,252,21,2.842192856370526,"{""target_vol"": 0.2, ""vol_window"": 63, ""max_leverage"": 1.0, ""rebalance_threshold"": 0.1, ""annualization"": 252}",24
14,2016-05-10,2017-05-09,2017-05-10,2017-06-08,252,21,3.1819096986886914,"{""target_vol"": 0.2, ""vol_window"": 63, ""max_leverage"": 1.0, ""rebalance_threshold"": 0.1, ""annualization"": 252}",24
15,2016-06-09,2017-06-08,2017-06-09,2017-07-10,252,21,3.2885544177329926,"{""target_vol"": 0.2, ""vol_window"": 63, ""max_leverage"": 1.0, ""rebalance_threshold"": 0.0, ""annualization"": 252}",24
16,2016-07-11,2017-07-10,2017-07-11,2017-08-08,252,21,3.0028588442687556,"{""target_vol"": 0.2, ""vol_window"": 63, ""max_leverage"": 1.0, ""rebalance_threshold"": 0.0, ""annualization"": 252}",24
17,2016-08-09,2017-08-08,2017-08-09,2017-09-07,252,21,3.087036498070786,"{""target_vol"": 0.2, ""vol_window"": 63, ""max_leverage"": 1.0, ""rebalance_threshold"": 0.1, ""annualization"": 252}",24
18,2016-09-08,2017-09-07,2017-09-08,2017-10-06,252,21,2.9346531209209528,"{""target_vol"": 0.2, ""vol_window"": 63, ""max_leverage"": 1.0, ""rebalance_threshold"": 0.1, ""annualization"": 252}",24
19,2016-10-07,2017-10-06,2017-10-09,2017-11-06,252,21,3.087293588168058,"{""target_vol"": 0.2, ""vol_window"": 63, ""max_leverage"": 1.0, ""rebalance_threshold"": 0.1, ""annualization"": 252}",24
20,2016-11-07,2017-11-06,2017-11-07,2017-12-06,252,21,3.4598638938619906,"{""target_vol"": 0.2, ""vol_window"": 63, ""max_leverage"": 1.0, ""rebalance_threshold"": 0.1, ""annualization"": 252}",24
21,2016-12-07,2017-12-06,2017-12-07,2018-01-08,252,21,3.161262486694463,"{""target_vol"": 0.2, ""vol_window"": 63, ""max_leverage"": 1.0, ""rebalance_threshold"": 0.1, ""annualization"": 252}",24
22,2017-01-09,2018-01-08,2018-01-09,2018-02-07,252,21,3.280274646020287,"{""target_vol"": 0.2, ""vol_window"": 63, ""max_leverage"": 1.0, ""rebalance_threshold"": 0.0, ""annualization"": 252}",24
23,2017-02-08,2018-02-07,2018-02-08,2018-03-09,252,21,3.0180531336754024,"{""target_vol"": 0.2, ""vol_window"": 63, ""max_leverage"": 1.0, ""rebalance_threshold"": 0.1, ""annualization"": 252}",24
24,2017-03-10,2018-03-09,2018-03-12,2018-04-10,252,21,3.0646390803543517,"{""target_vol"": 0.1, ""vol_window"": 63, ""max_leverage"": 1.0, ""rebalance_threshold"": 0.0, ""annualization"": 252}",24
25,2017-04-10,2018-04-10,2018-04-11,2018-05-09,252,21,2.3828214176869156,"{""target_vol"": 0.1, ""vol_window"": 63, ""max_leverage"": 1.0, ""rebalance_threshold"": 0.0, ""annualization"": 252}",24
26,2017-05-10,2018-05-09,2018-05-10,2018-06-08,252,21,2.0807880293787,"{""target_vol"": 0.15, ""vol_window"": 63, ""max_leverage"": 2.0, ""rebalance_threshold"": 0.0, ""annualization"": 252}",24
27,2017-06-09,2018-06-08,2018-06-11,2018-07-10,252,21,1.8518316641669463,"{""target_vol"": 0.15, ""vol_window"": 63, ""max_leverage"": 2.0, ""rebalance_threshold"": 0.0, ""annualization"": 252}",24
28,2017-07-11,2018-07-10,2018-07-11,2018-08-08,252,21,1.952161340816303,"{""target_vol"": 0.15, ""vol_window"": 63, ""max_leverage"": 2.0, ""rebalance_threshold"": 0.0, ""annualization"": 252}",24
29,2017-08-09,2018-08-08,2018-08-09,2018-09-07,252,21,1.9969997132880897,"{""target_vol"": 0.15, ""vol_window"": 63, ""max_leverage"": 2.0, ""rebalance_threshold"": 0.0, ""annualization"": 252}",24
30,2017-09-08,2018-09-07,2018-09-10,2018-10-08,252,21,2.0139436728287183,"{""target_vol"": 0.15, ""vol_window"": 63, ""max_leverage"": 2.0, ""rebalance_threshold"": 0.0, ""annualization"": 252}",24
31,2017-10-09,2018-10-08,2018-10-09,2018-11-06,252,21,1.632954898117678,"{""target_vol"": 0.1, ""vol_window"": 63, ""max_leverage"": 1.0, ""rebalance_threshold"": 0.0, ""annualization"": 252}",24
32,2017-11-07,2018-11-06,2018-11-07,2018-12-07,252,21,1.1274951180728612,"{""target_vol"": 0.15, ""vol_window"": 63, ""max_leverage"": 2.0, ""rebalance_threshold"": 0.0, ""annualization"": 252}",24
33,2017-12-07,2018-12-07,2018-12-10,2019-01-09,252,21,0.8948082939190606,"{""target_vol"": 0.15, ""vol_window"": 21, ""max_leverage"": 2.0, ""rebalance_threshold"": 0.0, ""annualization"": 252}",24
