key,title,ann_return,sharpe,t_stat_vs_zero,p_vs_zero,excess_ann_return,t_stat_vs_benchmark,p_vs_benchmark,p_worse_than_benchmark
4.1.momentum_rotation,4.1 Momentum rotation,0.5752933238211305,1.2906061652145553,4.118547761136083,1.9653069406143033e-05,0.2235170591767517,2.324093294539581,0.010098260561764261,0.9899017394382358
3.1.price_momentum_long_only,3.1 Price-momentum (long-only),0.45297670201498336,1.074744747304252,3.4570390247566136,0.0002774186743603113,0.1012004373706045,1.1105123507038168,0.1334400491415348,0.8665599508584652
4.6.multi_asset_trend,4.6 Multi-asset trend following,0.37195691300743816,1.2092537879716267,3.7830262294328594,7.919844538746406e-05,0.02018064836305925,0.3292873317354683,0.37098240445490266,0.6290175955450974
4.1.2.dual_momentum,4.1.2 Dual-momentum rotation,0.3433054588242686,1.1040481599134637,3.323051298094058,0.00045130514826976164,-0.008470805820110259,-0.10830068870032628,0.543117270129158,0.456882729870842
6.5.volatility_targeting,6.5 Volatility targeting with risk-free asset,0.2674690869838191,1.6236416641819815,5.303730520423956,6.14634377012754e-08,-0.0843071776605597,-2.5023817368102326,0.9938017515727627,0.006198248427237263
3.11.single_moving_average,3.11 Single moving average,0.2349709903053375,0.9548311955232519,2.987250180116638,0.0014205371489834243,-0.11680527433904135,-2.02328226229288,0.9784273555549893,0.021572644445010725
3.15.channel,3.15 Channel (Donchian),0.22785322688691773,0.8783105349343778,2.8361177418537467,0.002300790500969972,-0.12392303775746111,-2.1318212483856924,0.9834428880133776,0.016557111986622353
3.14.support_resistance,3.14 Support and resistance,0.16531807950241142,0.6491821683356838,2.0632852108019875,0.019591864351303143,-0.18645818514196744,-3.225828901795457,0.9993642355676398,0.0006357644323602418
3.4.low_volatility,3.4 Low-volatility anomaly,0.1219189637627729,0.5759218244299785,1.9468340148313057,0.02583062357224676,-0.22985730088160597,-3.1965777684920202,0.9992963921385934,0.0007036078614065522
10.4.trend_following,10.4 Trend following (sign/vol weighting),0.11862679356803389,0.647911480316097,2.0657224323101397,0.019476348167137846,-0.23314947107634493,-3.328938611195194,0.9995580876276902,0.0004419123723098384
3.13.three_moving_averages,3.13 Three moving averages,0.07713437357502378,0.29914256570839576,1.0708560577099295,0.14216633982830135,-0.27464189106935505,-2.848737956791424,0.9977882455284038,0.0022117544715961612
3.12.two_moving_averages,3.12 Two moving averages,0.06922758778908819,0.32602542067508494,1.1445042669662715,0.12625949749325513,-0.2825486768552906,-3.1788520251058388,0.9992520924198366,0.0007479075801634094
3.1.price_momentum,3.1 Price-momentum,0.06352925907622532,0.26951186036871316,0.8934033154073207,0.1858615938840524,-0.2882470055681535,-3.0581527633055394,0.9988752260968248,0.0011247739031752246
4.1.1.momentum_rotation_ma_filter,4.1.1 Momentum rotation with MA filter,0.055860694282994616,0.18875852533243567,0.5899053641482558,0.2776524543170834,-0.2959155703613842,-2.874267839054489,0.9979588733053144,0.002041126694685591
3.17.single_stock_knn,3.17 Single-stock KNN,0.05213295888948062,0.2654911142451818,0.880813660385334,0.18924969116979884,-0.2996433057548982,-3.749347347862216,0.9999094365571731,9.056344282687423e-05
4.3.r_squared,4.3 R-squared selectivity,0.03929912643612332,0.2281283978353034,0.741091720839348,0.2293520843358118,-0.31247713820825557,-3.3011338590248163,0.9995120755811765,0.00048792441882350435
3.7.residual_momentum,3.7 Residual momentum (market-residual proxy),-0.0049855322481924405,-0.029348116492925347,-0.09667728535890018,0.5385049676248765,-0.3567617968925713,-3.975942865904841,0.9999640023517026,3.599764829742558e-05
3.8.pairs_trading,3.8 Pairs trading,-0.01920780282105096,-0.1320944427111902,-0.45047326759321327,0.6737967719511183,-0.3709840674654298,-4.3090309162820635,0.9999914994904754,8.500509524611566e-06
4.4.mean_reversion_ibs,4.4 Mean-reversion (internal bar strength),-0.03007238361185202,-0.1547968787697375,-0.5358047236236093,0.7039305270642926,-0.38184864825623094,-4.210235364559483,0.9999868152830724,1.3184716927572282e-05
10.3.contrarian,10.3 Contrarian trading (market-index demeaned),-0.03647687992204778,-0.20080957486813364,-0.6729997425020013,0.7494966292130432,-0.38825314456642657,-4.168145493556087,0.9999841482517029,1.585174829710212e-05
3.9.1.mean_reversion_multi_cluster,3.9.1 Mean-reversion (multiple clusters),-0.05307070220202493,-0.28070237673275206,-0.9456224236126958,0.8277858491069987,-0.4048469668464038,-4.376448511712525,0.999993732665739,6.267334261012003e-06
3.20.alpha_combo,3.20 Alpha combos,-0.0584155845774992,-0.24791906809330233,-0.8211321854780812,0.7941771994852931,-0.41019184922187807,-4.909840705376683,0.9999995162819246,4.837180753725079e-07
3.18.1.stat_arb_dollar_neutral,3.18.1 Statistical arbitrage (dollar-neutral),-0.058674496770966526,-0.38273404924978416,-1.2653967391273924,0.8970792315594474,-0.41045076141534537,-4.719933521779984,0.9999987584282035,1.2415717964842088e-06
3.6.multifactor,3.6 Multifactor portfolio (rank blend),-0.06272446050345643,-0.3571909167325068,-1.1914454034414508,0.8832067140950028,-0.41450072514783526,-4.33745427942185,0.999992520605212,7.4793947879570055e-06
3.10.mean_reversion_weighted_regression,3.10 Mean-reversion (weighted regression),-0.07494212546401004,-0.45566972419585433,-1.5916768656026674,0.9442110861434225,-0.42671839010838886,-4.788641949719005,0.9999991137511025,8.862488974914484e-07
3.9.mean_reversion_single_cluster,3.9 Mean-reversion (single cluster),-0.0766122357414269,-0.4161631861188291,-1.4721611867914546,0.9294513373123716,-0.4283885003858057,-4.694023593943487,0.9999985917308577,1.4082691423000782e-06
3.18.stat_arb_optimization,3.18 Statistical arbitrage (mean-variance optimisation),-0.08514217081356262,-0.6045486464451523,-1.9537166259723024,0.9745795544153665,-0.43691843545794146,-5.088405989173666,0.9999998066919877,1.9330801226402627e-07
10.3.1.contrarian_market_activity,10.3.1 Contrarian trading with volume filter,-0.1418548588508338,-0.5164725253439466,-1.8181801630750156,0.9654246937175629,-0.4936311234952126,-4.5203546403574135,0.9999967762711698,3.2237288302150446e-06
