fold,train_start,train_end,test_start,test_end,train_days,test_days,in_sample_objective,params,grid_size
0,2015-03-11,2016-03-09,2016-03-10,2016-04-08,252,21,-0.06312256450892928,"{""lookback"": 5, ""vol_scaling"": ""none"", ""vol_window"": 63, ""activity_window"": 10}",8
1,2015-04-10,2016-04-08,2016-04-11,2016-05-09,252,21,0.15811699043809516,"{""lookback"": 5, ""vol_scaling"": ""none"", ""vol_window"": 63, ""activity_window"": 10}",8
2,2015-05-11,2016-05-09,2016-05-10,2016-06-08,252,21,0.21384826703959892,"{""lookback"": 5, ""vol_scaling"": ""none"", ""vol_window"": 63, ""activity_window"": 10}",8
3,2015-06-10,2016-06-08,2016-06-09,2016-07-08,252,21,-0.060712416411376674,"{""lookback"": 10, ""vol_scaling"": ""none"", ""vol_window"": 63, ""activity_window"": 10}",8
4,2015-07-10,2016-07-08,2016-07-11,2016-08-08,252,21,0.14744396126884016,"{""lookback"": 5, ""vol_scaling"": ""none"", ""vol_window"": 63, ""activity_window"": 10}",8
5,2015-08-10,2016-08-08,2016-08-09,2016-09-07,252,21,0.49801322895739414,"{""lookback"": 10, ""vol_scaling"": ""none"", ""vol_window"": 63, ""activity_window"": 10}",8
6,2015-09-09,2016-09-07,2016-09-08,2016-10-06,252,21,0.016859274177701146,"{""lookback"": 10, ""vol_scaling"": ""none"", ""vol_window"": 63, ""activity_window"": 10}",8
7,2015-10-08,2016-10-06,2016-10-07,2016-11-04,252,21,-0.07385904369336628,"{""lookback"": 10, ""vol_scaling"": ""none"", ""vol_window"": 63, ""activity_window"": 10}",8
8,2015-11-06,2016-11-04,2016-11-07,2016-12-06,252,21,-0.25738907753745943,"{""lookback"": 10, ""vol_scaling"": ""none"", ""vol_window"": 63, ""activity_window"": 10}",8
9,2015-12-08,2016-12-06,2016-12-07,2017-01-06,252,21,-0.013226758734458508,"{""lookback"": 10, ""vol_scaling"": ""none"", ""vol_window"": 63, ""activity_window"": 10}",8
10,2016-01-08,2017-01-06,2017-01-09,2017-02-07,252,21,0.20013899941454996,"{""lookback"": 10, ""vol_scaling"": ""none"", ""vol_window"": 63, ""activity_window"": 10}",8
11,2016-02-09,2017-02-07,2017-02-08,2017-03-09,252,21,0.44887720833725,"{""lookback"": 10, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63, ""activity_window"": 10}",8
12,2016-03-10,2017-03-09,2017-03-10,2017-04-07,252,21,0.14921704957876528,"{""lookback"": 10, ""vol_scaling"": ""none"", ""vol_window"": 63, ""activity_window"": 10}",8
13,2016-04-11,2017-04-07,2017-04-10,2017-05-09,252,21,0.0394061138747053,"{""lookback"": 10, ""vol_scaling"": ""none"", ""vol_window"": 63, ""activity_window"": 10}",8
14,2016-05-10,2017-05-09,2017-05-10,2017-06-08,252,21,0.11496312527808401,"{""lookback"": 10, ""vol_scaling"": ""none"", ""vol_window"": 63, ""activity_window"": 10}",8
15,2016-06-09,2017-06-08,2017-06-09,2017-07-10,252,21,0.16010282797813555,"{""lookback"": 10, ""vol_scaling"": ""none"", ""vol_window"": 63, ""activity_window"": 10}",8
16,2016-07-11,2017-07-10,2017-07-11,2017-08-08,252,21,0.565335628925144,"{""lookback"": 10, ""vol_scaling"": ""none"", ""vol_window"": 63, ""activity_window"": 10}",8
17,2016-08-09,2017-08-08,2017-08-09,2017-09-07,252,21,0.43376365084675567,"{""lookback"": 10, ""vol_scaling"": ""none"", ""vol_window"": 63, ""activity_window"": 10}",8
18,2016-09-08,2017-09-07,2017-09-08,2017-10-06,252,21,0.7227323169034796,"{""lookback"": 10, ""vol_scaling"": ""none"", ""vol_window"": 63, ""activity_window"": 10}",8
19,2016-10-07,2017-10-06,2017-10-09,2017-11-06,252,21,0.7600049285717986,"{""lookback"": 10, ""vol_scaling"": ""none"", ""vol_window"": 63, ""activity_window"": 10}",8
20,2016-11-07,2017-11-06,2017-11-07,2017-12-06,252,21,0.31304930766062566,"{""lookback"": 10, ""vol_scaling"": ""none"", ""vol_window"": 63, ""activity_window"": 10}",8
21,2016-12-07,2017-12-06,2017-12-07,2018-01-08,252,21,0.20574364892461974,"{""lookback"": 10, ""vol_scaling"": ""none"", ""vol_window"": 63, ""activity_window"": 10}",8
22,2017-01-09,2018-01-08,2018-01-09,2018-02-07,252,21,-0.435373614154657,"{""lookback"": 10, ""vol_scaling"": ""none"", ""vol_window"": 63, ""activity_window"": 10}",8
23,2017-02-08,2018-02-07,2018-02-08,2018-03-09,252,21,-0.6875976177038284,"{""lookback"": 10, ""vol_scaling"": ""none"", ""vol_window"": 63, ""activity_window"": 10}",8
24,2017-03-10,2018-03-09,2018-03-12,2018-04-10,252,21,-0.8462799249841996,"{""lookback"": 10, ""vol_scaling"": ""none"", ""vol_window"": 63, ""activity_window"": 10}",8
