fold,train_start,train_end,test_start,test_end,train_days,test_days,in_sample_objective,params,grid_size
0,2015-03-11,2016-03-09,2016-03-10,2016-04-08,252,21,-0.30965525533082383,"{""lookback"": 5, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
1,2015-04-10,2016-04-08,2016-04-11,2016-05-09,252,21,-0.01266755467908566,"{""lookback"": 5, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
2,2015-05-11,2016-05-09,2016-05-10,2016-06-08,252,21,-0.2508680160345228,"{""lookback"": 5, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
3,2015-06-10,2016-06-08,2016-06-09,2016-07-08,252,21,-0.26363936350984263,"{""lookback"": 21, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
4,2015-07-10,2016-07-08,2016-07-11,2016-08-08,252,21,0.032784389778747085,"{""lookback"": 21, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
5,2015-08-10,2016-08-08,2016-08-09,2016-09-07,252,21,0.4629350724433627,"{""lookback"": 21, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
6,2015-09-09,2016-09-07,2016-09-08,2016-10-06,252,21,0.32323925798056535,"{""lookback"": 21, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
7,2015-10-08,2016-10-06,2016-10-07,2016-11-04,252,21,0.12149317695849522,"{""lookback"": 21, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63}",9
8,2015-11-06,2016-11-04,2016-11-07,2016-12-06,252,21,0.28125643566308767,"{""lookback"": 21, ""vol_scaling"": ""inverse_var"", ""vol_window"": 63}",9
9,2015-12-08,2016-12-06,2016-12-07,2017-01-06,252,21,0.28100259443553716,"{""lookback"": 21, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
10,2016-01-08,2017-01-06,2017-01-09,2017-02-07,252,21,0.882810063185319,"{""lookback"": 21, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
11,2016-02-09,2017-02-07,2017-02-08,2017-03-09,252,21,1.8301120656147725,"{""lookback"": 21, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63}",9
12,2016-03-10,2017-03-09,2017-03-10,2017-04-07,252,21,1.351780646817525,"{""lookback"": 21, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
13,2016-04-11,2017-04-07,2017-04-10,2017-05-09,252,21,1.3325548717640392,"{""lookback"": 21, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
14,2016-05-10,2017-05-09,2017-05-10,2017-06-08,252,21,0.6762936434949678,"{""lookback"": 21, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
15,2016-06-09,2017-06-08,2017-06-09,2017-07-10,252,21,0.20972471019722,"{""lookback"": 21, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
16,2016-07-11,2017-07-10,2017-07-11,2017-08-08,252,21,0.42076721037504206,"{""lookback"": 10, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
17,2016-08-09,2017-08-08,2017-08-09,2017-09-07,252,21,0.39893557851559447,"{""lookback"": 10, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
18,2016-09-08,2017-09-07,2017-09-08,2017-10-06,252,21,0.7049287320796981,"{""lookback"": 10, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
19,2016-10-07,2017-10-06,2017-10-09,2017-11-06,252,21,0.6726675244013177,"{""lookback"": 10, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
20,2016-11-07,2017-11-06,2017-11-07,2017-12-06,252,21,0.21172288902434816,"{""lookback"": 10, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
21,2016-12-07,2017-12-06,2017-12-07,2018-01-08,252,21,0.29670949597193397,"{""lookback"": 10, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
22,2017-01-09,2018-01-08,2018-01-09,2018-02-07,252,21,-0.3358653609022225,"{""lookback"": 10, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
23,2017-02-08,2018-02-07,2018-02-08,2018-03-09,252,21,-0.6943649223306171,"{""lookback"": 10, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
24,2017-03-10,2018-03-09,2018-03-12,2018-04-10,252,21,-0.8351028212434458,"{""lookback"": 10, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
25,2017-04-10,2018-04-10,2018-04-11,2018-05-09,252,21,-0.6701569964797538,"{""lookback"": 10, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
26,2017-05-10,2018-05-09,2018-05-10,2018-06-08,252,21,-0.4795055467225054,"{""lookback"": 10, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
27,2017-06-09,2018-06-08,2018-06-11,2018-07-10,252,21,-0.604546839383536,"{""lookback"": 10, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
28,2017-07-11,2018-07-10,2018-07-11,2018-08-08,252,21,-1.1337265155581953,"{""lookback"": 21, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
29,2017-08-09,2018-08-08,2018-08-09,2018-09-07,252,21,-0.7942161173529562,"{""lookback"": 10, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
30,2017-09-08,2018-09-07,2018-09-10,2018-10-08,252,21,-0.7378111802630499,"{""lookback"": 10, ""vol_scaling"": ""inverse_var"", ""vol_window"": 63}",9
31,2017-10-09,2018-10-08,2018-10-09,2018-11-06,252,21,-0.3830182441629875,"{""lookback"": 10, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
32,2017-11-07,2018-11-06,2018-11-07,2018-12-07,252,21,-0.223150673349405,"{""lookback"": 10, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
33,2017-12-07,2018-12-07,2018-12-10,2019-01-09,252,21,0.1919258899184015,"{""lookback"": 10, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
34,2018-01-09,2019-01-09,2019-01-10,2019-02-08,252,21,0.3825417732333491,"{""lookback"": 10, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
35,2018-02-08,2019-02-08,2019-02-11,2019-03-12,252,21,1.0958172275097355,"{""lookback"": 10, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
36,2018-03-12,2019-03-12,2019-03-13,2019-04-10,252,21,1.1679658818520995,"{""lookback"": 10, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
37,2018-04-11,2019-04-10,2019-04-11,2019-05-10,252,21,1.3417809130959133,"{""lookback"": 10, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
38,2018-05-10,2019-05-10,2019-05-13,2019-06-11,252,21,0.8712019170476116,"{""lookback"": 10, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
39,2018-06-11,2019-06-11,2019-06-12,2019-07-11,252,21,0.49676052027066525,"{""lookback"": 10, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
40,2018-07-11,2019-07-11,2019-07-12,2019-08-09,252,21,0.7026939490629215,"{""lookback"": 10, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
41,2018-08-09,2019-08-09,2019-08-12,2019-09-10,252,21,0.5945547787127422,"{""lookback"": 10, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
42,2018-09-10,2019-09-10,2019-09-11,2019-10-09,252,21,0.6759473881992031,"{""lookback"": 21, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
43,2018-10-09,2019-10-09,2019-10-10,2019-11-07,252,21,1.093073457692662,"{""lookback"": 21, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
44,2018-11-07,2019-11-07,2019-11-08,2019-12-09,252,21,0.8799007802409569,"{""lookback"": 21, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
45,2018-12-10,2019-12-09,2019-12-10,2020-01-09,252,21,1.1870790649009664,"{""lookback"": 21, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
46,2019-01-10,2020-01-09,2020-01-10,2020-02-10,252,21,0.8650270963449064,"{""lookback"": 21, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
47,2019-02-11,2020-02-10,2020-02-11,2020-03-11,252,21,-0.007397861626100484,"{""lookback"": 21, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63}",9
48,2019-03-13,2020-03-11,2020-03-12,2020-04-09,252,21,-1.0350495776576176,"{""lookback"": 21, ""vol_scaling"": ""inverse_var"", ""vol_window"": 63}",9
49,2019-04-11,2020-04-09,2020-04-13,2020-05-11,252,21,0.08161855242337294,"{""lookback"": 21, ""vol_scaling"": ""inverse_var"", ""vol_window"": 63}",9
50,2019-05-13,2020-05-11,2020-05-12,2020-06-10,252,21,0.2046392500835581,"{""lookback"": 10, ""vol_scaling"": ""inverse_var"", ""vol_window"": 63}",9
51,2019-06-12,2020-06-10,2020-06-11,2020-07-10,252,21,0.41134973032397626,"{""lookback"": 10, ""vol_scaling"": ""inverse_var"", ""vol_window"": 63}",9
52,2019-07-12,2020-07-10,2020-07-13,2020-08-10,252,21,0.3078671557640131,"{""lookback"": 5, ""vol_scaling"": ""inverse_var"", ""vol_window"": 63}",9
53,2019-08-12,2020-08-10,2020-08-11,2020-09-09,252,21,0.4832829644901508,"{""lookback"": 5, ""vol_scaling"": ""inverse_var"", ""vol_window"": 63}",9
54,2019-09-11,2020-09-09,2020-09-10,2020-10-08,252,21,0.6918387367133314,"{""lookback"": 5, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63}",9
55,2019-10-10,2020-10-08,2020-10-09,2020-11-06,252,21,0.7012691522697785,"{""lookback"": 5, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63}",9
56,2019-11-08,2020-11-06,2020-11-09,2020-12-08,252,21,0.9244748098838136,"{""lookback"": 5, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63}",9
57,2019-12-10,2020-12-08,2020-12-09,2021-01-08,252,21,0.9908069800747711,"{""lookback"": 5, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
58,2020-01-10,2021-01-08,2021-01-11,2021-02-09,252,21,0.9444414641334848,"{""lookback"": 5, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
59,2020-02-11,2021-02-09,2021-02-10,2021-03-11,252,21,1.0500670304564035,"{""lookback"": 5, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
60,2020-03-12,2021-03-11,2021-03-12,2021-04-12,252,21,1.6564722501601912,"{""lookback"": 5, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
61,2020-04-13,2021-04-12,2021-04-13,2021-05-11,252,21,1.0439577420728294,"{""lookback"": 10, ""vol_scaling"": ""inverse_var"", ""vol_window"": 63}",9
62,2020-05-12,2021-05-11,2021-05-12,2021-06-10,252,21,0.8887124952801007,"{""lookback"": 21, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63}",9
63,2020-06-11,2021-06-10,2021-06-11,2021-07-12,252,21,0.5592139787400595,"{""lookback"": 21, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63}",9
64,2020-07-13,2021-07-12,2021-07-13,2021-08-10,252,21,0.5018377339109297,"{""lookback"": 10, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63}",9
65,2020-08-11,2021-08-10,2021-08-11,2021-09-09,252,21,0.31576746701588987,"{""lookback"": 21, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63}",9
66,2020-09-10,2021-09-09,2021-09-10,2021-10-08,252,21,0.5393754037677869,"{""lookback"": 21, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
67,2020-10-09,2021-10-08,2021-10-11,2021-11-08,252,21,0.004979395573579523,"{""lookback"": 21, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
68,2020-11-09,2021-11-08,2021-11-09,2021-12-08,252,21,-0.3741468162285167,"{""lookback"": 21, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63}",9
69,2020-12-09,2021-12-08,2021-12-09,2022-01-07,252,21,0.014384984696066866,"{""lookback"": 21, ""vol_scaling"": ""inverse_var"", ""vol_window"": 63}",9
70,2021-01-11,2022-01-07,2022-01-10,2022-02-08,252,21,0.03771242803612977,"{""lookback"": 21, ""vol_scaling"": ""inverse_var"", ""vol_window"": 63}",9
71,2021-02-10,2022-02-08,2022-02-09,2022-03-10,252,21,-0.5001092267283487,"{""lookback"": 21, ""vol_scaling"": ""inverse_var"", ""vol_window"": 63}",9
72,2021-03-12,2022-03-10,2022-03-11,2022-04-08,252,21,-0.35772612115772207,"{""lookback"": 21, ""vol_scaling"": ""inverse_var"", ""vol_window"": 63}",9
73,2021-04-13,2022-04-08,2022-04-11,2022-05-10,252,21,-0.5955929428122668,"{""lookback"": 21, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
74,2021-05-12,2022-05-10,2022-05-11,2022-06-09,252,21,-0.6506200561526183,"{""lookback"": 21, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
75,2021-06-11,2022-06-09,2022-06-10,2022-07-12,252,21,-0.3534219874462294,"{""lookback"": 21, ""vol_scaling"": ""inverse_var"", ""vol_window"": 63}",9
76,2021-07-13,2022-07-12,2022-07-13,2022-08-10,252,21,0.2105227714077961,"{""lookback"": 21, ""vol_scaling"": ""inverse_var"", ""vol_window"": 63}",9
77,2021-08-11,2022-08-10,2022-08-11,2022-09-09,252,21,0.4505997844249152,"{""lookback"": 21, ""vol_scaling"": ""inverse_var"", ""vol_window"": 63}",9
78,2021-09-10,2022-09-09,2022-09-12,2022-10-10,252,21,0.38513462081042316,"{""lookback"": 21, ""vol_scaling"": ""inverse_var"", ""vol_window"": 63}",9
79,2021-10-11,2022-10-10,2022-10-11,2022-11-08,252,21,0.08825209451793109,"{""lookback"": 21, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
80,2021-11-09,2022-11-08,2022-11-09,2022-12-08,252,21,-0.08621572235516083,"{""lookback"": 21, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
81,2021-12-09,2022-12-08,2022-12-09,2023-01-10,252,21,0.15699232382575554,"{""lookback"": 21, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
82,2022-01-10,2023-01-10,2023-01-11,2023-02-09,252,21,0.2712076179291382,"{""lookback"": 21, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
83,2022-02-09,2023-02-09,2023-02-10,2023-03-13,252,21,0.07170825550762323,"{""lookback"": 21, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
84,2022-03-11,2023-03-13,2023-03-14,2023-04-12,252,21,0.19128761296336275,"{""lookback"": 21, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
85,2022-04-11,2023-04-12,2023-04-13,2023-05-11,252,21,-0.12305537027894256,"{""lookback"": 5, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
86,2022-05-11,2023-05-11,2023-05-12,2023-06-12,252,21,-0.004511784983207985,"{""lookback"": 21, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
87,2022-06-10,2023-06-12,2023-06-13,2023-07-13,252,21,-0.47722601529851616,"{""lookback"": 5, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
88,2022-07-13,2023-07-13,2023-07-14,2023-08-11,252,21,-0.7728180017428733,"{""lookback"": 5, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
89,2022-08-11,2023-08-11,2023-08-14,2023-09-12,252,21,-0.7874594529794471,"{""lookback"": 10, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63}",9
90,2022-09-12,2023-09-12,2023-09-13,2023-10-11,252,21,-0.5367329957904764,"{""lookback"": 10, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
91,2022-10-11,2023-10-11,2023-10-12,2023-11-09,252,21,-0.5662470553923233,"{""lookback"": 21, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63}",9
92,2022-11-09,2023-11-09,2023-11-10,2023-12-11,252,21,-0.2421528663169017,"{""lookback"": 21, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63}",9
93,2022-12-09,2023-12-11,2023-12-12,2024-01-11,252,21,-0.7655484341092424,"{""lookback"": 21, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
94,2023-01-11,2024-01-11,2024-01-12,2024-02-12,252,21,-0.7901728797818894,"{""lookback"": 21, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
95,2023-02-10,2024-02-12,2024-02-13,2024-03-13,252,21,-0.8094396565142163,"{""lookback"": 21, ""vol_scaling"": ""inverse_var"", ""vol_window"": 63}",9
96,2023-03-14,2024-03-13,2024-03-14,2024-04-12,252,21,-0.4483324082988325,"{""lookback"": 21, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63}",9
97,2023-04-13,2024-04-12,2024-04-15,2024-05-13,252,21,-0.6350985052976671,"{""lookback"": 10, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
98,2023-05-12,2024-05-13,2024-05-14,2024-06-12,252,21,-0.05389448096640057,"{""lookback"": 10, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
99,2023-06-13,2024-06-12,2024-06-13,2024-07-15,252,21,0.7448171275089152,"{""lookback"": 10, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
100,2023-07-14,2024-07-15,2024-07-16,2024-08-13,252,21,0.4806487062315405,"{""lookback"": 10, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
101,2023-08-14,2024-08-13,2024-08-14,2024-09-12,252,21,0.3365118997943641,"{""lookback"": 10, ""vol_scaling"": ""none"", ""vol_window"": 63}",9
