fold,train_start,train_end,test_start,test_end,train_days,test_days,in_sample_objective,params,grid_size
0,2015-03-11,2016-03-09,2016-03-10,2016-04-08,252,21,0.5551457300679875,"{""formation"": 252, ""vol_window"": 63, ""smoothing"": ""sign"", ""demean_returns"": false, ""dollar_neutral"": true}",64
1,2015-04-10,2016-04-08,2016-04-11,2016-05-09,252,21,0.6850488113888953,"{""formation"": 252, ""vol_window"": 63, ""smoothing"": ""sign"", ""demean_returns"": false, ""dollar_neutral"": true}",64
2,2015-05-11,2016-05-09,2016-05-10,2016-06-08,252,21,0.8539379786610004,"{""formation"": 252, ""vol_window"": 63, ""smoothing"": ""sign"", ""demean_returns"": false, ""dollar_neutral"": true}",64
3,2015-06-10,2016-06-08,2016-06-09,2016-07-08,252,21,0.4067691824438313,"{""formation"": 252, ""vol_window"": 63, ""smoothing"": ""sign"", ""demean_returns"": false, ""dollar_neutral"": true}",64
4,2015-07-10,2016-07-08,2016-07-11,2016-08-08,252,21,0.7962804389112571,"{""formation"": 252, ""vol_window"": 63, ""smoothing"": ""sign"", ""demean_returns"": true, ""dollar_neutral"": false}",64
5,2015-08-10,2016-08-08,2016-08-09,2016-09-07,252,21,0.3281115311131366,"{""formation"": 126, ""vol_window"": 63, ""smoothing"": ""sign"", ""demean_returns"": true, ""dollar_neutral"": false}",64
6,2015-09-09,2016-09-07,2016-09-08,2016-10-06,252,21,0.9004888385949686,"{""formation"": 126, ""vol_window"": 63, ""smoothing"": ""sign"", ""demean_returns"": true, ""dollar_neutral"": false}",64
7,2015-10-08,2016-10-06,2016-10-07,2016-11-04,252,21,1.2418536947487557,"{""formation"": 126, ""vol_window"": 63, ""smoothing"": ""sign"", ""demean_returns"": true, ""dollar_neutral"": false}",64
8,2015-11-06,2016-11-04,2016-11-07,2016-12-06,252,21,1.3831002985061904,"{""formation"": 126, ""vol_window"": 63, ""smoothing"": ""sign"", ""demean_returns"": true, ""dollar_neutral"": false}",64
9,2015-12-08,2016-12-06,2016-12-07,2017-01-06,252,21,1.1527065805504293,"{""formation"": 126, ""vol_window"": 63, ""smoothing"": ""sign"", ""demean_returns"": true, ""dollar_neutral"": false}",64
10,2016-01-08,2017-01-06,2017-01-09,2017-02-07,252,21,0.6609807819199123,"{""formation"": 126, ""vol_window"": 63, ""smoothing"": ""sign"", ""demean_returns"": true, ""dollar_neutral"": false}",64
11,2016-02-09,2017-02-07,2017-02-08,2017-03-09,252,21,0.18450764562389066,"{""formation"": 126, ""vol_window"": 63, ""smoothing"": ""sign"", ""demean_returns"": true, ""dollar_neutral"": false}",64
12,2016-03-10,2017-03-09,2017-03-10,2017-04-07,252,21,1.0802344288162709,"{""formation"": 126, ""vol_window"": 63, ""smoothing"": ""tanh"", ""demean_returns"": false, ""dollar_neutral"": false}",64
13,2016-04-11,2017-04-07,2017-04-10,2017-05-09,252,21,0.9796886171798648,"{""formation"": 252, ""vol_window"": 63, ""smoothing"": ""sign"", ""demean_returns"": false, ""dollar_neutral"": false}",64
14,2016-05-10,2017-05-09,2017-05-10,2017-06-08,252,21,1.273193173393586,"{""formation"": 252, ""vol_window"": 63, ""smoothing"": ""sign"", ""demean_returns"": false, ""dollar_neutral"": false}",64
15,2016-06-09,2017-06-08,2017-06-09,2017-07-10,252,21,1.7042209941309496,"{""formation"": 252, ""vol_window"": 63, ""smoothing"": ""sign"", ""demean_returns"": false, ""dollar_neutral"": false}",64
16,2016-07-11,2017-07-10,2017-07-11,2017-08-08,252,21,1.3628724590276162,"{""formation"": 252, ""vol_window"": 63, ""smoothing"": ""sign"", ""demean_returns"": false, ""dollar_neutral"": false}",64
17,2016-08-09,2017-08-08,2017-08-09,2017-09-07,252,21,1.6657512936489134,"{""formation"": 252, ""vol_window"": 63, ""smoothing"": ""sign"", ""demean_returns"": false, ""dollar_neutral"": false}",64
