fold,train_start,train_end,test_start,test_end,train_days,test_days,in_sample_objective,params,grid_size
0,2015-03-11,2016-03-09,2016-03-10,2016-04-08,252,21,0.4570669398624934,"{""formation"": 252, ""skip"": 21, ""criterion"": ""cumulative"", ""fraction"": 0.17, ""weighting"": ""inverse_vol""}",72
1,2015-04-10,2016-04-08,2016-04-11,2016-05-09,252,21,0.6571009407194698,"{""formation"": 252, ""skip"": 21, ""criterion"": ""cumulative"", ""fraction"": 0.17, ""weighting"": ""inverse_vol""}",72
2,2015-05-11,2016-05-09,2016-05-10,2016-06-08,252,21,0.8173542138653078,"{""formation"": 252, ""skip"": 21, ""criterion"": ""cumulative"", ""fraction"": 0.17, ""weighting"": ""inverse_vol""}",72
3,2015-06-10,2016-06-08,2016-06-09,2016-07-08,252,21,0.5076203621682691,"{""formation"": 252, ""skip"": 21, ""criterion"": ""cumulative"", ""fraction"": 0.17, ""weighting"": ""inverse_vol""}",72
4,2015-07-10,2016-07-08,2016-07-11,2016-08-08,252,21,0.7200656944720993,"{""formation"": 126, ""skip"": 21, ""criterion"": ""risk_adjusted"", ""fraction"": 0.17, ""weighting"": ""inverse_vol""}",72
5,2015-08-10,2016-08-08,2016-08-09,2016-09-07,252,21,0.244189872107658,"{""formation"": 126, ""skip"": 0, ""criterion"": ""cumulative"", ""fraction"": 0.34, ""weighting"": ""inverse_vol""}",72
6,2015-09-09,2016-09-07,2016-09-08,2016-10-06,252,21,0.4274094427394265,"{""formation"": 126, ""skip"": 0, ""criterion"": ""cumulative"", ""fraction"": 0.34, ""weighting"": ""inverse_vol""}",72
7,2015-10-08,2016-10-06,2016-10-07,2016-11-04,252,21,0.701655162113144,"{""formation"": 126, ""skip"": 0, ""criterion"": ""mean"", ""fraction"": 0.34, ""weighting"": ""inverse_vol""}",72
8,2015-11-06,2016-11-04,2016-11-07,2016-12-06,252,21,0.5221947879932093,"{""formation"": 126, ""skip"": 0, ""criterion"": ""cumulative"", ""fraction"": 0.34, ""weighting"": ""inverse_vol""}",72
9,2015-12-08,2016-12-06,2016-12-07,2017-01-06,252,21,0.3631741866073541,"{""formation"": 126, ""skip"": 0, ""criterion"": ""cumulative"", ""fraction"": 0.34, ""weighting"": ""inverse_vol""}",72
10,2016-01-08,2017-01-06,2017-01-09,2017-02-07,252,21,-0.13216715612072144,"{""formation"": 126, ""skip"": 0, ""criterion"": ""mean"", ""fraction"": 0.34, ""weighting"": ""inverse_vol""}",72
11,2016-02-09,2017-02-07,2017-02-08,2017-03-09,252,21,-0.005171078869210853,"{""formation"": 63, ""skip"": 21, ""criterion"": ""mean"", ""fraction"": 0.17, ""weighting"": ""inverse_vol""}",72
12,2016-03-10,2017-03-09,2017-03-10,2017-04-07,252,21,0.008569163342972152,"{""formation"": 63, ""skip"": 21, ""criterion"": ""mean"", ""fraction"": 0.17, ""weighting"": ""uniform""}",72
13,2016-04-11,2017-04-07,2017-04-10,2017-05-09,252,21,0.07048490297863506,"{""formation"": 63, ""skip"": 21, ""criterion"": ""mean"", ""fraction"": 0.17, ""weighting"": ""uniform""}",72
14,2016-05-10,2017-05-09,2017-05-10,2017-06-08,252,21,0.16529140896302225,"{""formation"": 63, ""skip"": 21, ""criterion"": ""mean"", ""fraction"": 0.17, ""weighting"": ""uniform""}",72
15,2016-06-09,2017-06-08,2017-06-09,2017-07-10,252,21,0.5481425042478957,"{""formation"": 63, ""skip"": 21, ""criterion"": ""cumulative"", ""fraction"": 0.17, ""weighting"": ""inverse_vol""}",72
16,2016-07-11,2017-07-10,2017-07-11,2017-08-08,252,21,0.48858479643656605,"{""formation"": 63, ""skip"": 21, ""criterion"": ""cumulative"", ""fraction"": 0.17, ""weighting"": ""inverse_vol""}",72
17,2016-08-09,2017-08-08,2017-08-09,2017-09-07,252,21,0.34694598688370826,"{""formation"": 63, ""skip"": 21, ""criterion"": ""cumulative"", ""fraction"": 0.17, ""weighting"": ""inverse_vol""}",72
18,2016-09-08,2017-09-07,2017-09-08,2017-10-06,252,21,0.5823100368363981,"{""formation"": 63, ""skip"": 21, ""criterion"": ""risk_adjusted"", ""fraction"": 0.17, ""weighting"": ""inverse_vol""}",72
19,2016-10-07,2017-10-06,2017-10-09,2017-11-06,252,21,0.5642594917741438,"{""formation"": 63, ""skip"": 21, ""criterion"": ""risk_adjusted"", ""fraction"": 0.17, ""weighting"": ""inverse_vol""}",72
