fold,train_start,train_end,test_start,test_end,train_days,test_days,in_sample_objective,params,grid_size
0,2015-03-11,2016-03-09,2016-03-10,2016-04-08,252,21,0.3768073563650826,"{""formation"": 126, ""skip"": 21, ""criterion"": ""risk_adjusted"", ""fraction"": 0.17, ""weighting"": ""inverse_vol""}",72
1,2015-04-10,2016-04-08,2016-04-11,2016-05-09,252,21,0.32444496258270944,"{""formation"": 126, ""skip"": 21, ""criterion"": ""risk_adjusted"", ""fraction"": 0.17, ""weighting"": ""inverse_vol""}",72
2,2015-05-11,2016-05-09,2016-05-10,2016-06-08,252,21,0.48460325597731985,"{""formation"": 252, ""skip"": 21, ""criterion"": ""risk_adjusted"", ""fraction"": 0.34, ""weighting"": ""inverse_vol""}",72
3,2015-06-10,2016-06-08,2016-06-09,2016-07-08,252,21,0.5800340333554815,"{""formation"": 252, ""skip"": 21, ""criterion"": ""risk_adjusted"", ""fraction"": 0.34, ""weighting"": ""inverse_vol""}",72
4,2015-07-10,2016-07-08,2016-07-11,2016-08-08,252,21,0.8920943503054559,"{""formation"": 126, ""skip"": 21, ""criterion"": ""risk_adjusted"", ""fraction"": 0.17, ""weighting"": ""uniform""}",72
5,2015-08-10,2016-08-08,2016-08-09,2016-09-07,252,21,0.6786500851270562,"{""formation"": 126, ""skip"": 0, ""criterion"": ""mean"", ""fraction"": 0.34, ""weighting"": ""inverse_vol""}",72
6,2015-09-09,2016-09-07,2016-09-08,2016-10-06,252,21,1.5337095048554177,"{""formation"": 126, ""skip"": 0, ""criterion"": ""mean"", ""fraction"": 0.34, ""weighting"": ""inverse_vol""}",72
7,2015-10-08,2016-10-06,2016-10-07,2016-11-04,252,21,1.2374002734550948,"{""formation"": 126, ""skip"": 0, ""criterion"": ""mean"", ""fraction"": 0.34, ""weighting"": ""uniform""}",72
8,2015-11-06,2016-11-04,2016-11-07,2016-12-06,252,21,0.674503760821086,"{""formation"": 126, ""skip"": 0, ""criterion"": ""mean"", ""fraction"": 0.34, ""weighting"": ""uniform""}",72
9,2015-12-08,2016-12-06,2016-12-07,2017-01-06,252,21,1.4449744207364925,"{""formation"": 126, ""skip"": 0, ""criterion"": ""mean"", ""fraction"": 0.34, ""weighting"": ""uniform""}",72
10,2016-01-08,2017-01-06,2017-01-09,2017-02-07,252,21,2.080461804164884,"{""formation"": 126, ""skip"": 0, ""criterion"": ""mean"", ""fraction"": 0.34, ""weighting"": ""uniform""}",72
11,2016-02-09,2017-02-07,2017-02-08,2017-03-09,252,21,2.6317742826235064,"{""formation"": 63, ""skip"": 21, ""criterion"": ""mean"", ""fraction"": 0.17, ""weighting"": ""uniform""}",72
12,2016-03-10,2017-03-09,2017-03-10,2017-04-07,252,21,2.2571042058429795,"{""formation"": 126, ""skip"": 0, ""criterion"": ""mean"", ""fraction"": 0.34, ""weighting"": ""uniform""}",72
13,2016-04-11,2017-04-07,2017-04-10,2017-05-09,252,21,1.971544391388223,"{""formation"": 126, ""skip"": 0, ""criterion"": ""mean"", ""fraction"": 0.34, ""weighting"": ""uniform""}",72
14,2016-05-10,2017-05-09,2017-05-10,2017-06-08,252,21,2.0100120752076474,"{""formation"": 126, ""skip"": 0, ""criterion"": ""mean"", ""fraction"": 0.34, ""weighting"": ""uniform""}",72
15,2016-06-09,2017-06-08,2017-06-09,2017-07-10,252,21,2.0504648035184174,"{""formation"": 126, ""skip"": 0, ""criterion"": ""mean"", ""fraction"": 0.34, ""weighting"": ""uniform""}",72
16,2016-07-11,2017-07-10,2017-07-11,2017-08-08,252,21,2.06677887000219,"{""formation"": 63, ""skip"": 0, ""criterion"": ""mean"", ""fraction"": 0.34, ""weighting"": ""uniform""}",72
17,2016-08-09,2017-08-08,2017-08-09,2017-09-07,252,21,1.9518313492909607,"{""formation"": 63, ""skip"": 0, ""criterion"": ""risk_adjusted"", ""fraction"": 0.34, ""weighting"": ""uniform""}",72
18,2016-09-08,2017-09-07,2017-09-08,2017-10-06,252,21,2.0293594949556093,"{""formation"": 63, ""skip"": 0, ""criterion"": ""risk_adjusted"", ""fraction"": 0.34, ""weighting"": ""uniform""}",72
19,2016-10-07,2017-10-06,2017-10-09,2017-11-06,252,21,2.7476217056108614,"{""formation"": 63, ""skip"": 0, ""criterion"": ""risk_adjusted"", ""fraction"": 0.34, ""weighting"": ""inverse_vol""}",72
