fold,train_start,train_end,test_start,test_end,train_days,test_days,in_sample_objective,params,grid_size
0,2015-03-11,2016-03-09,2016-03-10,2016-04-08,252,21,0.5958277881531036,"{""lookback"": 5, ""n_factors"": 2, ""vol_window"": 63, ""weighted"": false}",12
1,2015-04-10,2016-04-08,2016-04-11,2016-05-09,252,21,0.8498052163897803,"{""lookback"": 5, ""n_factors"": 2, ""vol_window"": 63, ""weighted"": false}",12
2,2015-05-11,2016-05-09,2016-05-10,2016-06-08,252,21,0.7159203826729847,"{""lookback"": 5, ""n_factors"": 2, ""vol_window"": 63, ""weighted"": false}",12
3,2015-06-10,2016-06-08,2016-06-09,2016-07-08,252,21,0.5832901305876734,"{""lookback"": 5, ""n_factors"": 2, ""vol_window"": 63, ""weighted"": false}",12
4,2015-07-10,2016-07-08,2016-07-11,2016-08-08,252,21,1.0440367548705483,"{""lookback"": 21, ""n_factors"": 2, ""vol_window"": 63, ""weighted"": true}",12
5,2015-08-10,2016-08-08,2016-08-09,2016-09-07,252,21,1.6631326520893548,"{""lookback"": 21, ""n_factors"": 2, ""vol_window"": 63, ""weighted"": true}",12
6,2015-09-09,2016-09-07,2016-09-08,2016-10-06,252,21,1.5042155447736023,"{""lookback"": 21, ""n_factors"": 2, ""vol_window"": 63, ""weighted"": true}",12
7,2015-10-08,2016-10-06,2016-10-07,2016-11-04,252,21,1.4544646816883384,"{""lookback"": 21, ""n_factors"": 2, ""vol_window"": 63, ""weighted"": true}",12
8,2015-11-06,2016-11-04,2016-11-07,2016-12-06,252,21,1.0659390045026473,"{""lookback"": 21, ""n_factors"": 2, ""vol_window"": 63, ""weighted"": true}",12
9,2015-12-08,2016-12-06,2016-12-07,2017-01-06,252,21,1.3181740728320501,"{""lookback"": 21, ""n_factors"": 2, ""vol_window"": 63, ""weighted"": true}",12
10,2016-01-08,2017-01-06,2017-01-09,2017-02-07,252,21,1.511436886055404,"{""lookback"": 21, ""n_factors"": 2, ""vol_window"": 63, ""weighted"": true}",12
