fold,train_start,train_end,test_start,test_end,train_days,test_days,in_sample_objective,params,grid_size
0,2015-03-11,2016-03-09,2016-03-10,2016-04-08,252,21,0.12258916648284336,"{""length"": 200, ""kind"": ""sma"", ""lam"": 0.9, ""long_only"": true}",16
1,2015-04-10,2016-04-08,2016-04-11,2016-05-09,252,21,0.12765149332618514,"{""length"": 200, ""kind"": ""sma"", ""lam"": 0.9, ""long_only"": true}",16
2,2015-05-11,2016-05-09,2016-05-10,2016-06-08,252,21,0.25481882218343854,"{""length"": 50, ""kind"": ""sma"", ""lam"": 0.9, ""long_only"": true}",16
3,2015-06-10,2016-06-08,2016-06-09,2016-07-08,252,21,0.45985325387695497,"{""length"": 50, ""kind"": ""sma"", ""lam"": 0.9, ""long_only"": true}",16
4,2015-07-10,2016-07-08,2016-07-11,2016-08-08,252,21,0.521501335818151,"{""length"": 200, ""kind"": ""sma"", ""lam"": 0.9, ""long_only"": true}",16
5,2015-08-10,2016-08-08,2016-08-09,2016-09-07,252,21,0.49278506824109525,"{""length"": 200, ""kind"": ""sma"", ""lam"": 0.9, ""long_only"": true}",16
6,2015-09-09,2016-09-07,2016-09-08,2016-10-06,252,21,1.20409255766495,"{""length"": 50, ""kind"": ""sma"", ""lam"": 0.9, ""long_only"": true}",16
7,2015-10-08,2016-10-06,2016-10-07,2016-11-04,252,21,0.9020059665016673,"{""length"": 50, ""kind"": ""sma"", ""lam"": 0.9, ""long_only"": true}",16
8,2015-11-06,2016-11-04,2016-11-07,2016-12-06,252,21,0.4081411743195582,"{""length"": 200, ""kind"": ""sma"", ""lam"": 0.9, ""long_only"": true}",16
9,2015-12-08,2016-12-06,2016-12-07,2017-01-06,252,21,1.143280469974084,"{""length"": 50, ""kind"": ""sma"", ""lam"": 0.9, ""long_only"": true}",16
10,2016-01-08,2017-01-06,2017-01-09,2017-02-07,252,21,1.8003683675106594,"{""length"": 50, ""kind"": ""sma"", ""lam"": 0.9, ""long_only"": true}",16
11,2016-02-09,2017-02-07,2017-02-08,2017-03-09,252,21,2.2303913170364877,"{""length"": 200, ""kind"": ""sma"", ""lam"": 0.9, ""long_only"": true}",16
12,2016-03-10,2017-03-09,2017-03-10,2017-04-07,252,21,2.0379771480438564,"{""length"": 200, ""kind"": ""sma"", ""lam"": 0.9, ""long_only"": true}",16
13,2016-04-11,2017-04-07,2017-04-10,2017-05-09,252,21,1.846296746207209,"{""length"": 200, ""kind"": ""sma"", ""lam"": 0.9, ""long_only"": true}",16
14,2016-05-10,2017-05-09,2017-05-10,2017-06-08,252,21,1.8386657969185085,"{""length"": 200, ""kind"": ""sma"", ""lam"": 0.9, ""long_only"": true}",16
15,2016-06-09,2017-06-08,2017-06-09,2017-07-10,252,21,1.9197754208258073,"{""length"": 200, ""kind"": ""sma"", ""lam"": 0.9, ""long_only"": true}",16
16,2016-07-11,2017-07-10,2017-07-11,2017-08-08,252,21,1.9906599402445722,"{""length"": 100, ""kind"": ""sma"", ""lam"": 0.9, ""long_only"": true}",16
17,2016-08-09,2017-08-08,2017-08-09,2017-09-07,252,21,1.9768535667041631,"{""length"": 200, ""kind"": ""sma"", ""lam"": 0.9, ""long_only"": true}",16
18,2016-09-08,2017-09-07,2017-09-08,2017-10-06,252,21,1.8709206119783275,"{""length"": 200, ""kind"": ""sma"", ""lam"": 0.9, ""long_only"": true}",16
19,2016-10-07,2017-10-06,2017-10-09,2017-11-06,252,21,2.6959716899428496,"{""length"": 200, ""kind"": ""sma"", ""lam"": 0.9, ""long_only"": true}",16
20,2016-11-07,2017-11-06,2017-11-07,2017-12-06,252,21,3.3621487640581367,"{""length"": 100, ""kind"": ""sma"", ""lam"": 0.9, ""long_only"": true}",16
21,2016-12-07,2017-12-06,2017-12-07,2018-01-08,252,21,2.651215152326451,"{""length"": 200, ""kind"": ""sma"", ""lam"": 0.9, ""long_only"": true}",16
22,2017-01-09,2018-01-08,2018-01-09,2018-02-07,252,21,3.3407266083836347,"{""length"": 200, ""kind"": ""sma"", ""lam"": 0.9, ""long_only"": true}",16
23,2017-02-08,2018-02-07,2018-02-08,2018-03-09,252,21,2.261758484717645,"{""length"": 200, ""kind"": ""sma"", ""lam"": 0.9, ""long_only"": true}",16
24,2017-03-10,2018-03-09,2018-03-12,2018-04-10,252,21,2.133303860037347,"{""length"": 200, ""kind"": ""sma"", ""lam"": 0.9, ""long_only"": true}",16
25,2017-04-10,2018-04-10,2018-04-11,2018-05-09,252,21,1.4999514828792107,"{""length"": 200, ""kind"": ""sma"", ""lam"": 0.9, ""long_only"": true}",16
26,2017-05-10,2018-05-09,2018-05-10,2018-06-08,252,21,1.4205067942768357,"{""length"": 200, ""kind"": ""sma"", ""lam"": 0.9, ""long_only"": true}",16
27,2017-06-09,2018-06-08,2018-06-11,2018-07-10,252,21,1.5030050746167631,"{""length"": 200, ""kind"": ""sma"", ""lam"": 0.9, ""long_only"": true}",16
28,2017-07-11,2018-07-10,2018-07-11,2018-08-08,252,21,1.478510162162911,"{""length"": 200, ""kind"": ""sma"", ""lam"": 0.9, ""long_only"": true}",16
29,2017-08-09,2018-08-08,2018-08-09,2018-09-07,252,21,1.5061335386829025,"{""length"": 200, ""kind"": ""sma"", ""lam"": 0.9, ""long_only"": true}",16
30,2017-09-08,2018-09-07,2018-09-10,2018-10-08,252,21,1.6618449652354819,"{""length"": 200, ""kind"": ""sma"", ""lam"": 0.9, ""long_only"": true}",16
31,2017-10-09,2018-10-08,2018-10-09,2018-11-06,252,21,1.2791355424143804,"{""length"": 200, ""kind"": ""sma"", ""lam"": 0.9, ""long_only"": true}",16
32,2017-11-07,2018-11-06,2018-11-07,2018-12-07,252,21,0.7020826501358768,"{""length"": 200, ""kind"": ""sma"", ""lam"": 0.9, ""long_only"": true}",16
33,2017-12-07,2018-12-07,2018-12-10,2019-01-09,252,21,0.27446417585456057,"{""length"": 200, ""kind"": ""sma"", ""lam"": 0.9, ""long_only"": true}",16
34,2018-01-09,2019-01-09,2019-01-10,2019-02-08,252,21,-0.3377043168827436,"{""length"": 200, ""kind"": ""sma"", ""lam"": 0.9, ""long_only"": true}",16
35,2018-02-08,2019-02-08,2019-02-11,2019-03-12,252,21,0.43040704312360933,"{""length"": 200, ""kind"": ""sma"", ""lam"": 0.9, ""long_only"": true}",16
36,2018-03-12,2019-03-12,2019-03-13,2019-04-10,252,21,0.04309532221135296,"{""length"": 200, ""kind"": ""sma"", ""lam"": 0.9, ""long_only"": true}",16
37,2018-04-11,2019-04-10,2019-04-11,2019-05-10,252,21,0.6590168337410776,"{""length"": 200, ""kind"": ""sma"", ""lam"": 0.9, ""long_only"": true}",16
38,2018-05-10,2019-05-10,2019-05-13,2019-06-11,252,21,0.4460042700365686,"{""length"": 200, ""kind"": ""sma"", ""lam"": 0.9, ""long_only"": true}",16
39,2018-06-11,2019-06-11,2019-06-12,2019-07-11,252,21,0.31966080184808565,"{""length"": 200, ""kind"": ""sma"", ""lam"": 0.9, ""long_only"": true}",16
40,2018-07-11,2019-07-11,2019-07-12,2019-08-09,252,21,0.6362446725114286,"{""length"": 200, ""kind"": ""sma"", ""lam"": 0.9, ""long_only"": true}",16
41,2018-08-09,2019-08-09,2019-08-12,2019-09-10,252,21,0.4260628616367977,"{""length"": 20, ""kind"": ""sma"", ""lam"": 0.9, ""long_only"": false}",16
