fold,train_start,train_end,test_start,test_end,train_days,test_days,in_sample_objective,params,grid_size
0,2015-03-11,2016-03-09,2016-03-10,2016-04-08,252,21,0.9047134614637481,"{""fast"": 20, ""slow"": 30, ""kind"": ""sma"", ""stop_loss"": 0.0}",36
1,2015-04-10,2016-04-08,2016-04-11,2016-05-09,252,21,1.144095677746657,"{""fast"": 20, ""slow"": 30, ""kind"": ""sma"", ""stop_loss"": 0.0}",36
2,2015-05-11,2016-05-09,2016-05-10,2016-06-08,252,21,1.1026413327215558,"{""fast"": 20, ""slow"": 30, ""kind"": ""sma"", ""stop_loss"": 0.0}",36
3,2015-06-10,2016-06-08,2016-06-09,2016-07-08,252,21,1.034630682842997,"{""fast"": 20, ""slow"": 30, ""kind"": ""sma"", ""stop_loss"": 0.02}",36
4,2015-07-10,2016-07-08,2016-07-11,2016-08-08,252,21,0.6536175638738055,"{""fast"": 20, ""slow"": 30, ""kind"": ""sma"", ""stop_loss"": 0.02}",36
5,2015-08-10,2016-08-08,2016-08-09,2016-09-07,252,21,0.4183887542693182,"{""fast"": 20, ""slow"": 30, ""kind"": ""sma"", ""stop_loss"": 0.02}",36
6,2015-09-09,2016-09-07,2016-09-08,2016-10-06,252,21,0.5783462245742762,"{""fast"": 20, ""slow"": 30, ""kind"": ""sma"", ""stop_loss"": 0.02}",36
7,2015-10-08,2016-10-06,2016-10-07,2016-11-04,252,21,0.4508164390605876,"{""fast"": 20, ""slow"": 30, ""kind"": ""sma"", ""stop_loss"": 0.02}",36
8,2015-11-06,2016-11-04,2016-11-07,2016-12-06,252,21,0.4720277524623168,"{""fast"": 20, ""slow"": 30, ""kind"": ""sma"", ""stop_loss"": 0.02}",36
9,2015-12-08,2016-12-06,2016-12-07,2017-01-06,252,21,0.36088892573623416,"{""fast"": 20, ""slow"": 30, ""kind"": ""sma"", ""stop_loss"": 0.02}",36
10,2016-01-08,2017-01-06,2017-01-09,2017-02-07,252,21,0.12858576149983597,"{""fast"": 20, ""slow"": 50, ""kind"": ""sma"", ""stop_loss"": 0.0}",36
11,2016-02-09,2017-02-07,2017-02-08,2017-03-09,252,21,-0.23180252313769853,"{""fast"": 20, ""slow"": 50, ""kind"": ""sma"", ""stop_loss"": 0.0}",36
12,2016-03-10,2017-03-09,2017-03-10,2017-04-07,252,21,1.1316780153242323,"{""fast"": 20, ""slow"": 50, ""kind"": ""sma"", ""stop_loss"": 0.0}",36
13,2016-04-11,2017-04-07,2017-04-10,2017-05-09,252,21,1.076348432596309,"{""fast"": 20, ""slow"": 50, ""kind"": ""sma"", ""stop_loss"": 0.0}",36
14,2016-05-10,2017-05-09,2017-05-10,2017-06-08,252,21,0.8114857085096367,"{""fast"": 20, ""slow"": 100, ""kind"": ""sma"", ""stop_loss"": 0.0}",36
15,2016-06-09,2017-06-08,2017-06-09,2017-07-10,252,21,1.25875947983334,"{""fast"": 20, ""slow"": 50, ""kind"": ""sma"", ""stop_loss"": 0.0}",36
16,2016-07-11,2017-07-10,2017-07-11,2017-08-08,252,21,1.0426103544776175,"{""fast"": 20, ""slow"": 100, ""kind"": ""sma"", ""stop_loss"": 0.0}",36
17,2016-08-09,2017-08-08,2017-08-09,2017-09-07,252,21,1.0655705265527937,"{""fast"": 20, ""slow"": 100, ""kind"": ""sma"", ""stop_loss"": 0.0}",36
18,2016-09-08,2017-09-07,2017-09-08,2017-10-06,252,21,0.9383505924783128,"{""fast"": 20, ""slow"": 100, ""kind"": ""sma"", ""stop_loss"": 0.0}",36
19,2016-10-07,2017-10-06,2017-10-09,2017-11-06,252,21,1.4603990297944456,"{""fast"": 5, ""slow"": 100, ""kind"": ""sma"", ""stop_loss"": 0.0}",36
20,2016-11-07,2017-11-06,2017-11-07,2017-12-06,252,21,2.252838317940051,"{""fast"": 5, ""slow"": 100, ""kind"": ""sma"", ""stop_loss"": 0.0}",36
21,2016-12-07,2017-12-06,2017-12-07,2018-01-08,252,21,1.6650658014912283,"{""fast"": 5, ""slow"": 100, ""kind"": ""sma"", ""stop_loss"": 0.0}",36
22,2017-01-09,2018-01-08,2018-01-09,2018-02-07,252,21,2.810492460366743,"{""fast"": 5, ""slow"": 100, ""kind"": ""sma"", ""stop_loss"": 0.0}",36
23,2017-02-08,2018-02-07,2018-02-08,2018-03-09,252,21,1.7261003349145279,"{""fast"": 5, ""slow"": 100, ""kind"": ""sma"", ""stop_loss"": 0.0}",36
24,2017-03-10,2018-03-09,2018-03-12,2018-04-10,252,21,1.255431180868364,"{""fast"": 5, ""slow"": 100, ""kind"": ""sma"", ""stop_loss"": 0.0}",36
25,2017-04-10,2018-04-10,2018-04-11,2018-05-09,252,21,0.9261766543224731,"{""fast"": 20, ""slow"": 100, ""kind"": ""sma"", ""stop_loss"": 0.0}",36
26,2017-05-10,2018-05-09,2018-05-10,2018-06-08,252,21,0.7238914852200156,"{""fast"": 20, ""slow"": 100, ""kind"": ""sma"", ""stop_loss"": 0.0}",36
27,2017-06-09,2018-06-08,2018-06-11,2018-07-10,252,21,0.5257739072954918,"{""fast"": 20, ""slow"": 100, ""kind"": ""sma"", ""stop_loss"": 0.0}",36
28,2017-07-11,2018-07-10,2018-07-11,2018-08-08,252,21,0.4924036337503537,"{""fast"": 20, ""slow"": 100, ""kind"": ""sma"", ""stop_loss"": 0.0}",36
29,2017-08-09,2018-08-08,2018-08-09,2018-09-07,252,21,0.5780442230214919,"{""fast"": 20, ""slow"": 100, ""kind"": ""sma"", ""stop_loss"": 0.0}",36
30,2017-09-08,2018-09-07,2018-09-10,2018-10-08,252,21,0.8741456262005107,"{""fast"": 20, ""slow"": 100, ""kind"": ""sma"", ""stop_loss"": 0.0}",36
31,2017-10-09,2018-10-08,2018-10-09,2018-11-06,252,21,0.7854379392722155,"{""fast"": 20, ""slow"": 100, ""kind"": ""sma"", ""stop_loss"": 0.0}",36
32,2017-11-07,2018-11-06,2018-11-07,2018-12-07,252,21,-0.13768403092246742,"{""fast"": 20, ""slow"": 100, ""kind"": ""sma"", ""stop_loss"": 0.0}",36
33,2017-12-07,2018-12-07,2018-12-10,2019-01-09,252,21,0.013125279021842812,"{""fast"": 20, ""slow"": 50, ""kind"": ""sma"", ""stop_loss"": 0.0}",36
34,2018-01-09,2019-01-09,2019-01-10,2019-02-08,252,21,-0.6421206565597108,"{""fast"": 10, ""slow"": 100, ""kind"": ""sma"", ""stop_loss"": 0.0}",36
35,2018-02-08,2019-02-08,2019-02-11,2019-03-12,252,21,-0.7141867995298112,"{""fast"": 10, ""slow"": 100, ""kind"": ""sma"", ""stop_loss"": 0.0}",36
36,2018-03-12,2019-03-12,2019-03-13,2019-04-10,252,21,-0.34755057267658984,"{""fast"": 10, ""slow"": 30, ""kind"": ""sma"", ""stop_loss"": 0.0}",36
37,2018-04-11,2019-04-10,2019-04-11,2019-05-10,252,21,-0.05846169643254272,"{""fast"": 10, ""slow"": 30, ""kind"": ""sma"", ""stop_loss"": 0.0}",36
38,2018-05-10,2019-05-10,2019-05-13,2019-06-11,252,21,0.07150354006057633,"{""fast"": 10, ""slow"": 30, ""kind"": ""sma"", ""stop_loss"": 0.0}",36
39,2018-06-11,2019-06-11,2019-06-12,2019-07-11,252,21,-0.06617557375678419,"{""fast"": 10, ""slow"": 30, ""kind"": ""sma"", ""stop_loss"": 0.0}",36
40,2018-07-11,2019-07-11,2019-07-12,2019-08-09,252,21,0.2759247107618689,"{""fast"": 10, ""slow"": 30, ""kind"": ""sma"", ""stop_loss"": 0.0}",36
