fold,train_start,train_end,test_start,test_end,train_days,test_days,in_sample_objective,params,grid_size
0,2015-03-11,2016-03-09,2016-03-10,2016-04-08,252,21,-0.6268832590734563,"{""t1"": 10, ""t2"": 20, ""t3"": 21, ""kind"": ""sma""}",54
1,2015-04-10,2016-04-08,2016-04-11,2016-05-09,252,21,-0.12246689989914382,"{""t1"": 3, ""t2"": 20, ""t3"": 21, ""kind"": ""sma""}",54
2,2015-05-11,2016-05-09,2016-05-10,2016-06-08,252,21,-0.1965574685507895,"{""t1"": 3, ""t2"": 20, ""t3"": 21, ""kind"": ""sma""}",54
3,2015-06-10,2016-06-08,2016-06-09,2016-07-08,252,21,-0.15724074200242805,"{""t1"": 3, ""t2"": 20, ""t3"": 21, ""kind"": ""sma""}",54
4,2015-07-10,2016-07-08,2016-07-11,2016-08-08,252,21,-0.48082829352298495,"{""t1"": 10, ""t2"": 20, ""t3"": 21, ""kind"": ""sma""}",54
5,2015-08-10,2016-08-08,2016-08-09,2016-09-07,252,21,-0.5637346599525962,"{""t1"": 3, ""t2"": 20, ""t3"": 21, ""kind"": ""sma""}",54
6,2015-09-09,2016-09-07,2016-09-08,2016-10-06,252,21,-0.3366526234331782,"{""t1"": 5, ""t2"": 21, ""t3"": 50, ""kind"": ""sma""}",54
7,2015-10-08,2016-10-06,2016-10-07,2016-11-04,252,21,-0.10679678782129924,"{""t1"": 5, ""t2"": 21, ""t3"": 50, ""kind"": ""sma""}",54
8,2015-11-06,2016-11-04,2016-11-07,2016-12-06,252,21,-0.2083416370244907,"{""t1"": 5, ""t2"": 21, ""t3"": 50, ""kind"": ""sma""}",54
9,2015-12-08,2016-12-06,2016-12-07,2017-01-06,252,21,-0.05281426935600513,"{""t1"": 5, ""t2"": 21, ""t3"": 50, ""kind"": ""sma""}",54
10,2016-01-08,2017-01-06,2017-01-09,2017-02-07,252,21,-0.15927227093429225,"{""t1"": 5, ""t2"": 21, ""t3"": 50, ""kind"": ""sma""}",54
11,2016-02-09,2017-02-07,2017-02-08,2017-03-09,252,21,-0.5681139535756162,"{""t1"": 10, ""t2"": 20, ""t3"": 50, ""kind"": ""sma""}",54
12,2016-03-10,2017-03-09,2017-03-10,2017-04-07,252,21,0.351597740789958,"{""t1"": 5, ""t2"": 21, ""t3"": 50, ""kind"": ""sma""}",54
13,2016-04-11,2017-04-07,2017-04-10,2017-05-09,252,21,-0.05475745270404985,"{""t1"": 10, ""t2"": 20, ""t3"": 50, ""kind"": ""sma""}",54
14,2016-05-10,2017-05-09,2017-05-10,2017-06-08,252,21,0.1392196044563938,"{""t1"": 10, ""t2"": 20, ""t3"": 100, ""kind"": ""sma""}",54
15,2016-06-09,2017-06-08,2017-06-09,2017-07-10,252,21,0.3129590833878927,"{""t1"": 10, ""t2"": 20, ""t3"": 100, ""kind"": ""sma""}",54
16,2016-07-11,2017-07-10,2017-07-11,2017-08-08,252,21,0.36596273169557586,"{""t1"": 10, ""t2"": 20, ""t3"": 100, ""kind"": ""sma""}",54
17,2016-08-09,2017-08-08,2017-08-09,2017-09-07,252,21,0.22616768199091217,"{""t1"": 10, ""t2"": 20, ""t3"": 100, ""kind"": ""sma""}",54
18,2016-09-08,2017-09-07,2017-09-08,2017-10-06,252,21,0.040533509784955686,"{""t1"": 10, ""t2"": 20, ""t3"": 100, ""kind"": ""sma""}",54
19,2016-10-07,2017-10-06,2017-10-09,2017-11-06,252,21,0.9859670794950915,"{""t1"": 10, ""t2"": 20, ""t3"": 100, ""kind"": ""sma""}",54
20,2016-11-07,2017-11-06,2017-11-07,2017-12-06,252,21,1.6892978384123314,"{""t1"": 10, ""t2"": 20, ""t3"": 100, ""kind"": ""sma""}",54
21,2016-12-07,2017-12-06,2017-12-07,2018-01-08,252,21,1.165255607346247,"{""t1"": 10, ""t2"": 20, ""t3"": 100, ""kind"": ""sma""}",54
22,2017-01-09,2018-01-08,2018-01-09,2018-02-07,252,21,2.4144122512799884,"{""t1"": 5, ""t2"": 21, ""t3"": 100, ""kind"": ""sma""}",54
23,2017-02-08,2018-02-07,2018-02-08,2018-03-09,252,21,1.575681096269301,"{""t1"": 3, ""t2"": 21, ""t3"": 100, ""kind"": ""sma""}",54
24,2017-03-10,2018-03-09,2018-03-12,2018-04-10,252,21,0.8832466330833081,"{""t1"": 3, ""t2"": 21, ""t3"": 100, ""kind"": ""sma""}",54
25,2017-04-10,2018-04-10,2018-04-11,2018-05-09,252,21,0.2861731089085166,"{""t1"": 3, ""t2"": 21, ""t3"": 100, ""kind"": ""sma""}",54
26,2017-05-10,2018-05-09,2018-05-10,2018-06-08,252,21,-0.0900294410819227,"{""t1"": 3, ""t2"": 10, ""t3"": 100, ""kind"": ""sma""}",54
27,2017-06-09,2018-06-08,2018-06-11,2018-07-10,252,21,-0.22724204310743037,"{""t1"": 3, ""t2"": 10, ""t3"": 100, ""kind"": ""sma""}",54
28,2017-07-11,2018-07-10,2018-07-11,2018-08-08,252,21,0.05743260448281367,"{""t1"": 3, ""t2"": 10, ""t3"": 100, ""kind"": ""sma""}",54
29,2017-08-09,2018-08-08,2018-08-09,2018-09-07,252,21,0.015109428908633902,"{""t1"": 3, ""t2"": 10, ""t3"": 100, ""kind"": ""sma""}",54
30,2017-09-08,2018-09-07,2018-09-10,2018-10-08,252,21,0.3401801146554553,"{""t1"": 3, ""t2"": 10, ""t3"": 100, ""kind"": ""sma""}",54
31,2017-10-09,2018-10-08,2018-10-09,2018-11-06,252,21,0.07496979979234551,"{""t1"": 3, ""t2"": 10, ""t3"": 100, ""kind"": ""sma""}",54
32,2017-11-07,2018-11-06,2018-11-07,2018-12-07,252,21,-0.4308350923448063,"{""t1"": 3, ""t2"": 10, ""t3"": 50, ""kind"": ""sma""}",54
