fold,train_start,train_end,test_start,test_end,train_days,test_days,in_sample_objective,params,grid_size
0,2015-03-11,2016-03-09,2016-03-10,2016-04-08,252,21,-0.42909906372718204,"{""lookback"": 5, ""long_only"": true}",6
1,2015-04-10,2016-04-08,2016-04-11,2016-05-09,252,21,-0.39542817284871046,"{""lookback"": 5, ""long_only"": true}",6
2,2015-05-11,2016-05-09,2016-05-10,2016-06-08,252,21,-0.21031024462170744,"{""lookback"": 5, ""long_only"": true}",6
3,2015-06-10,2016-06-08,2016-06-09,2016-07-08,252,21,-0.02339217620822934,"{""lookback"": 5, ""long_only"": true}",6
4,2015-07-10,2016-07-08,2016-07-11,2016-08-08,252,21,0.13141269288994142,"{""lookback"": 5, ""long_only"": true}",6
5,2015-08-10,2016-08-08,2016-08-09,2016-09-07,252,21,0.188470397274583,"{""lookback"": 5, ""long_only"": true}",6
6,2015-09-09,2016-09-07,2016-09-08,2016-10-06,252,21,0.6330374789844333,"{""lookback"": 5, ""long_only"": true}",6
7,2015-10-08,2016-10-06,2016-10-07,2016-11-04,252,21,0.29327660664860933,"{""lookback"": 5, ""long_only"": true}",6
8,2015-11-06,2016-11-04,2016-11-07,2016-12-06,252,21,-0.1240433814253918,"{""lookback"": 5, ""long_only"": true}",6
9,2015-12-08,2016-12-06,2016-12-07,2017-01-06,252,21,0.6041710524381959,"{""lookback"": 5, ""long_only"": true}",6
10,2016-01-08,2017-01-06,2017-01-09,2017-02-07,252,21,1.3025503361163309,"{""lookback"": 5, ""long_only"": true}",6
11,2016-02-09,2017-02-07,2017-02-08,2017-03-09,252,21,1.8609104530523313,"{""lookback"": 5, ""long_only"": true}",6
12,2016-03-10,2017-03-09,2017-03-10,2017-04-07,252,21,1.4262742626677873,"{""lookback"": 5, ""long_only"": true}",6
13,2016-04-11,2017-04-07,2017-04-10,2017-05-09,252,21,1.2467120422463536,"{""lookback"": 5, ""long_only"": true}",6
14,2016-05-10,2017-05-09,2017-05-10,2017-06-08,252,21,1.1282064592728394,"{""lookback"": 5, ""long_only"": true}",6
15,2016-06-09,2017-06-08,2017-06-09,2017-07-10,252,21,1.08840241080319,"{""lookback"": 5, ""long_only"": true}",6
16,2016-07-11,2017-07-10,2017-07-11,2017-08-08,252,21,1.0071515080371327,"{""lookback"": 5, ""long_only"": true}",6
17,2016-08-09,2017-08-08,2017-08-09,2017-09-07,252,21,0.9379586410184828,"{""lookback"": 5, ""long_only"": true}",6
18,2016-09-08,2017-09-07,2017-09-08,2017-10-06,252,21,0.8073915649997476,"{""lookback"": 5, ""long_only"": true}",6
19,2016-10-07,2017-10-06,2017-10-09,2017-11-06,252,21,1.483330120291428,"{""lookback"": 5, ""long_only"": true}",6
20,2016-11-07,2017-11-06,2017-11-07,2017-12-06,252,21,1.9846982748226496,"{""lookback"": 5, ""long_only"": true}",6
21,2016-12-07,2017-12-06,2017-12-07,2018-01-08,252,21,1.4458230555912768,"{""lookback"": 5, ""long_only"": true}",6
22,2017-01-09,2018-01-08,2018-01-09,2018-02-07,252,21,2.0129520762059383,"{""lookback"": 5, ""long_only"": true}",6
23,2017-02-08,2018-02-07,2018-02-08,2018-03-09,252,21,1.1653622387008435,"{""lookback"": 5, ""long_only"": true}",6
24,2017-03-10,2018-03-09,2018-03-12,2018-04-10,252,21,1.0198832646824778,"{""lookback"": 5, ""long_only"": true}",6
25,2017-04-10,2018-04-10,2018-04-11,2018-05-09,252,21,0.4103748017311901,"{""lookback"": 5, ""long_only"": true}",6
26,2017-05-10,2018-05-09,2018-05-10,2018-06-08,252,21,0.4276911611310248,"{""lookback"": 5, ""long_only"": true}",6
27,2017-06-09,2018-06-08,2018-06-11,2018-07-10,252,21,0.6335772205239797,"{""lookback"": 3, ""long_only"": true}",6
28,2017-07-11,2018-07-10,2018-07-11,2018-08-08,252,21,0.6959862853051774,"{""lookback"": 5, ""long_only"": true}",6
29,2017-08-09,2018-08-08,2018-08-09,2018-09-07,252,21,0.699526726445466,"{""lookback"": 5, ""long_only"": true}",6
30,2017-09-08,2018-09-07,2018-09-10,2018-10-08,252,21,0.9093304356112434,"{""lookback"": 3, ""long_only"": true}",6
31,2017-10-09,2018-10-08,2018-10-09,2018-11-06,252,21,0.5554425302476852,"{""lookback"": 3, ""long_only"": true}",6
32,2017-11-07,2018-11-06,2018-11-07,2018-12-07,252,21,0.003537010090433253,"{""lookback"": 3, ""long_only"": true}",6
33,2017-12-07,2018-12-07,2018-12-10,2019-01-09,252,21,-0.42990302909532335,"{""lookback"": 3, ""long_only"": true}",6
34,2018-01-09,2019-01-09,2019-01-10,2019-02-08,252,21,-0.07544277080165432,"{""lookback"": 5, ""long_only"": false}",6
35,2018-02-08,2019-02-08,2019-02-11,2019-03-12,252,21,-0.15301816070975777,"{""lookback"": 3, ""long_only"": true}",6
36,2018-03-12,2019-03-12,2019-03-13,2019-04-10,252,21,-0.22773064134663834,"{""lookback"": 5, ""long_only"": false}",6
37,2018-04-11,2019-04-10,2019-04-11,2019-05-10,252,21,0.450739232550739,"{""lookback"": 5, ""long_only"": false}",6
38,2018-05-10,2019-05-10,2019-05-13,2019-06-11,252,21,0.2815783888583517,"{""lookback"": 5, ""long_only"": false}",6
39,2018-06-11,2019-06-11,2019-06-12,2019-07-11,252,21,0.3901617751637943,"{""lookback"": 5, ""long_only"": false}",6
40,2018-07-11,2019-07-11,2019-07-12,2019-08-09,252,21,0.25307592287258357,"{""lookback"": 5, ""long_only"": false}",6
