fold,train_start,train_end,test_start,test_end,train_days,test_days,in_sample_objective,params,grid_size
0,2015-03-11,2016-03-09,2016-03-10,2016-04-08,252,21,0.8992194482989981,"{""length"": 50, ""mode"": ""reversion"", ""long_only"": false}",12
1,2015-04-10,2016-04-08,2016-04-11,2016-05-09,252,21,1.0617342756371377,"{""length"": 50, ""mode"": ""reversion"", ""long_only"": false}",12
2,2015-05-11,2016-05-09,2016-05-10,2016-06-08,252,21,0.9552912075891854,"{""length"": 50, ""mode"": ""reversion"", ""long_only"": false}",12
3,2015-06-10,2016-06-08,2016-06-09,2016-07-08,252,21,0.756822177029343,"{""length"": 50, ""mode"": ""reversion"", ""long_only"": false}",12
4,2015-07-10,2016-07-08,2016-07-11,2016-08-08,252,21,0.8821941638128652,"{""length"": 50, ""mode"": ""reversion"", ""long_only"": false}",12
5,2015-08-10,2016-08-08,2016-08-09,2016-09-07,252,21,1.0495083700998715,"{""length"": 50, ""mode"": ""reversion"", ""long_only"": false}",12
6,2015-09-09,2016-09-07,2016-09-08,2016-10-06,252,21,1.663673484695158,"{""length"": 20, ""mode"": ""reversion"", ""long_only"": true}",12
7,2015-10-08,2016-10-06,2016-10-07,2016-11-04,252,21,1.4008694782238236,"{""length"": 20, ""mode"": ""reversion"", ""long_only"": true}",12
8,2015-11-06,2016-11-04,2016-11-07,2016-12-06,252,21,0.9666951064251694,"{""length"": 20, ""mode"": ""reversion"", ""long_only"": true}",12
9,2015-12-08,2016-12-06,2016-12-07,2017-01-06,252,21,1.4699272938704082,"{""length"": 20, ""mode"": ""reversion"", ""long_only"": true}",12
10,2016-01-08,2017-01-06,2017-01-09,2017-02-07,252,21,2.3662273991470197,"{""length"": 20, ""mode"": ""reversion"", ""long_only"": true}",12
11,2016-02-09,2017-02-07,2017-02-08,2017-03-09,252,21,3.114654186171957,"{""length"": 20, ""mode"": ""reversion"", ""long_only"": true}",12
12,2016-03-10,2017-03-09,2017-03-10,2017-04-07,252,21,2.586015314618246,"{""length"": 20, ""mode"": ""reversion"", ""long_only"": true}",12
13,2016-04-11,2017-04-07,2017-04-10,2017-05-09,252,21,2.319611901940139,"{""length"": 50, ""mode"": ""reversion"", ""long_only"": true}",12
14,2016-05-10,2017-05-09,2017-05-10,2017-06-08,252,21,1.9813516035009786,"{""length"": 50, ""mode"": ""reversion"", ""long_only"": true}",12
15,2016-06-09,2017-06-08,2017-06-09,2017-07-10,252,21,1.9900022442948735,"{""length"": 50, ""mode"": ""breakout"", ""long_only"": true}",12
16,2016-07-11,2017-07-10,2017-07-11,2017-08-08,252,21,2.1514766642441963,"{""length"": 10, ""mode"": ""reversion"", ""long_only"": true}",12
17,2016-08-09,2017-08-08,2017-08-09,2017-09-07,252,21,2.1090589271397,"{""length"": 50, ""mode"": ""breakout"", ""long_only"": true}",12
18,2016-09-08,2017-09-07,2017-09-08,2017-10-06,252,21,2.008989054701252,"{""length"": 50, ""mode"": ""breakout"", ""long_only"": true}",12
19,2016-10-07,2017-10-06,2017-10-09,2017-11-06,252,21,2.7611117942917356,"{""length"": 50, ""mode"": ""breakout"", ""long_only"": true}",12
20,2016-11-07,2017-11-06,2017-11-07,2017-12-06,252,21,3.4890979927298877,"{""length"": 50, ""mode"": ""breakout"", ""long_only"": true}",12
21,2016-12-07,2017-12-06,2017-12-07,2018-01-08,252,21,2.684235120646812,"{""length"": 20, ""mode"": ""reversion"", ""long_only"": true}",12
22,2017-01-09,2018-01-08,2018-01-09,2018-02-07,252,21,3.396910552258003,"{""length"": 50, ""mode"": ""breakout"", ""long_only"": true}",12
23,2017-02-08,2018-02-07,2018-02-08,2018-03-09,252,21,2.3136416715443286,"{""length"": 50, ""mode"": ""breakout"", ""long_only"": true}",12
