fold,train_start,train_end,test_start,test_end,train_days,test_days,in_sample_objective,params,grid_size
0,2015-03-11,2016-03-09,2016-03-10,2016-04-08,252,21,13.251647083344265,"{""horizon"": 5, ""k"": 5, ""feature_lengths"": [5, 21, 63], ""z1"": 0.01, ""z2"": 0.0}",12
1,2015-04-10,2016-04-08,2016-04-11,2016-05-09,252,21,12.986552932400475,"{""horizon"": 5, ""k"": 5, ""feature_lengths"": [5, 21, 63], ""z1"": 0.01, ""z2"": 0.0}",12
2,2015-05-11,2016-05-09,2016-05-10,2016-06-08,252,21,13.310375177166353,"{""horizon"": 5, ""k"": 5, ""feature_lengths"": [5, 21, 63], ""z1"": 0.01, ""z2"": 0.0}",12
3,2015-06-10,2016-06-08,2016-06-09,2016-07-08,252,21,12.92187490469356,"{""horizon"": 5, ""k"": 5, ""feature_lengths"": [5, 21, 63], ""z1"": 0.01, ""z2"": 0.0}",12
4,2015-07-10,2016-07-08,2016-07-11,2016-08-08,252,21,11.924740231077553,"{""horizon"": 5, ""k"": 5, ""feature_lengths"": [5, 21, 63], ""z1"": 0.01, ""z2"": 0.0}",12
5,2015-08-10,2016-08-08,2016-08-09,2016-09-07,252,21,11.555432562484734,"{""horizon"": 5, ""k"": 5, ""feature_lengths"": [5, 21, 63], ""z1"": 0.01, ""z2"": 0.0}",12
6,2015-09-09,2016-09-07,2016-09-08,2016-10-06,252,21,13.74380885422701,"{""horizon"": 5, ""k"": 5, ""feature_lengths"": [5, 21, 63], ""z1"": 0.01, ""z2"": 0.0}",12
7,2015-10-08,2016-10-06,2016-10-07,2016-11-04,252,21,13.289928683755814,"{""horizon"": 5, ""k"": 5, ""feature_lengths"": [5, 21, 63], ""z1"": 0.01, ""z2"": 0.0}",12
8,2015-11-06,2016-11-04,2016-11-07,2016-12-06,252,21,13.197136845539093,"{""horizon"": 5, ""k"": 5, ""feature_lengths"": [5, 21, 63], ""z1"": 0.01, ""z2"": 0.0}",12
9,2015-12-08,2016-12-06,2016-12-07,2017-01-06,252,21,9.910005483235935,"{""horizon"": 5, ""k"": 5, ""feature_lengths"": [5, 21, 63], ""z1"": 0.01, ""z2"": 0.0}",12
10,2016-01-08,2017-01-06,2017-01-09,2017-02-07,252,21,9.482995475844687,"{""horizon"": 5, ""k"": 5, ""feature_lengths"": [5, 21, 63], ""z1"": 0.01, ""z2"": 0.0}",12
11,2016-02-09,2017-02-07,2017-02-08,2017-03-09,252,21,13.259872264525356,"{""horizon"": 5, ""k"": 5, ""feature_lengths"": [5, 21, 63], ""z1"": 0.01, ""z2"": 0.0}",12
12,2016-03-10,2017-03-09,2017-03-10,2017-04-07,252,21,13.329572509005995,"{""horizon"": 5, ""k"": 5, ""feature_lengths"": [5, 21, 63], ""z1"": 0.01, ""z2"": 0.0}",12
13,2016-04-11,2017-04-07,2017-04-10,2017-05-09,252,21,13.357483925486228,"{""horizon"": 5, ""k"": 5, ""feature_lengths"": [5, 21, 63], ""z1"": 0.01, ""z2"": 0.0}",12
14,2016-05-10,2017-05-09,2017-05-10,2017-06-08,252,21,13.83909652479282,"{""horizon"": 5, ""k"": 5, ""feature_lengths"": [5, 21, 63], ""z1"": 0.01, ""z2"": 0.0}",12
15,2016-06-09,2017-06-08,2017-06-09,2017-07-10,252,21,14.568977715238562,"{""horizon"": 5, ""k"": 5, ""feature_lengths"": [5, 21, 63], ""z1"": 0.01, ""z2"": 0.0}",12
16,2016-07-11,2017-07-10,2017-07-11,2017-08-08,252,21,16.593199960394315,"{""horizon"": 5, ""k"": 5, ""feature_lengths"": [5, 21, 63], ""z1"": 0.01, ""z2"": 0.0}",12
17,2016-08-09,2017-08-08,2017-08-09,2017-09-07,252,21,15.471631426968939,"{""horizon"": 5, ""k"": 5, ""feature_lengths"": [5, 21, 63], ""z1"": 0.01, ""z2"": 0.0}",12
18,2016-09-08,2017-09-07,2017-09-08,2017-10-06,252,21,15.1647287006442,"{""horizon"": 5, ""k"": 5, ""feature_lengths"": [5, 21, 63], ""z1"": 0.01, ""z2"": 0.0}",12
19,2016-10-07,2017-10-06,2017-10-09,2017-11-06,252,21,17.56690168853617,"{""horizon"": 5, ""k"": 5, ""feature_lengths"": [5, 21, 63], ""z1"": 0.01, ""z2"": 0.0}",12
20,2016-11-07,2017-11-06,2017-11-07,2017-12-06,252,21,18.773583679784952,"{""horizon"": 5, ""k"": 5, ""feature_lengths"": [5, 21, 63], ""z1"": 0.01, ""z2"": 0.0}",12
21,2016-12-07,2017-12-06,2017-12-07,2018-01-08,252,21,19.59815263601779,"{""horizon"": 5, ""k"": 5, ""feature_lengths"": [5, 21, 63], ""z1"": 0.01, ""z2"": 0.0}",12
22,2017-01-09,2018-01-08,2018-01-09,2018-02-07,252,21,19.00469261589898,"{""horizon"": 5, ""k"": 5, ""feature_lengths"": [5, 21, 63], ""z1"": 0.01, ""z2"": 0.0}",12
23,2017-02-08,2018-02-07,2018-02-08,2018-03-09,252,21,17.9311003681826,"{""horizon"": 5, ""k"": 5, ""feature_lengths"": [5, 21, 63], ""z1"": 0.01, ""z2"": 0.0}",12
24,2017-03-10,2018-03-09,2018-03-12,2018-04-10,252,21,15.604736594605132,"{""horizon"": 5, ""k"": 5, ""feature_lengths"": [5, 21, 63], ""z1"": 0.01, ""z2"": 0.0}",12
25,2017-04-10,2018-04-10,2018-04-11,2018-05-09,252,21,14.260649007387512,"{""horizon"": 5, ""k"": 5, ""feature_lengths"": [5, 21, 63], ""z1"": 0.01, ""z2"": 0.0}",12
26,2017-05-10,2018-05-09,2018-05-10,2018-06-08,252,21,13.958061877369632,"{""horizon"": 5, ""k"": 5, ""feature_lengths"": [5, 21, 63], ""z1"": 0.01, ""z2"": 0.0}",12
27,2017-06-09,2018-06-08,2018-06-11,2018-07-10,252,21,14.196198482628631,"{""horizon"": 5, ""k"": 5, ""feature_lengths"": [5, 21, 63], ""z1"": 0.01, ""z2"": 0.0}",12
28,2017-07-11,2018-07-10,2018-07-11,2018-08-08,252,21,13.964635132959865,"{""horizon"": 5, ""k"": 5, ""feature_lengths"": [5, 21, 63], ""z1"": 0.01, ""z2"": 0.0}",12
29,2017-08-09,2018-08-08,2018-08-09,2018-09-07,252,21,14.672161955825889,"{""horizon"": 5, ""k"": 5, ""feature_lengths"": [5, 21, 63], ""z1"": 0.01, ""z2"": 0.0}",12
30,2017-09-08,2018-09-07,2018-09-10,2018-10-08,252,21,14.546277517115342,"{""horizon"": 5, ""k"": 5, ""feature_lengths"": [5, 21, 63], ""z1"": 0.01, ""z2"": 0.0}",12
31,2017-10-09,2018-10-08,2018-10-09,2018-11-06,252,21,14.438676991407004,"{""horizon"": 5, ""k"": 5, ""feature_lengths"": [5, 21, 63], ""z1"": 0.01, ""z2"": 0.0}",12
32,2017-11-07,2018-11-06,2018-11-07,2018-12-07,252,21,14.844463498191466,"{""horizon"": 5, ""k"": 5, ""feature_lengths"": [5, 21, 63], ""z1"": 0.01, ""z2"": 0.0}",12
33,2017-12-07,2018-12-07,2018-12-10,2019-01-09,252,21,13.340593856290162,"{""horizon"": 5, ""k"": 5, ""feature_lengths"": [5, 21, 63], ""z1"": 0.01, ""z2"": 0.0}",12
34,2018-01-09,2019-01-09,2019-01-10,2019-02-08,252,21,12.47979658324923,"{""horizon"": 5, ""k"": 5, ""feature_lengths"": [5, 21, 63], ""z1"": 0.01, ""z2"": 0.0}",12
