fold,train_start,train_end,test_start,test_end,train_days,test_days,in_sample_objective,params,grid_size
0,2015-03-11,2016-03-09,2016-03-10,2016-04-08,252,21,1.386960270370996,"{""alpha"": ""mean_reversion"", ""lookback"": 21, ""cov_model"": ""pc"", ""n_factors"": 2, ""shrinkage"": 0.5, ""dollar_neutral"": true}",24
1,2015-04-10,2016-04-08,2016-04-11,2016-05-09,252,21,1.2084943438511482,"{""alpha"": ""mean_reversion"", ""lookback"": 21, ""cov_model"": ""pc"", ""n_factors"": 2, ""shrinkage"": 0.5, ""dollar_neutral"": true}",24
2,2015-05-11,2016-05-09,2016-05-10,2016-06-08,252,21,1.5448526519765529,"{""alpha"": ""mean_reversion"", ""lookback"": 21, ""cov_model"": ""pc"", ""n_factors"": 2, ""shrinkage"": 0.5, ""dollar_neutral"": true}",24
3,2015-06-10,2016-06-08,2016-06-09,2016-07-08,252,21,1.6393701574127162,"{""alpha"": ""mean_reversion"", ""lookback"": 21, ""cov_model"": ""pc"", ""n_factors"": 2, ""shrinkage"": 0.5, ""dollar_neutral"": true}",24
4,2015-07-10,2016-07-08,2016-07-11,2016-08-08,252,21,1.9388179768003768,"{""alpha"": ""mean_reversion"", ""lookback"": 21, ""cov_model"": ""pc"", ""n_factors"": 2, ""shrinkage"": 0.5, ""dollar_neutral"": true}",24
5,2015-08-10,2016-08-08,2016-08-09,2016-09-07,252,21,1.979691968823116,"{""alpha"": ""mean_reversion"", ""lookback"": 21, ""cov_model"": ""pc"", ""n_factors"": 2, ""shrinkage"": 0.5, ""dollar_neutral"": true}",24
6,2015-09-09,2016-09-07,2016-09-08,2016-10-06,252,21,2.097141865950335,"{""alpha"": ""mean_reversion"", ""lookback"": 21, ""cov_model"": ""pc"", ""n_factors"": 2, ""shrinkage"": 0.5, ""dollar_neutral"": true}",24
7,2015-10-08,2016-10-06,2016-10-07,2016-11-04,252,21,2.202454773778937,"{""alpha"": ""mean_reversion"", ""lookback"": 21, ""cov_model"": ""pc"", ""n_factors"": 2, ""shrinkage"": 0.5, ""dollar_neutral"": true}",24
8,2015-11-06,2016-11-04,2016-11-07,2016-12-06,252,21,2.2249712868429525,"{""alpha"": ""mean_reversion"", ""lookback"": 21, ""cov_model"": ""pc"", ""n_factors"": 2, ""shrinkage"": 0.5, ""dollar_neutral"": true}",24
9,2015-12-08,2016-12-06,2016-12-07,2017-01-06,252,21,2.143613488291827,"{""alpha"": ""mean_reversion"", ""lookback"": 21, ""cov_model"": ""pc"", ""n_factors"": 2, ""shrinkage"": 0.5, ""dollar_neutral"": true}",24
10,2016-01-08,2017-01-06,2017-01-09,2017-02-07,252,21,2.625405783327308,"{""alpha"": ""mean_reversion"", ""lookback"": 21, ""cov_model"": ""pc"", ""n_factors"": 2, ""shrinkage"": 0.5, ""dollar_neutral"": true}",24
11,2016-02-09,2017-02-07,2017-02-08,2017-03-09,252,21,2.929136619569446,"{""alpha"": ""mean_reversion"", ""lookback"": 21, ""cov_model"": ""pc"", ""n_factors"": 2, ""shrinkage"": 0.5, ""dollar_neutral"": true}",24
12,2016-03-10,2017-03-09,2017-03-10,2017-04-07,252,21,1.598305475271067,"{""alpha"": ""mean_reversion"", ""lookback"": 21, ""cov_model"": ""pc"", ""n_factors"": 2, ""shrinkage"": 0.5, ""dollar_neutral"": true}",24
13,2016-04-11,2017-04-07,2017-04-10,2017-05-09,252,21,1.3318477751822,"{""alpha"": ""mean_reversion"", ""lookback"": 21, ""cov_model"": ""pc"", ""n_factors"": 2, ""shrinkage"": 0.5, ""dollar_neutral"": true}",24
14,2016-05-10,2017-05-09,2017-05-10,2017-06-08,252,21,0.7563228340849412,"{""alpha"": ""mean_reversion"", ""lookback"": 21, ""cov_model"": ""pc"", ""n_factors"": 2, ""shrinkage"": 0.5, ""dollar_neutral"": true}",24
