fold,train_start,train_end,test_start,test_end,train_days,test_days,in_sample_objective,params,grid_size
0,2015-03-11,2016-03-09,2016-03-10,2016-04-08,252,21,67.50420527286289,"{""alpha"": ""momentum"", ""lookback"": 1, ""cov_model"": ""sample"", ""n_factors"": 1, ""shrinkage"": 0.5, ""dollar_neutral"": true}",144
1,2015-04-10,2016-04-08,2016-04-11,2016-05-09,252,21,80.25276710152517,"{""alpha"": ""momentum"", ""lookback"": 1, ""cov_model"": ""sample"", ""n_factors"": 1, ""shrinkage"": 0.5, ""dollar_neutral"": true}",144
2,2015-05-11,2016-05-09,2016-05-10,2016-06-08,252,21,65.4610868170377,"{""alpha"": ""momentum"", ""lookback"": 1, ""cov_model"": ""sample"", ""n_factors"": 1, ""shrinkage"": 0.5, ""dollar_neutral"": true}",144
3,2015-06-10,2016-06-08,2016-06-09,2016-07-08,252,21,62.3884112257436,"{""alpha"": ""momentum"", ""lookback"": 1, ""cov_model"": ""sample"", ""n_factors"": 1, ""shrinkage"": 0.5, ""dollar_neutral"": true}",144
4,2015-07-10,2016-07-08,2016-07-11,2016-08-08,252,21,64.15982090586202,"{""alpha"": ""momentum"", ""lookback"": 1, ""cov_model"": ""sample"", ""n_factors"": 1, ""shrinkage"": 0.5, ""dollar_neutral"": true}",144
5,2015-08-10,2016-08-08,2016-08-09,2016-09-07,252,21,63.30174604363583,"{""alpha"": ""momentum"", ""lookback"": 1, ""cov_model"": ""sample"", ""n_factors"": 1, ""shrinkage"": 0.5, ""dollar_neutral"": true}",144
6,2015-09-09,2016-09-07,2016-09-08,2016-10-06,252,21,63.08027522357489,"{""alpha"": ""momentum"", ""lookback"": 1, ""cov_model"": ""sample"", ""n_factors"": 1, ""shrinkage"": 0.5, ""dollar_neutral"": true}",144
7,2015-10-08,2016-10-06,2016-10-07,2016-11-04,252,21,68.88755792476611,"{""alpha"": ""momentum"", ""lookback"": 1, ""cov_model"": ""sample"", ""n_factors"": 1, ""shrinkage"": 0.5, ""dollar_neutral"": true}",144
8,2015-11-06,2016-11-04,2016-11-07,2016-12-06,252,21,67.25337854440731,"{""alpha"": ""momentum"", ""lookback"": 1, ""cov_model"": ""sample"", ""n_factors"": 1, ""shrinkage"": 0.5, ""dollar_neutral"": true}",144
9,2015-12-08,2016-12-06,2016-12-07,2017-01-06,252,21,66.0269524704904,"{""alpha"": ""momentum"", ""lookback"": 1, ""cov_model"": ""sample"", ""n_factors"": 1, ""shrinkage"": 0.5, ""dollar_neutral"": true}",144
10,2016-01-08,2017-01-06,2017-01-09,2017-02-07,252,21,67.66655968327066,"{""alpha"": ""momentum"", ""lookback"": 1, ""cov_model"": ""sample"", ""n_factors"": 1, ""shrinkage"": 0.5, ""dollar_neutral"": true}",144
11,2016-02-09,2017-02-07,2017-02-08,2017-03-09,252,21,58.69016028243691,"{""alpha"": ""momentum"", ""lookback"": 1, ""cov_model"": ""sample"", ""n_factors"": 1, ""shrinkage"": 0.5, ""dollar_neutral"": true}",144
12,2016-03-10,2017-03-09,2017-03-10,2017-04-07,252,21,58.147468258090214,"{""alpha"": ""momentum"", ""lookback"": 1, ""cov_model"": ""sample"", ""n_factors"": 1, ""shrinkage"": 0.5, ""dollar_neutral"": true}",144
13,2016-04-11,2017-04-07,2017-04-10,2017-05-09,252,21,63.93064477728493,"{""alpha"": ""momentum"", ""lookback"": 1, ""cov_model"": ""sample"", ""n_factors"": 1, ""shrinkage"": 0.5, ""dollar_neutral"": true}",144
14,2016-05-10,2017-05-09,2017-05-10,2017-06-08,252,21,59.812496122130604,"{""alpha"": ""momentum"", ""lookback"": 1, ""cov_model"": ""sample"", ""n_factors"": 1, ""shrinkage"": 0.5, ""dollar_neutral"": true}",144
15,2016-06-09,2017-06-08,2017-06-09,2017-07-10,252,21,62.94344074275027,"{""alpha"": ""momentum"", ""lookback"": 1, ""cov_model"": ""sample"", ""n_factors"": 1, ""shrinkage"": 0.5, ""dollar_neutral"": true}",144
16,2016-07-11,2017-07-10,2017-07-11,2017-08-08,252,21,63.97883223542989,"{""alpha"": ""momentum"", ""lookback"": 1, ""cov_model"": ""sample"", ""n_factors"": 1, ""shrinkage"": 0.5, ""dollar_neutral"": true}",144
17,2016-08-09,2017-08-08,2017-08-09,2017-09-07,252,21,62.19669387729974,"{""alpha"": ""momentum"", ""lookback"": 1, ""cov_model"": ""sample"", ""n_factors"": 1, ""shrinkage"": 0.5, ""dollar_neutral"": true}",144
18,2016-09-08,2017-09-07,2017-09-08,2017-10-06,252,21,72.84031167594938,"{""alpha"": ""momentum"", ""lookback"": 1, ""cov_model"": ""sample"", ""n_factors"": 1, ""shrinkage"": 0.5, ""dollar_neutral"": true}",144
19,2016-10-07,2017-10-06,2017-10-09,2017-11-06,252,21,69.00385753957362,"{""alpha"": ""momentum"", ""lookback"": 1, ""cov_model"": ""sample"", ""n_factors"": 1, ""shrinkage"": 0.5, ""dollar_neutral"": true}",144
20,2016-11-07,2017-11-06,2017-11-07,2017-12-06,252,21,76.45188284259534,"{""alpha"": ""momentum"", ""lookback"": 1, ""cov_model"": ""sample"", ""n_factors"": 1, ""shrinkage"": 0.5, ""dollar_neutral"": true}",144
21,2016-12-07,2017-12-06,2017-12-07,2018-01-08,252,21,56.89679532995011,"{""alpha"": ""momentum"", ""lookback"": 1, ""cov_model"": ""sample"", ""n_factors"": 1, ""shrinkage"": 0.5, ""dollar_neutral"": true}",144
22,2017-01-09,2018-01-08,2018-01-09,2018-02-07,252,21,63.977173852941384,"{""alpha"": ""momentum"", ""lookback"": 1, ""cov_model"": ""sample"", ""n_factors"": 1, ""shrinkage"": 0.5, ""dollar_neutral"": true}",144
23,2017-02-08,2018-02-07,2018-02-08,2018-03-09,252,21,66.28263292576027,"{""alpha"": ""momentum"", ""lookback"": 1, ""cov_model"": ""sample"", ""n_factors"": 1, ""shrinkage"": 0.5, ""dollar_neutral"": true}",144
24,2017-03-10,2018-03-09,2018-03-12,2018-04-10,252,21,65.54551716448137,"{""alpha"": ""momentum"", ""lookback"": 1, ""cov_model"": ""sample"", ""n_factors"": 1, ""shrinkage"": 0.5, ""dollar_neutral"": true}",144
25,2017-04-10,2018-04-10,2018-04-11,2018-05-09,252,21,66.2466092269318,"{""alpha"": ""momentum"", ""lookback"": 1, ""cov_model"": ""sample"", ""n_factors"": 1, ""shrinkage"": 0.5, ""dollar_neutral"": true}",144
26,2017-05-10,2018-05-09,2018-05-10,2018-06-08,252,21,73.90775338338423,"{""alpha"": ""momentum"", ""lookback"": 1, ""cov_model"": ""sample"", ""n_factors"": 1, ""shrinkage"": 0.5, ""dollar_neutral"": true}",144
27,2017-06-09,2018-06-08,2018-06-11,2018-07-10,252,21,86.5658236231759,"{""alpha"": ""momentum"", ""lookback"": 1, ""cov_model"": ""sample"", ""n_factors"": 1, ""shrinkage"": 0.5, ""dollar_neutral"": true}",144
28,2017-07-11,2018-07-10,2018-07-11,2018-08-08,252,21,72.27220315625388,"{""alpha"": ""momentum"", ""lookback"": 1, ""cov_model"": ""sample"", ""n_factors"": 1, ""shrinkage"": 0.5, ""dollar_neutral"": true}",144
29,2017-08-09,2018-08-08,2018-08-09,2018-09-07,252,21,70.6289314097255,"{""alpha"": ""momentum"", ""lookback"": 1, ""cov_model"": ""sample"", ""n_factors"": 1, ""shrinkage"": 0.5, ""dollar_neutral"": true}",144
30,2017-09-08,2018-09-07,2018-09-10,2018-10-08,252,21,70.06982415168673,"{""alpha"": ""momentum"", ""lookback"": 1, ""cov_model"": ""sample"", ""n_factors"": 1, ""shrinkage"": 0.5, ""dollar_neutral"": true}",144
31,2017-10-09,2018-10-08,2018-10-09,2018-11-06,252,21,72.3882814477946,"{""alpha"": ""momentum"", ""lookback"": 1, ""cov_model"": ""sample"", ""n_factors"": 1, ""shrinkage"": 0.5, ""dollar_neutral"": true}",144
32,2017-11-07,2018-11-06,2018-11-07,2018-12-07,252,21,72.23493021955953,"{""alpha"": ""momentum"", ""lookback"": 1, ""cov_model"": ""sample"", ""n_factors"": 1, ""shrinkage"": 0.5, ""dollar_neutral"": true}",144
33,2017-12-07,2018-12-07,2018-12-10,2019-01-09,252,21,73.64147885991002,"{""alpha"": ""momentum"", ""lookback"": 1, ""cov_model"": ""sample"", ""n_factors"": 1, ""shrinkage"": 0.5, ""dollar_neutral"": true}",144
34,2018-01-09,2019-01-09,2019-01-10,2019-02-08,252,21,67.33402115952723,"{""alpha"": ""momentum"", ""lookback"": 1, ""cov_model"": ""sample"", ""n_factors"": 1, ""shrinkage"": 0.5, ""dollar_neutral"": true}",144
35,2018-02-08,2019-02-08,2019-02-11,2019-03-12,252,21,64.34529227925167,"{""alpha"": ""momentum"", ""lookback"": 1, ""cov_model"": ""sample"", ""n_factors"": 1, ""shrinkage"": 0.5, ""dollar_neutral"": true}",144
36,2018-03-12,2019-03-12,2019-03-13,2019-04-10,252,21,64.05029539703966,"{""alpha"": ""momentum"", ""lookback"": 1, ""cov_model"": ""sample"", ""n_factors"": 1, ""shrinkage"": 0.5, ""dollar_neutral"": true}",144
37,2018-04-11,2019-04-10,2019-04-11,2019-05-10,252,21,65.59309523935872,"{""alpha"": ""momentum"", ""lookback"": 1, ""cov_model"": ""sample"", ""n_factors"": 1, ""shrinkage"": 0.5, ""dollar_neutral"": true}",144
38,2018-05-10,2019-05-10,2019-05-13,2019-06-11,252,21,68.73250169559573,"{""alpha"": ""momentum"", ""lookback"": 1, ""cov_model"": ""sample"", ""n_factors"": 1, ""shrinkage"": 0.5, ""dollar_neutral"": true}",144
39,2018-06-11,2019-06-11,2019-06-12,2019-07-11,252,21,64.91669485123445,"{""alpha"": ""momentum"", ""lookback"": 1, ""cov_model"": ""sample"", ""n_factors"": 1, ""shrinkage"": 0.5, ""dollar_neutral"": true}",144
40,2018-07-11,2019-07-11,2019-07-12,2019-08-09,252,21,61.1200687988132,"{""alpha"": ""momentum"", ""lookback"": 1, ""cov_model"": ""sample"", ""n_factors"": 1, ""shrinkage"": 0.5, ""dollar_neutral"": true}",144
41,2018-08-09,2019-08-09,2019-08-12,2019-09-10,252,21,61.5639225412364,"{""alpha"": ""momentum"", ""lookback"": 1, ""cov_model"": ""sample"", ""n_factors"": 1, ""shrinkage"": 0.5, ""dollar_neutral"": true}",144
42,2018-09-10,2019-09-10,2019-09-11,2019-10-09,252,21,55.55895913493147,"{""alpha"": ""momentum"", ""lookback"": 1, ""cov_model"": ""sample"", ""n_factors"": 1, ""shrinkage"": 0.5, ""dollar_neutral"": true}",144
43,2018-10-09,2019-10-09,2019-10-10,2019-11-07,252,21,60.134886041247796,"{""alpha"": ""momentum"", ""lookback"": 1, ""cov_model"": ""sample"", ""n_factors"": 1, ""shrinkage"": 0.5, ""dollar_neutral"": true}",144
44,2018-11-07,2019-11-07,2019-11-08,2019-12-09,252,21,56.986191404598245,"{""alpha"": ""momentum"", ""lookback"": 1, ""cov_model"": ""sample"", ""n_factors"": 1, ""shrinkage"": 0.5, ""dollar_neutral"": true}",144
45,2018-12-10,2019-12-09,2019-12-10,2020-01-09,252,21,69.40138775630761,"{""alpha"": ""momentum"", ""lookback"": 1, ""cov_model"": ""sample"", ""n_factors"": 1, ""shrinkage"": 0.5, ""dollar_neutral"": true}",144
46,2019-01-10,2020-01-09,2020-01-10,2020-02-10,252,21,61.44442780154977,"{""alpha"": ""momentum"", ""lookback"": 1, ""cov_model"": ""sample"", ""n_factors"": 1, ""shrinkage"": 0.5, ""dollar_neutral"": true}",144
47,2019-02-11,2020-02-10,2020-02-11,2020-03-11,252,21,62.47070189626104,"{""alpha"": ""momentum"", ""lookback"": 1, ""cov_model"": ""sample"", ""n_factors"": 1, ""shrinkage"": 0.5, ""dollar_neutral"": true}",144
48,2019-03-13,2020-03-11,2020-03-12,2020-04-09,252,21,64.79210098765745,"{""alpha"": ""momentum"", ""lookback"": 1, ""cov_model"": ""sample"", ""n_factors"": 1, ""shrinkage"": 0.5, ""dollar_neutral"": true}",144
