fold,train_start,train_end,test_start,test_end,train_days,test_days,in_sample_objective,params,grid_size,combo_weights
0,2015-03-11,2016-03-09,2016-03-10,2016-04-08,252,21,-0.4777838231298524,"{""d"": 63, ""n_factors"": 2}",4,"{""3.1.price_momentum"": -0.2267, ""3.1.price_momentum_long_only"": -0.0352, ""3.4.low_volatility"": 0.1711, ""3.6.multifactor"": -0.0171, ""3.9.mean_reversion_single_cluster"": 0.0824, ""3.11.single_moving_average"": -0.0584, ""3.12.two_moving_averages"": 0.061, ""3.14.support_resistance"": -0.0804, ""3.15.channel"": 0.0337, ""4.4.mean_reversion_ibs"": 0.13, ""4.6.multi_asset_trend"": -0.0369, ""10.4.trend_following"": -0.0671}"
1,2015-04-10,2016-04-08,2016-04-11,2016-05-09,252,21,-0.2784589124285314,"{""d"": 21, ""n_factors"": 1}",4,"{""3.1.price_momentum"": 0.0632, ""3.1.price_momentum_long_only"": 0.0274, ""3.4.low_volatility"": 0.0764, ""3.6.multifactor"": 0.1072, ""3.9.mean_reversion_single_cluster"": 0.1344, ""3.11.single_moving_average"": 0.065, ""3.12.two_moving_averages"": 0.1727, ""3.14.support_resistance"": -0.0222, ""3.15.channel"": 0.1369, ""4.4.mean_reversion_ibs"": 0.1421, ""4.6.multi_asset_trend"": 0.0396, ""10.4.trend_following"": 0.013}"
2,2015-05-11,2016-05-09,2016-05-10,2016-06-08,252,21,-0.8702807680762827,"{""d"": 63, ""n_factors"": 2}",4,"{""3.1.price_momentum"": -0.16, ""3.1.price_momentum_long_only"": 0.0228, ""3.4.low_volatility"": 0.0101, ""3.6.multifactor"": -0.0902, ""3.9.mean_reversion_single_cluster"": -0.0399, ""3.11.single_moving_average"": -0.0527, ""3.12.two_moving_averages"": 0.1243, ""3.14.support_resistance"": 0.0195, ""3.15.channel"": 0.0999, ""4.4.mean_reversion_ibs"": -0.0535, ""4.6.multi_asset_trend"": 0.0285, ""10.4.trend_following"": -0.2985}"
3,2015-06-10,2016-06-08,2016-06-09,2016-07-08,252,21,-1.7430113366458588,"{""d"": 63, ""n_factors"": 1}",4,"{""3.1.price_momentum"": -0.1182, ""3.1.price_momentum_long_only"": 0.0226, ""3.4.low_volatility"": -0.0332, ""3.6.multifactor"": -0.1301, ""3.9.mean_reversion_single_cluster"": -0.0867, ""3.11.single_moving_average"": 0.099, ""3.12.two_moving_averages"": 0.0699, ""3.14.support_resistance"": -0.0327, ""3.15.channel"": 0.1115, ""4.4.mean_reversion_ibs"": 0.2286, ""4.6.multi_asset_trend"": 0.0345, ""10.4.trend_following"": -0.0329}"
4,2015-07-10,2016-07-08,2016-07-11,2016-08-08,252,21,0.44353579539442306,"{""d"": 21, ""n_factors"": 2}",4,"{""3.1.price_momentum"": 0.1035, ""3.1.price_momentum_long_only"": 0.078, ""3.4.low_volatility"": 0.0684, ""3.6.multifactor"": 0.1048, ""3.9.mean_reversion_single_cluster"": 0.0611, ""3.11.single_moving_average"": 0.0859, ""3.12.two_moving_averages"": -0.0778, ""3.14.support_resistance"": 0.0696, ""3.15.channel"": -0.0991, ""4.4.mean_reversion_ibs"": 0.0748, ""4.6.multi_asset_trend"": 0.0804, ""10.4.trend_following"": -0.0966}"
5,2015-08-10,2016-08-08,2016-08-09,2016-09-07,252,21,0.24363735721300378,"{""d"": 63, ""n_factors"": 2}",4,"{""3.1.price_momentum"": 0.0992, ""3.1.price_momentum_long_only"": 0.059, ""3.4.low_volatility"": -0.0141, ""3.6.multifactor"": 0.0468, ""3.9.mean_reversion_single_cluster"": -0.0437, ""3.11.single_moving_average"": 0.0302, ""3.12.two_moving_averages"": -0.165, ""3.14.support_resistance"": 0.0533, ""3.15.channel"": -0.2065, ""4.4.mean_reversion_ibs"": 0.0427, ""4.6.multi_asset_trend"": 0.0795, ""10.4.trend_following"": -0.1599}"
6,2015-09-09,2016-09-07,2016-09-08,2016-10-06,252,21,0.3612392005758417,"{""d"": 63, ""n_factors"": 2}",4,"{""3.1.price_momentum"": 0.0617, ""3.1.price_momentum_long_only"": 0.0512, ""3.4.low_volatility"": 0.0013, ""3.6.multifactor"": 0.0519, ""3.9.mean_reversion_single_cluster"": -0.0213, ""3.11.single_moving_average"": 0.0275, ""3.12.two_moving_averages"": -0.1092, ""3.14.support_resistance"": 0.0728, ""3.15.channel"": -0.2323, ""4.4.mean_reversion_ibs"": 0.0203, ""4.6.multi_asset_trend"": 0.0843, ""10.4.trend_following"": -0.2662}"
7,2015-10-08,2016-10-06,2016-10-07,2016-11-04,252,21,0.05126697357691191,"{""d"": 63, ""n_factors"": 1}",4,"{""3.1.price_momentum"": -0.1433, ""3.1.price_momentum_long_only"": -0.0312, ""3.4.low_volatility"": -0.1827, ""3.6.multifactor"": -0.1703, ""3.9.mean_reversion_single_cluster"": -0.0217, ""3.11.single_moving_average"": -0.0553, ""3.12.two_moving_averages"": -0.0456, ""3.14.support_resistance"": -0.1303, ""3.15.channel"": -0.0864, ""4.4.mean_reversion_ibs"": 0.1105, ""4.6.multi_asset_trend"": -0.0222, ""10.4.trend_following"": -0.0005}"
8,2015-11-06,2016-11-04,2016-11-07,2016-12-06,252,21,-0.730339254391145,"{""d"": 21, ""n_factors"": 2}",4,"{""3.1.price_momentum"": -0.1438, ""3.1.price_momentum_long_only"": -0.0514, ""3.4.low_volatility"": -0.0614, ""3.6.multifactor"": -0.0891, ""3.9.mean_reversion_single_cluster"": 0.0079, ""3.11.single_moving_average"": -0.0935, ""3.12.two_moving_averages"": -0.0215, ""3.14.support_resistance"": -0.0254, ""3.15.channel"": 0.0198, ""4.4.mean_reversion_ibs"": -0.1922, ""4.6.multi_asset_trend"": -0.0898, ""10.4.trend_following"": -0.2043}"
9,2015-12-08,2016-12-06,2016-12-07,2017-01-06,252,21,0.35926475371036026,"{""d"": 21, ""n_factors"": 1}",4,"{""3.1.price_momentum"": -0.0069, ""3.1.price_momentum_long_only"": 0.0429, ""3.4.low_volatility"": -0.1206, ""3.6.multifactor"": -0.0394, ""3.9.mean_reversion_single_cluster"": 0.1711, ""3.11.single_moving_average"": 0.0439, ""3.12.two_moving_averages"": -0.0163, ""3.14.support_resistance"": -0.1011, ""3.15.channel"": -0.0406, ""4.4.mean_reversion_ibs"": -0.0356, ""4.6.multi_asset_trend"": 0.0918, ""10.4.trend_following"": 0.2897}"
