fold,train_start,train_end,test_start,test_end,train_days,test_days,in_sample_objective,params,grid_size
0,2015-03-11,2016-03-09,2016-03-10,2016-04-08,252,21,0.8225472408511112,"{""vol_window"": 252, ""fraction"": 0.34, ""long_only"": false}",8
1,2015-04-10,2016-04-08,2016-04-11,2016-05-09,252,21,0.8534039775514666,"{""vol_window"": 252, ""fraction"": 0.34, ""long_only"": false}",8
2,2015-05-11,2016-05-09,2016-05-10,2016-06-08,252,21,1.0176182919942667,"{""vol_window"": 252, ""fraction"": 0.34, ""long_only"": false}",8
3,2015-06-10,2016-06-08,2016-06-09,2016-07-08,252,21,1.055291586234065,"{""vol_window"": 252, ""fraction"": 0.17, ""long_only"": true}",8
4,2015-07-10,2016-07-08,2016-07-11,2016-08-08,252,21,1.4071331934727795,"{""vol_window"": 252, ""fraction"": 0.17, ""long_only"": true}",8
5,2015-08-10,2016-08-08,2016-08-09,2016-09-07,252,21,1.0925712049235867,"{""vol_window"": 126, ""fraction"": 0.17, ""long_only"": true}",8
6,2015-09-09,2016-09-07,2016-09-08,2016-10-06,252,21,1.896183609405048,"{""vol_window"": 126, ""fraction"": 0.17, ""long_only"": true}",8
7,2015-10-08,2016-10-06,2016-10-07,2016-11-04,252,21,1.2366329655463735,"{""vol_window"": 126, ""fraction"": 0.17, ""long_only"": true}",8
8,2015-11-06,2016-11-04,2016-11-07,2016-12-06,252,21,0.8952130239169653,"{""vol_window"": 126, ""fraction"": 0.17, ""long_only"": true}",8
9,2015-12-08,2016-12-06,2016-12-07,2017-01-06,252,21,1.16115602613546,"{""vol_window"": 126, ""fraction"": 0.17, ""long_only"": true}",8
10,2016-01-08,2017-01-06,2017-01-09,2017-02-07,252,21,1.8203891377358812,"{""vol_window"": 126, ""fraction"": 0.17, ""long_only"": true}",8
11,2016-02-09,2017-02-07,2017-02-08,2017-03-09,252,21,2.0258926966086013,"{""vol_window"": 126, ""fraction"": 0.34, ""long_only"": true}",8
12,2016-03-10,2017-03-09,2017-03-10,2017-04-07,252,21,1.864215075116841,"{""vol_window"": 126, ""fraction"": 0.34, ""long_only"": true}",8
13,2016-04-11,2017-04-07,2017-04-10,2017-05-09,252,21,1.5695226231448725,"{""vol_window"": 126, ""fraction"": 0.34, ""long_only"": true}",8
14,2016-05-10,2017-05-09,2017-05-10,2017-06-08,252,21,1.5385958394207262,"{""vol_window"": 126, ""fraction"": 0.34, ""long_only"": true}",8
15,2016-06-09,2017-06-08,2017-06-09,2017-07-10,252,21,1.6932024483492347,"{""vol_window"": 126, ""fraction"": 0.34, ""long_only"": true}",8
16,2016-07-11,2017-07-10,2017-07-11,2017-08-08,252,21,1.2255585041915398,"{""vol_window"": 126, ""fraction"": 0.34, ""long_only"": true}",8
17,2016-08-09,2017-08-08,2017-08-09,2017-09-07,252,21,1.6013609129138977,"{""vol_window"": 126, ""fraction"": 0.34, ""long_only"": true}",8
18,2016-09-08,2017-09-07,2017-09-08,2017-10-06,252,21,1.708664777095296,"{""vol_window"": 126, ""fraction"": 0.34, ""long_only"": true}",8
19,2016-10-07,2017-10-06,2017-10-09,2017-11-06,252,21,2.7415041348083498,"{""vol_window"": 126, ""fraction"": 0.34, ""long_only"": true}",8
20,2016-11-07,2017-11-06,2017-11-07,2017-12-06,252,21,3.4297838877475613,"{""vol_window"": 126, ""fraction"": 0.34, ""long_only"": true}",8
21,2016-12-07,2017-12-06,2017-12-07,2018-01-08,252,21,3.335319799921489,"{""vol_window"": 126, ""fraction"": 0.34, ""long_only"": true}",8
22,2017-01-09,2018-01-08,2018-01-09,2018-02-07,252,21,3.4539419510167733,"{""vol_window"": 126, ""fraction"": 0.34, ""long_only"": true}",8
