fold,train_start,train_end,test_start,test_end,train_days,test_days,in_sample_objective,params,grid_size
0,2015-03-11,2016-03-09,2016-03-10,2016-04-08,252,21,0.5807751399599181,"{""factors"": [""momentum"", ""low_vol""], ""fraction"": 0.34, ""momentum_formation"": 252, ""momentum_skip"": 21, ""vol_window"": 252, ""reversal_lookback"": 5}",3
1,2015-04-10,2016-04-08,2016-04-11,2016-05-09,252,21,0.7193616215706958,"{""factors"": [""momentum"", ""low_vol""], ""fraction"": 0.34, ""momentum_formation"": 252, ""momentum_skip"": 21, ""vol_window"": 252, ""reversal_lookback"": 5}",3
2,2015-05-11,2016-05-09,2016-05-10,2016-06-08,252,21,0.9528376123780391,"{""factors"": [""momentum"", ""low_vol""], ""fraction"": 0.34, ""momentum_formation"": 252, ""momentum_skip"": 21, ""vol_window"": 252, ""reversal_lookback"": 5}",3
3,2015-06-10,2016-06-08,2016-06-09,2016-07-08,252,21,0.4894889128088674,"{""factors"": [""momentum"", ""low_vol""], ""fraction"": 0.34, ""momentum_formation"": 252, ""momentum_skip"": 21, ""vol_window"": 252, ""reversal_lookback"": 5}",3
4,2015-07-10,2016-07-08,2016-07-11,2016-08-08,252,21,0.6622160054302731,"{""factors"": [""momentum"", ""low_vol""], ""fraction"": 0.34, ""momentum_formation"": 252, ""momentum_skip"": 21, ""vol_window"": 252, ""reversal_lookback"": 5}",3
5,2015-08-10,2016-08-08,2016-08-09,2016-09-07,252,21,0.04030707034082608,"{""factors"": [""momentum"", ""low_vol""], ""fraction"": 0.34, ""momentum_formation"": 252, ""momentum_skip"": 21, ""vol_window"": 252, ""reversal_lookback"": 5}",3
6,2015-09-09,2016-09-07,2016-09-08,2016-10-06,252,21,-0.15659906764583867,"{""factors"": [""momentum"", ""low_vol""], ""fraction"": 0.34, ""momentum_formation"": 252, ""momentum_skip"": 21, ""vol_window"": 252, ""reversal_lookback"": 5}",3
7,2015-10-08,2016-10-06,2016-10-07,2016-11-04,252,21,-0.40567467971592747,"{""factors"": [""momentum"", ""low_vol""], ""fraction"": 0.34, ""momentum_formation"": 252, ""momentum_skip"": 21, ""vol_window"": 252, ""reversal_lookback"": 5}",3
8,2015-11-06,2016-11-04,2016-11-07,2016-12-06,252,21,-0.35139050161528973,"{""factors"": [""momentum"", ""low_vol""], ""fraction"": 0.34, ""momentum_formation"": 252, ""momentum_skip"": 21, ""vol_window"": 252, ""reversal_lookback"": 5}",3
9,2015-12-08,2016-12-06,2016-12-07,2017-01-06,252,21,-1.3267715966752394,"{""factors"": [""momentum"", ""low_vol""], ""fraction"": 0.34, ""momentum_formation"": 252, ""momentum_skip"": 21, ""vol_window"": 252, ""reversal_lookback"": 5}",3
10,2016-01-08,2017-01-06,2017-01-09,2017-02-07,252,21,-1.6477128437820026,"{""factors"": [""momentum"", ""low_vol""], ""fraction"": 0.34, ""momentum_formation"": 252, ""momentum_skip"": 21, ""vol_window"": 252, ""reversal_lookback"": 5}",3
11,2016-02-09,2017-02-07,2017-02-08,2017-03-09,252,21,-1.541984618189368,"{""factors"": [""momentum"", ""reversal""], ""fraction"": 0.34, ""momentum_formation"": 252, ""momentum_skip"": 21, ""vol_window"": 252, ""reversal_lookback"": 5}",3
12,2016-03-10,2017-03-09,2017-03-10,2017-04-07,252,21,-1.514483613240658,"{""factors"": [""momentum"", ""low_vol""], ""fraction"": 0.34, ""momentum_formation"": 252, ""momentum_skip"": 21, ""vol_window"": 252, ""reversal_lookback"": 5}",3
13,2016-04-11,2017-04-07,2017-04-10,2017-05-09,252,21,-1.6979894357973102,"{""factors"": [""momentum"", ""low_vol""], ""fraction"": 0.34, ""momentum_formation"": 252, ""momentum_skip"": 21, ""vol_window"": 252, ""reversal_lookback"": 5}",3
14,2016-05-10,2017-05-09,2017-05-10,2017-06-08,252,21,-1.652189345267383,"{""factors"": [""momentum"", ""low_vol""], ""fraction"": 0.34, ""momentum_formation"": 252, ""momentum_skip"": 21, ""vol_window"": 252, ""reversal_lookback"": 5}",3
15,2016-06-09,2017-06-08,2017-06-09,2017-07-10,252,21,-1.1596142053550162,"{""factors"": [""momentum"", ""low_vol""], ""fraction"": 0.34, ""momentum_formation"": 252, ""momentum_skip"": 21, ""vol_window"": 252, ""reversal_lookback"": 5}",3
16,2016-07-11,2017-07-10,2017-07-11,2017-08-08,252,21,-2.0296809395900945,"{""factors"": [""momentum"", ""reversal""], ""fraction"": 0.34, ""momentum_formation"": 252, ""momentum_skip"": 21, ""vol_window"": 252, ""reversal_lookback"": 5}",3
17,2016-08-09,2017-08-08,2017-08-09,2017-09-07,252,21,-1.729331841651593,"{""factors"": [""momentum"", ""reversal""], ""fraction"": 0.34, ""momentum_formation"": 252, ""momentum_skip"": 21, ""vol_window"": 252, ""reversal_lookback"": 5}",3
18,2016-09-08,2017-09-07,2017-09-08,2017-10-06,252,21,-1.550177633966821,"{""factors"": [""momentum"", ""low_vol""], ""fraction"": 0.34, ""momentum_formation"": 252, ""momentum_skip"": 21, ""vol_window"": 252, ""reversal_lookback"": 5}",3
19,2016-10-07,2017-10-06,2017-10-09,2017-11-06,252,21,-1.0801156790650943,"{""factors"": [""momentum"", ""reversal""], ""fraction"": 0.34, ""momentum_formation"": 252, ""momentum_skip"": 21, ""vol_window"": 252, ""reversal_lookback"": 5}",3
20,2016-11-07,2017-11-06,2017-11-07,2017-12-06,252,21,-0.7741457216813925,"{""factors"": [""momentum"", ""low_vol""], ""fraction"": 0.34, ""momentum_formation"": 252, ""momentum_skip"": 21, ""vol_window"": 252, ""reversal_lookback"": 5}",3
21,2016-12-07,2017-12-06,2017-12-07,2018-01-08,252,21,0.0900884485576372,"{""factors"": [""momentum"", ""low_vol""], ""fraction"": 0.34, ""momentum_formation"": 252, ""momentum_skip"": 21, ""vol_window"": 252, ""reversal_lookback"": 5}",3
22,2017-01-09,2018-01-08,2018-01-09,2018-02-07,252,21,-0.38988839988870777,"{""factors"": [""momentum"", ""low_vol""], ""fraction"": 0.34, ""momentum_formation"": 252, ""momentum_skip"": 21, ""vol_window"": 252, ""reversal_lookback"": 5}",3
23,2017-02-08,2018-02-07,2018-02-08,2018-03-09,252,21,-0.5495728179552642,"{""factors"": [""momentum"", ""low_vol""], ""fraction"": 0.34, ""momentum_formation"": 252, ""momentum_skip"": 21, ""vol_window"": 252, ""reversal_lookback"": 5}",3
