fold,train_start,train_end,test_start,test_end,train_days,test_days,in_sample_objective,params,grid_size
0,2015-03-11,2016-03-09,2016-03-10,2016-04-08,252,21,0.28857154903438176,"{""beta_window"": 252, ""formation"": 252, ""skip"": 0, ""fraction"": 0.34}",12
1,2015-04-10,2016-04-08,2016-04-11,2016-05-09,252,21,0.4030976208599995,"{""beta_window"": 252, ""formation"": 252, ""skip"": 0, ""fraction"": 0.34}",12
2,2015-05-11,2016-05-09,2016-05-10,2016-06-08,252,21,0.48780666815719104,"{""beta_window"": 252, ""formation"": 252, ""skip"": 0, ""fraction"": 0.34}",12
3,2015-06-10,2016-06-08,2016-06-09,2016-07-08,252,21,0.13550251295755422,"{""beta_window"": 252, ""formation"": 252, ""skip"": 21, ""fraction"": 0.34}",12
4,2015-07-10,2016-07-08,2016-07-11,2016-08-08,252,21,0.36291669232386875,"{""beta_window"": 252, ""formation"": 252, ""skip"": 21, ""fraction"": 0.34}",12
5,2015-08-10,2016-08-08,2016-08-09,2016-09-07,252,21,-0.1400503125077988,"{""beta_window"": 756, ""formation"": 126, ""skip"": 21, ""fraction"": 0.34}",12
6,2015-09-09,2016-09-07,2016-09-08,2016-10-06,252,21,-0.27004826545346733,"{""beta_window"": 756, ""formation"": 126, ""skip"": 21, ""fraction"": 0.34}",12
7,2015-10-08,2016-10-06,2016-10-07,2016-11-04,252,21,-0.18747239459113943,"{""beta_window"": 756, ""formation"": 126, ""skip"": 21, ""fraction"": 0.34}",12
8,2015-11-06,2016-11-04,2016-11-07,2016-12-06,252,21,-0.38749722785326024,"{""beta_window"": 756, ""formation"": 126, ""skip"": 21, ""fraction"": 0.34}",12
9,2015-12-08,2016-12-06,2016-12-07,2017-01-06,252,21,-0.7314923967677993,"{""beta_window"": 756, ""formation"": 126, ""skip"": 0, ""fraction"": 0.34}",12
10,2016-01-08,2017-01-06,2017-01-09,2017-02-07,252,21,-1.1040414600212163,"{""beta_window"": 756, ""formation"": 126, ""skip"": 21, ""fraction"": 0.34}",12
11,2016-02-09,2017-02-07,2017-02-08,2017-03-09,252,21,-1.130186390802158,"{""beta_window"": 756, ""formation"": 126, ""skip"": 21, ""fraction"": 0.34}",12
12,2016-03-10,2017-03-09,2017-03-10,2017-04-07,252,21,-0.7608343427375351,"{""beta_window"": 756, ""formation"": 126, ""skip"": 21, ""fraction"": 0.34}",12
13,2016-04-11,2017-04-07,2017-04-10,2017-05-09,252,21,-0.9446876507125118,"{""beta_window"": 756, ""formation"": 126, ""skip"": 21, ""fraction"": 0.34}",12
14,2016-05-10,2017-05-09,2017-05-10,2017-06-08,252,21,-0.8314522615813759,"{""beta_window"": 504, ""formation"": 126, ""skip"": 0, ""fraction"": 0.34}",12
15,2016-06-09,2017-06-08,2017-06-09,2017-07-10,252,21,-0.3089614648791119,"{""beta_window"": 252, ""formation"": 126, ""skip"": 0, ""fraction"": 0.34}",12
16,2016-07-11,2017-07-10,2017-07-11,2017-08-08,252,21,-1.2185444349277361,"{""beta_window"": 504, ""formation"": 126, ""skip"": 0, ""fraction"": 0.34}",12
17,2016-08-09,2017-08-08,2017-08-09,2017-09-07,252,21,-0.696418373489505,"{""beta_window"": 504, ""formation"": 126, ""skip"": 0, ""fraction"": 0.34}",12
18,2016-09-08,2017-09-07,2017-09-08,2017-10-06,252,21,-0.1499979183610964,"{""beta_window"": 252, ""formation"": 126, ""skip"": 0, ""fraction"": 0.34}",12
19,2016-10-07,2017-10-06,2017-10-09,2017-11-06,252,21,-0.5826258821416888,"{""beta_window"": 504, ""formation"": 126, ""skip"": 0, ""fraction"": 0.34}",12
20,2016-11-07,2017-11-06,2017-11-07,2017-12-06,252,21,0.1677378945235052,"{""beta_window"": 504, ""formation"": 126, ""skip"": 0, ""fraction"": 0.34}",12
21,2016-12-07,2017-12-06,2017-12-07,2018-01-08,252,21,-0.13125014579045602,"{""beta_window"": 504, ""formation"": 252, ""skip"": 21, ""fraction"": 0.34}",12
