fold,train_start,train_end,test_start,test_end,train_days,test_days,in_sample_objective,params,grid_size,fitted_pair
0,2015-03-11,2016-03-09,2016-03-10,2016-04-08,252,21,-0.6779169874338424,"{""lookback"": 5, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
1,2015-04-10,2016-04-08,2016-04-11,2016-05-09,252,21,-0.47659665634519094,"{""lookback"": 5, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
2,2015-05-11,2016-05-09,2016-05-10,2016-06-08,252,21,-0.48888521505021215,"{""lookback"": 5, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
3,2015-06-10,2016-06-08,2016-06-09,2016-07-08,252,21,-0.49730869310748427,"{""lookback"": 5, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
4,2015-07-10,2016-07-08,2016-07-11,2016-08-08,252,21,-0.37821232933306026,"{""lookback"": 5, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
5,2015-08-10,2016-08-08,2016-08-09,2016-09-07,252,21,-0.38045552444935926,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
6,2015-09-09,2016-09-07,2016-09-08,2016-10-06,252,21,-0.49518808082792115,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
7,2015-10-08,2016-10-06,2016-10-07,2016-11-04,252,21,-0.32355231927134825,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
8,2015-11-06,2016-11-04,2016-11-07,2016-12-06,252,21,-0.10263395399174387,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
9,2015-12-08,2016-12-06,2016-12-07,2017-01-06,252,21,0.554672327908425,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
10,2016-01-08,2017-01-06,2017-01-09,2017-02-07,252,21,0.2606435586390468,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
11,2016-02-09,2017-02-07,2017-02-08,2017-03-09,252,21,0.23256154832970924,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
12,2016-03-10,2017-03-09,2017-03-10,2017-04-07,252,21,-0.3914467522186402,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
13,2016-04-11,2017-04-07,2017-04-10,2017-05-09,252,21,-0.6778496528606871,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
14,2016-05-10,2017-05-09,2017-05-10,2017-06-08,252,21,-0.3170621628645954,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
15,2016-06-09,2017-06-08,2017-06-09,2017-07-10,252,21,-0.6671625857614082,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
16,2016-07-11,2017-07-10,2017-07-11,2017-08-08,252,21,-0.8229691179727616,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
17,2016-08-09,2017-08-08,2017-08-09,2017-09-07,252,21,-0.7808691684354149,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
18,2016-09-08,2017-09-07,2017-09-08,2017-10-06,252,21,-0.6371523055847006,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
19,2016-10-07,2017-10-06,2017-10-09,2017-11-06,252,21,-0.8752801915479173,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
20,2016-11-07,2017-11-06,2017-11-07,2017-12-06,252,21,-0.7588226825281361,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
21,2016-12-07,2017-12-06,2017-12-07,2018-01-08,252,21,-1.1679012188760298,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
22,2017-01-09,2018-01-08,2018-01-09,2018-02-07,252,21,-1.7484045247126139,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
23,2017-02-08,2018-02-07,2018-02-08,2018-03-09,252,21,-1.8806939225472887,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
24,2017-03-10,2018-03-09,2018-03-12,2018-04-10,252,21,-1.632810776617373,"{""lookback"": 21, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
25,2017-04-10,2018-04-10,2018-04-11,2018-05-09,252,21,-1.1778166856527985,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
26,2017-05-10,2018-05-09,2018-05-10,2018-06-08,252,21,-1.251874630552161,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
27,2017-06-09,2018-06-08,2018-06-11,2018-07-10,252,21,-1.2857623582464421,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
28,2017-07-11,2018-07-10,2018-07-11,2018-08-08,252,21,-1.3945113949844015,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
29,2017-08-09,2018-08-08,2018-08-09,2018-09-07,252,21,-1.1459100362256176,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
30,2017-09-08,2018-09-07,2018-09-10,2018-10-08,252,21,-1.2108119163634128,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
31,2017-10-09,2018-10-08,2018-10-09,2018-11-06,252,21,-1.2369716450388568,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
32,2017-11-07,2018-11-06,2018-11-07,2018-12-07,252,21,-1.1730277610763844,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
33,2017-12-07,2018-12-07,2018-12-10,2019-01-09,252,21,-0.554227342895104,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
34,2018-01-09,2019-01-09,2019-01-10,2019-02-08,252,21,-0.5669494032189852,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
35,2018-02-08,2019-02-08,2019-02-11,2019-03-12,252,21,-0.8416240424368528,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
36,2018-03-12,2019-03-12,2019-03-13,2019-04-10,252,21,-1.1736818716254083,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
