fold,train_start,train_end,test_start,test_end,train_days,test_days,in_sample_objective,params,grid_size
0,2015-03-11,2016-03-09,2016-03-10,2016-04-08,252,21,-0.26010090485472215,"{""lookback"": 5, ""use_log"": true, ""vol_scaling"": ""none"", ""vol_window"": 63}",24
1,2015-04-10,2016-04-08,2016-04-11,2016-05-09,252,21,0.03292210919776021,"{""lookback"": 5, ""use_log"": true, ""vol_scaling"": ""none"", ""vol_window"": 63}",24
2,2015-05-11,2016-05-09,2016-05-10,2016-06-08,252,21,-0.2339075783914387,"{""lookback"": 5, ""use_log"": true, ""vol_scaling"": ""none"", ""vol_window"": 63}",24
3,2015-06-10,2016-06-08,2016-06-09,2016-07-08,252,21,-0.1840466018547786,"{""lookback"": 21, ""use_log"": true, ""vol_scaling"": ""none"", ""vol_window"": 63}",24
4,2015-07-10,2016-07-08,2016-07-11,2016-08-08,252,21,0.10138246927108668,"{""lookback"": 21, ""use_log"": true, ""vol_scaling"": ""none"", ""vol_window"": 63}",24
5,2015-08-10,2016-08-08,2016-08-09,2016-09-07,252,21,0.5393335740950713,"{""lookback"": 21, ""use_log"": true, ""vol_scaling"": ""none"", ""vol_window"": 63}",24
6,2015-09-09,2016-09-07,2016-09-08,2016-10-06,252,21,0.4001196312920517,"{""lookback"": 21, ""use_log"": true, ""vol_scaling"": ""none"", ""vol_window"": 63}",24
7,2015-10-08,2016-10-06,2016-10-07,2016-11-04,252,21,0.21456211474845432,"{""lookback"": 21, ""use_log"": true, ""vol_scaling"": ""none"", ""vol_window"": 63}",24
8,2015-11-06,2016-11-04,2016-11-07,2016-12-06,252,21,0.3249657784724741,"{""lookback"": 21, ""use_log"": true, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63}",24
9,2015-12-08,2016-12-06,2016-12-07,2017-01-06,252,21,0.4321618721815098,"{""lookback"": 21, ""use_log"": true, ""vol_scaling"": ""none"", ""vol_window"": 63}",24
10,2016-01-08,2017-01-06,2017-01-09,2017-02-07,252,21,1.029793825509866,"{""lookback"": 21, ""use_log"": true, ""vol_scaling"": ""none"", ""vol_window"": 63}",24
11,2016-02-09,2017-02-07,2017-02-08,2017-03-09,252,21,1.9696478244077675,"{""lookback"": 21, ""use_log"": true, ""vol_scaling"": ""none"", ""vol_window"": 63}",24
12,2016-03-10,2017-03-09,2017-03-10,2017-04-07,252,21,1.4462013717464424,"{""lookback"": 21, ""use_log"": true, ""vol_scaling"": ""none"", ""vol_window"": 63}",24
13,2016-04-11,2017-04-07,2017-04-10,2017-05-09,252,21,1.4043475079788088,"{""lookback"": 21, ""use_log"": true, ""vol_scaling"": ""none"", ""vol_window"": 63}",24
14,2016-05-10,2017-05-09,2017-05-10,2017-06-08,252,21,0.7724550311371489,"{""lookback"": 21, ""use_log"": true, ""vol_scaling"": ""none"", ""vol_window"": 63}",24
15,2016-06-09,2017-06-08,2017-06-09,2017-07-10,252,21,0.29745925630669023,"{""lookback"": 21, ""use_log"": true, ""vol_scaling"": ""none"", ""vol_window"": 63}",24
16,2016-07-11,2017-07-10,2017-07-11,2017-08-08,252,21,0.43633005005680076,"{""lookback"": 10, ""use_log"": true, ""vol_scaling"": ""none"", ""vol_window"": 63}",24
17,2016-08-09,2017-08-08,2017-08-09,2017-09-07,252,21,0.4041624244915477,"{""lookback"": 10, ""use_log"": true, ""vol_scaling"": ""none"", ""vol_window"": 63}",24
