fold,train_start,train_end,test_start,test_end,train_days,test_days,in_sample_objective,params,grid_size
0,2015-03-11,2016-03-09,2016-03-10,2016-04-08,252,21,-0.4292785065365816,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 200, ""ma_kind"": ""sma""}",8
1,2015-04-10,2016-04-08,2016-04-11,2016-05-09,252,21,-0.37958384810455176,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 200, ""ma_kind"": ""sma""}",8
2,2015-05-11,2016-05-09,2016-05-10,2016-06-08,252,21,-0.3467726122034837,"{""formation"": 252, ""fraction"": 0.34, ""ma_length"": 200, ""ma_kind"": ""sma""}",8
3,2015-06-10,2016-06-08,2016-06-09,2016-07-08,252,21,-0.5646437423406147,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 200, ""ma_kind"": ""ema""}",8
4,2015-07-10,2016-07-08,2016-07-11,2016-08-08,252,21,-0.42566132447371663,"{""formation"": 252, ""fraction"": 0.34, ""ma_length"": 200, ""ma_kind"": ""sma""}",8
5,2015-08-10,2016-08-08,2016-08-09,2016-09-07,252,21,-0.7080875984925015,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 200, ""ma_kind"": ""ema""}",8
6,2015-09-09,2016-09-07,2016-09-08,2016-10-06,252,21,-0.48373167288712027,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 200, ""ma_kind"": ""sma""}",8
7,2015-10-08,2016-10-06,2016-10-07,2016-11-04,252,21,-0.3598443352485439,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 200, ""ma_kind"": ""sma""}",8
8,2015-11-06,2016-11-04,2016-11-07,2016-12-06,252,21,-0.5582445281471795,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 200, ""ma_kind"": ""sma""}",8
9,2015-12-08,2016-12-06,2016-12-07,2017-01-06,252,21,-0.5120204073275492,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 200, ""ma_kind"": ""sma""}",8
10,2016-01-08,2017-01-06,2017-01-09,2017-02-07,252,21,-0.9749624734394684,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 200, ""ma_kind"": ""sma""}",8
11,2016-02-09,2017-02-07,2017-02-08,2017-03-09,252,21,-1.340741693322133,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 200, ""ma_kind"": ""sma""}",8
12,2016-03-10,2017-03-09,2017-03-10,2017-04-07,252,21,-0.4597320485663459,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 200, ""ma_kind"": ""sma""}",8
13,2016-04-11,2017-04-07,2017-04-10,2017-05-09,252,21,-0.5073726602035227,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 200, ""ma_kind"": ""sma""}",8
14,2016-05-10,2017-05-09,2017-05-10,2017-06-08,252,21,-0.030743636901372225,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 200, ""ma_kind"": ""sma""}",8
15,2016-06-09,2017-06-08,2017-06-09,2017-07-10,252,21,0.43419423481613795,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 200, ""ma_kind"": ""sma""}",8
16,2016-07-11,2017-07-10,2017-07-11,2017-08-08,252,21,0.13510663298718234,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 200, ""ma_kind"": ""sma""}",8
17,2016-08-09,2017-08-08,2017-08-09,2017-09-07,252,21,0.2767100763412802,"{""formation"": 252, ""fraction"": 0.34, ""ma_length"": 200, ""ma_kind"": ""sma""}",8
18,2016-09-08,2017-09-07,2017-09-08,2017-10-06,252,21,0.3871892943653439,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 200, ""ma_kind"": ""sma""}",8
19,2016-10-07,2017-10-06,2017-10-09,2017-11-06,252,21,0.7824413615131804,"{""formation"": 252, ""fraction"": 0.34, ""ma_length"": 200, ""ma_kind"": ""sma""}",8
20,2016-11-07,2017-11-06,2017-11-07,2017-12-06,252,21,1.4088195954699205,"{""formation"": 252, ""fraction"": 0.34, ""ma_length"": 200, ""ma_kind"": ""sma""}",8
21,2016-12-07,2017-12-06,2017-12-07,2018-01-08,252,21,0.787253391706562,"{""formation"": 252, ""fraction"": 0.34, ""ma_length"": 200, ""ma_kind"": ""sma""}",8
22,2017-01-09,2018-01-08,2018-01-09,2018-02-07,252,21,1.5705322921564673,"{""formation"": 252, ""fraction"": 0.34, ""ma_length"": 200, ""ma_kind"": ""sma""}",8
23,2017-02-08,2018-02-07,2018-02-08,2018-03-09,252,21,1.4046880442484173,"{""formation"": 252, ""fraction"": 0.34, ""ma_length"": 200, ""ma_kind"": ""sma""}",8
24,2017-03-10,2018-03-09,2018-03-12,2018-04-10,252,21,1.5664271871183157,"{""formation"": 252, ""fraction"": 0.34, ""ma_length"": 200, ""ma_kind"": ""sma""}",8
25,2017-04-10,2018-04-10,2018-04-11,2018-05-09,252,21,1.2943992229272119,"{""formation"": 252, ""fraction"": 0.34, ""ma_length"": 200, ""ma_kind"": ""sma""}",8
26,2017-05-10,2018-05-09,2018-05-10,2018-06-08,252,21,1.1321423031748654,"{""formation"": 252, ""fraction"": 0.34, ""ma_length"": 200, ""ma_kind"": ""sma""}",8
27,2017-06-09,2018-06-08,2018-06-11,2018-07-10,252,21,1.0822769111784922,"{""formation"": 252, ""fraction"": 0.34, ""ma_length"": 200, ""ma_kind"": ""sma""}",8
28,2017-07-11,2018-07-10,2018-07-11,2018-08-08,252,21,0.5366024518705306,"{""formation"": 252, ""fraction"": 0.34, ""ma_length"": 200, ""ma_kind"": ""sma""}",8
