fold,train_start,train_end,test_start,test_end,train_days,test_days,in_sample_objective,params,grid_size
0,2015-03-11,2016-03-09,2016-03-10,2016-04-08,252,21,-0.49179268994994985,"{""formation"": 252, ""fraction"": 0.34, ""ma_length"": 100}",4
1,2015-04-10,2016-04-08,2016-04-11,2016-05-09,252,21,-0.44799515992009414,"{""formation"": 252, ""fraction"": 0.34, ""ma_length"": 100}",4
2,2015-05-11,2016-05-09,2016-05-10,2016-06-08,252,21,-0.2602398973939037,"{""formation"": 252, ""fraction"": 0.34, ""ma_length"": 100}",4
3,2015-06-10,2016-06-08,2016-06-09,2016-07-08,252,21,-0.12436270201999401,"{""formation"": 252, ""fraction"": 0.34, ""ma_length"": 100}",4
4,2015-07-10,2016-07-08,2016-07-11,2016-08-08,252,21,0.5326246581496129,"{""formation"": 252, ""fraction"": 0.34, ""ma_length"": 100}",4
5,2015-08-10,2016-08-08,2016-08-09,2016-09-07,252,21,0.2215781743328869,"{""formation"": 252, ""fraction"": 0.34, ""ma_length"": 100}",4
6,2015-09-09,2016-09-07,2016-09-08,2016-10-06,252,21,0.638636801833912,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 100}",4
7,2015-10-08,2016-10-06,2016-10-07,2016-11-04,252,21,0.5320012042352689,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 100}",4
8,2015-11-06,2016-11-04,2016-11-07,2016-12-06,252,21,0.3080929378021204,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 100}",4
9,2015-12-08,2016-12-06,2016-12-07,2017-01-06,252,21,1.0855258315570009,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 200}",4
10,2016-01-08,2017-01-06,2017-01-09,2017-02-07,252,21,1.778643236207841,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 200}",4
11,2016-02-09,2017-02-07,2017-02-08,2017-03-09,252,21,1.9531367053421433,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 200}",4
12,2016-03-10,2017-03-09,2017-03-10,2017-04-07,252,21,2.0938670271806474,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 200}",4
13,2016-04-11,2017-04-07,2017-04-10,2017-05-09,252,21,1.8746149392735922,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 200}",4
14,2016-05-10,2017-05-09,2017-05-10,2017-06-08,252,21,1.9351060778140312,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 200}",4
15,2016-06-09,2017-06-08,2017-06-09,2017-07-10,252,21,2.0043371963751793,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 200}",4
16,2016-07-11,2017-07-10,2017-07-11,2017-08-08,252,21,1.775770397388499,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 200}",4
17,2016-08-09,2017-08-08,2017-08-09,2017-09-07,252,21,1.7541328571666472,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 200}",4
18,2016-09-08,2017-09-07,2017-09-08,2017-10-06,252,21,1.7253836152313868,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 200}",4
19,2016-10-07,2017-10-06,2017-10-09,2017-11-06,252,21,2.294865424755221,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 200}",4
20,2016-11-07,2017-11-06,2017-11-07,2017-12-06,252,21,2.9691623094369106,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 200}",4
21,2016-12-07,2017-12-06,2017-12-07,2018-01-08,252,21,2.1346375680939085,"{""formation"": 126, ""fraction"": 0.34, ""ma_length"": 200}",4
