fold,train_start,train_end,test_start,test_end,train_days,test_days,in_sample_objective,params,grid_size
0,2015-03-11,2016-03-09,2016-03-10,2016-04-08,252,21,0.20912339125889157,"{""formation"": 126, ""fraction"": 0.34}",6
1,2015-04-10,2016-04-08,2016-04-11,2016-05-09,252,21,0.24970655333904015,"{""formation"": 126, ""fraction"": 0.34}",6
2,2015-05-11,2016-05-09,2016-05-10,2016-06-08,252,21,0.32308696587986235,"{""formation"": 252, ""fraction"": 0.34}",6
3,2015-06-10,2016-06-08,2016-06-09,2016-07-08,252,21,0.4423535478323662,"{""formation"": 126, ""fraction"": 0.34}",6
4,2015-07-10,2016-07-08,2016-07-11,2016-08-08,252,21,0.6382281816279484,"{""formation"": 252, ""fraction"": 0.34}",6
5,2015-08-10,2016-08-08,2016-08-09,2016-09-07,252,21,0.6294170153998047,"{""formation"": 126, ""fraction"": 0.34}",6
6,2015-09-09,2016-09-07,2016-09-08,2016-10-06,252,21,1.4280763762891595,"{""formation"": 126, ""fraction"": 0.34}",6
7,2015-10-08,2016-10-06,2016-10-07,2016-11-04,252,21,1.1911667746755084,"{""formation"": 126, ""fraction"": 0.34}",6
8,2015-11-06,2016-11-04,2016-11-07,2016-12-06,252,21,0.6169979973337977,"{""formation"": 126, ""fraction"": 0.34}",6
9,2015-12-08,2016-12-06,2016-12-07,2017-01-06,252,21,1.394675912608026,"{""formation"": 126, ""fraction"": 0.34}",6
10,2016-01-08,2017-01-06,2017-01-09,2017-02-07,252,21,2.018670897864352,"{""formation"": 126, ""fraction"": 0.34}",6
11,2016-02-09,2017-02-07,2017-02-08,2017-03-09,252,21,2.5285674948975947,"{""formation"": 126, ""fraction"": 0.34}",6
12,2016-03-10,2017-03-09,2017-03-10,2017-04-07,252,21,2.193980803242053,"{""formation"": 126, ""fraction"": 0.34}",6
13,2016-04-11,2017-04-07,2017-04-10,2017-05-09,252,21,1.8746149392735922,"{""formation"": 126, ""fraction"": 0.34}",6
14,2016-05-10,2017-05-09,2017-05-10,2017-06-08,252,21,1.9351060778140312,"{""formation"": 126, ""fraction"": 0.34}",6
15,2016-06-09,2017-06-08,2017-06-09,2017-07-10,252,21,2.0043371963751793,"{""formation"": 126, ""fraction"": 0.34}",6
16,2016-07-11,2017-07-10,2017-07-11,2017-08-08,252,21,1.775770397388499,"{""formation"": 126, ""fraction"": 0.34}",6
17,2016-08-09,2017-08-08,2017-08-09,2017-09-07,252,21,1.7541328571666472,"{""formation"": 126, ""fraction"": 0.34}",6
18,2016-09-08,2017-09-07,2017-09-08,2017-10-06,252,21,1.7253836152313868,"{""formation"": 126, ""fraction"": 0.34}",6
19,2016-10-07,2017-10-06,2017-10-09,2017-11-06,252,21,2.294865424755221,"{""formation"": 126, ""fraction"": 0.34}",6
20,2016-11-07,2017-11-06,2017-11-07,2017-12-06,252,21,2.9691623094369106,"{""formation"": 126, ""fraction"": 0.34}",6
21,2016-12-07,2017-12-06,2017-12-07,2018-01-08,252,21,2.1346375680939085,"{""formation"": 126, ""fraction"": 0.34}",6
22,2017-01-09,2018-01-08,2018-01-09,2018-02-07,252,21,2.817745394646126,"{""formation"": 126, ""fraction"": 0.34}",6
23,2017-02-08,2018-02-07,2018-02-08,2018-03-09,252,21,1.9982425310410887,"{""formation"": 126, ""fraction"": 0.34}",6
24,2017-03-10,2018-03-09,2018-03-12,2018-04-10,252,21,2.0400362755991455,"{""formation"": 126, ""fraction"": 0.34}",6
25,2017-04-10,2018-04-10,2018-04-11,2018-05-09,252,21,1.6011338670482083,"{""formation"": 189, ""fraction"": 0.17}",6
26,2017-05-10,2018-05-09,2018-05-10,2018-06-08,252,21,1.6328984999456106,"{""formation"": 189, ""fraction"": 0.17}",6
27,2017-06-09,2018-06-08,2018-06-11,2018-07-10,252,21,1.8923636642713129,"{""formation"": 189, ""fraction"": 0.17}",6
28,2017-07-11,2018-07-10,2018-07-11,2018-08-08,252,21,1.81897443764096,"{""formation"": 126, ""fraction"": 0.17}",6
29,2017-08-09,2018-08-08,2018-08-09,2018-09-07,252,21,1.8300255523086464,"{""formation"": 126, ""fraction"": 0.17}",6
30,2017-09-08,2018-09-07,2018-09-10,2018-10-08,252,21,2.033535217689885,"{""formation"": 189, ""fraction"": 0.17}",6
31,2017-10-09,2018-10-08,2018-10-09,2018-11-06,252,21,1.5753169637538103,"{""formation"": 189, ""fraction"": 0.17}",6
32,2017-11-07,2018-11-06,2018-11-07,2018-12-07,252,21,0.9038159093573009,"{""formation"": 189, ""fraction"": 0.17}",6
33,2017-12-07,2018-12-07,2018-12-10,2019-01-09,252,21,0.5644751044132008,"{""formation"": 189, ""fraction"": 0.17}",6
34,2018-01-09,2019-01-09,2019-01-10,2019-02-08,252,21,0.05860146765767976,"{""formation"": 189, ""fraction"": 0.17}",6
35,2018-02-08,2019-02-08,2019-02-11,2019-03-12,252,21,0.7350582834531636,"{""formation"": 189, ""fraction"": 0.34}",6
36,2018-03-12,2019-03-12,2019-03-13,2019-04-10,252,21,0.34494990391310754,"{""formation"": 189, ""fraction"": 0.34}",6
37,2018-04-11,2019-04-10,2019-04-11,2019-05-10,252,21,0.8924425944991465,"{""formation"": 189, ""fraction"": 0.34}",6
38,2018-05-10,2019-05-10,2019-05-13,2019-06-11,252,21,0.5922290905176256,"{""formation"": 189, ""fraction"": 0.34}",6
39,2018-06-11,2019-06-11,2019-06-12,2019-07-11,252,21,0.5356090707289541,"{""formation"": 189, ""fraction"": 0.34}",6
40,2018-07-11,2019-07-11,2019-07-12,2019-08-09,252,21,0.8818657789880312,"{""formation"": 189, ""fraction"": 0.34}",6
41,2018-08-09,2019-08-09,2019-08-12,2019-09-10,252,21,0.6768612028780392,"{""formation"": 189, ""fraction"": 0.34}",6
42,2018-09-10,2019-09-10,2019-09-11,2019-10-09,252,21,0.4509046910019649,"{""formation"": 189, ""fraction"": 0.34}",6
43,2018-10-09,2019-10-09,2019-10-10,2019-11-07,252,21,0.4836182761095486,"{""formation"": 189, ""fraction"": 0.34}",6
44,2018-11-07,2019-11-07,2019-11-08,2019-12-09,252,21,0.7379841804508314,"{""formation"": 189, ""fraction"": 0.34}",6
45,2018-12-10,2019-12-09,2019-12-10,2020-01-09,252,21,1.3835501639531234,"{""formation"": 252, ""fraction"": 0.34}",6
46,2019-01-10,2020-01-09,2020-01-10,2020-02-10,252,21,2.33120207544053,"{""formation"": 252, ""fraction"": 0.34}",6
47,2019-02-11,2020-02-10,2020-02-11,2020-03-11,252,21,2.1141050816480664,"{""formation"": 252, ""fraction"": 0.34}",6
48,2019-03-13,2020-03-11,2020-03-12,2020-04-09,252,21,0.2715281002208004,"{""formation"": 252, ""fraction"": 0.34}",6
49,2019-04-11,2020-04-09,2020-04-13,2020-05-11,252,21,0.04202590689524362,"{""formation"": 252, ""fraction"": 0.34}",6
50,2019-05-13,2020-05-11,2020-05-12,2020-06-10,252,21,0.28407271828796277,"{""formation"": 252, ""fraction"": 0.34}",6
51,2019-06-12,2020-06-10,2020-06-11,2020-07-10,252,21,0.3215743604300479,"{""formation"": 252, ""fraction"": 0.34}",6
52,2019-07-12,2020-07-10,2020-07-13,2020-08-10,252,21,0.2886061507404787,"{""formation"": 252, ""fraction"": 0.17}",6
53,2019-08-12,2020-08-10,2020-08-11,2020-09-09,252,21,0.4881501157355552,"{""formation"": 252, ""fraction"": 0.34}",6
54,2019-09-11,2020-09-09,2020-09-10,2020-10-08,252,21,0.4577042148446799,"{""formation"": 252, ""fraction"": 0.34}",6
55,2019-10-10,2020-10-08,2020-10-09,2020-11-06,252,21,0.5840099504017883,"{""formation"": 252, ""fraction"": 0.34}",6
56,2019-11-08,2020-11-06,2020-11-09,2020-12-08,252,21,0.6543462702081481,"{""formation"": 252, ""fraction"": 0.34}",6
57,2019-12-10,2020-12-08,2020-12-09,2021-01-08,252,21,0.6723303214037296,"{""formation"": 252, ""fraction"": 0.34}",6
58,2020-01-10,2021-01-08,2021-01-11,2021-02-09,252,21,0.700353911152859,"{""formation"": 252, ""fraction"": 0.34}",6
59,2020-02-11,2021-02-09,2021-02-10,2021-03-11,252,21,0.6832906413791794,"{""formation"": 126, ""fraction"": 0.17}",6
60,2020-03-12,2021-03-11,2021-03-12,2021-04-12,252,21,2.024692624782491,"{""formation"": 126, ""fraction"": 0.17}",6
61,2020-04-13,2021-04-12,2021-04-13,2021-05-11,252,21,2.4677120654117304,"{""formation"": 126, ""fraction"": 0.34}",6
62,2020-05-12,2021-05-11,2021-05-12,2021-06-10,252,21,2.444959886929611,"{""formation"": 126, ""fraction"": 0.34}",6
63,2020-06-11,2021-06-10,2021-06-11,2021-07-12,252,21,2.5100082932826653,"{""formation"": 126, ""fraction"": 0.34}",6
64,2020-07-13,2021-07-12,2021-07-13,2021-08-10,252,21,2.1892862301492415,"{""formation"": 126, ""fraction"": 0.34}",6
65,2020-08-11,2021-08-10,2021-08-11,2021-09-09,252,21,1.9147746681531408,"{""formation"": 126, ""fraction"": 0.34}",6
66,2020-09-10,2021-09-09,2021-09-10,2021-10-08,252,21,2.135535987020552,"{""formation"": 126, ""fraction"": 0.34}",6
67,2020-10-09,2021-10-08,2021-10-11,2021-11-08,252,21,1.6815815845507454,"{""formation"": 126, ""fraction"": 0.34}",6
68,2020-11-09,2021-11-08,2021-11-09,2021-12-08,252,21,2.01515210104172,"{""formation"": 126, ""fraction"": 0.34}",6
69,2020-12-09,2021-12-08,2021-12-09,2022-01-07,252,21,1.7078778804974495,"{""formation"": 126, ""fraction"": 0.34}",6
70,2021-01-11,2022-01-07,2022-01-10,2022-02-08,252,21,1.226194625767702,"{""formation"": 126, ""fraction"": 0.34}",6
71,2021-02-10,2022-02-08,2022-02-09,2022-03-10,252,21,0.9467361361671451,"{""formation"": 126, ""fraction"": 0.34}",6
72,2021-03-12,2022-03-10,2022-03-11,2022-04-08,252,21,0.5976239453816874,"{""formation"": 252, ""fraction"": 0.17}",6
73,2021-04-13,2022-04-08,2022-04-11,2022-05-10,252,21,0.9688020720006757,"{""formation"": 252, ""fraction"": 0.17}",6
74,2021-05-12,2022-05-10,2022-05-11,2022-06-09,252,21,0.42029215065145364,"{""formation"": 252, ""fraction"": 0.17}",6
75,2021-06-11,2022-06-09,2022-06-10,2022-07-12,252,21,0.3282145603894967,"{""formation"": 252, ""fraction"": 0.17}",6
76,2021-07-13,2022-07-12,2022-07-13,2022-08-10,252,21,-0.09970061842487915,"{""formation"": 252, ""fraction"": 0.17}",6
77,2021-08-11,2022-08-10,2022-08-11,2022-09-09,252,21,0.07810435169189914,"{""formation"": 252, ""fraction"": 0.34}",6
78,2021-09-10,2022-09-09,2022-09-12,2022-10-10,252,21,0.24361460056708484,"{""formation"": 252, ""fraction"": 0.17}",6
79,2021-10-11,2022-10-10,2022-10-11,2022-11-08,252,21,-0.0825987202946584,"{""formation"": 252, ""fraction"": 0.17}",6
80,2021-11-09,2022-11-08,2022-11-09,2022-12-08,252,21,0.008280400633256699,"{""formation"": 252, ""fraction"": 0.17}",6
81,2021-12-09,2022-12-08,2022-12-09,2023-01-10,252,21,0.22458196365571037,"{""formation"": 126, ""fraction"": 0.17}",6
82,2022-01-10,2023-01-10,2023-01-11,2023-02-09,252,21,0.2604653014125242,"{""formation"": 126, ""fraction"": 0.17}",6
83,2022-02-09,2023-02-09,2023-02-10,2023-03-13,252,21,0.3404762320358405,"{""formation"": 126, ""fraction"": 0.17}",6
84,2022-03-11,2023-03-13,2023-03-14,2023-04-12,252,21,0.21145384252007585,"{""formation"": 126, ""fraction"": 0.17}",6
85,2022-04-11,2023-04-12,2023-04-13,2023-05-11,252,21,0.0412885238692029,"{""formation"": 126, ""fraction"": 0.17}",6
86,2022-05-11,2023-05-11,2023-05-12,2023-06-12,252,21,0.41792094851993594,"{""formation"": 252, ""fraction"": 0.17}",6
87,2022-06-10,2023-06-12,2023-06-13,2023-07-13,252,21,0.6602872999498375,"{""formation"": 126, ""fraction"": 0.17}",6
88,2022-07-13,2023-07-13,2023-07-14,2023-08-11,252,21,1.5001804650557302,"{""formation"": 126, ""fraction"": 0.17}",6
89,2022-08-11,2023-08-11,2023-08-14,2023-09-12,252,21,0.9904469907330377,"{""formation"": 126, ""fraction"": 0.17}",6
90,2022-09-12,2023-09-12,2023-09-13,2023-10-11,252,21,0.8211509714500348,"{""formation"": 126, ""fraction"": 0.17}",6
91,2022-10-11,2023-10-11,2023-10-12,2023-11-09,252,21,1.1753965462676292,"{""formation"": 126, ""fraction"": 0.34}",6
92,2022-11-09,2023-11-09,2023-11-10,2023-12-11,252,21,0.503314993595634,"{""formation"": 126, ""fraction"": 0.34}",6
93,2022-12-09,2023-12-11,2023-12-12,2024-01-11,252,21,0.9514414695604566,"{""formation"": 189, ""fraction"": 0.17}",6
94,2023-01-11,2024-01-11,2024-01-12,2024-02-12,252,21,1.1154480536789524,"{""formation"": 252, ""fraction"": 0.17}",6
95,2023-02-10,2024-02-12,2024-02-13,2024-03-13,252,21,1.6004509937724154,"{""formation"": 252, ""fraction"": 0.17}",6
96,2023-03-14,2024-03-13,2024-03-14,2024-04-12,252,21,2.2147826681738767,"{""formation"": 252, ""fraction"": 0.34}",6
97,2023-04-13,2024-04-12,2024-04-15,2024-05-13,252,21,1.929799723764718,"{""formation"": 252, ""fraction"": 0.17}",6
98,2023-05-12,2024-05-13,2024-05-14,2024-06-12,252,21,1.9541980275040578,"{""formation"": 252, ""fraction"": 0.34}",6
99,2023-06-13,2024-06-12,2024-06-13,2024-07-15,252,21,1.84167085714264,"{""formation"": 252, ""fraction"": 0.17}",6
100,2023-07-14,2024-07-15,2024-07-16,2024-08-13,252,21,1.6948576920962912,"{""formation"": 252, ""fraction"": 0.34}",6
101,2023-08-14,2024-08-13,2024-08-14,2024-09-12,252,21,1.3917715717768677,"{""formation"": 252, ""fraction"": 0.34}",6
102,2023-09-13,2024-09-12,2024-09-13,2024-10-11,252,21,1.8017248226166371,"{""formation"": 252, ""fraction"": 0.34}",6
103,2023-10-12,2024-10-11,2024-10-14,2024-11-11,252,21,2.388448245534096,"{""formation"": 252, ""fraction"": 0.34}",6
104,2023-11-10,2024-11-11,2024-11-12,2024-12-11,252,21,2.7232774839854534,"{""formation"": 252, ""fraction"": 0.34}",6
105,2023-12-12,2024-12-11,2024-12-12,2025-01-14,252,21,2.166840399808802,"{""formation"": 252, ""fraction"": 0.34}",6
106,2024-01-12,2025-01-14,2025-01-15,2025-02-13,252,21,1.7302203154614966,"{""formation"": 252, ""fraction"": 0.34}",6
107,2024-02-13,2025-02-13,2025-02-14,2025-03-17,252,21,1.6458358558083157,"{""formation"": 252, ""fraction"": 0.34}",6
108,2024-03-14,2025-03-17,2025-03-18,2025-04-15,252,21,0.6576047364357276,"{""formation"": 252, ""fraction"": 0.34}",6
109,2024-04-15,2025-04-15,2025-04-16,2025-05-15,252,21,0.4775491445877225,"{""formation"": 252, ""fraction"": 0.34}",6
110,2024-05-14,2025-05-15,2025-05-16,2025-06-16,252,21,0.6595380025700108,"{""formation"": 252, ""fraction"": 0.34}",6
111,2024-06-13,2025-06-16,2025-06-17,2025-07-17,252,21,0.6053798058535401,"{""formation"": 252, ""fraction"": 0.34}",6
112,2024-07-16,2025-07-17,2025-07-18,2025-08-15,252,21,0.5912468315761865,"{""formation"": 252, ""fraction"": 0.34}",6
113,2024-08-14,2025-08-15,2025-08-18,2025-09-16,252,21,0.9012033601253974,"{""formation"": 189, ""fraction"": 0.34}",6
114,2024-09-13,2025-09-16,2025-09-17,2025-10-15,252,21,0.9793638134777192,"{""formation"": 189, ""fraction"": 0.17}",6
115,2024-10-14,2025-10-15,2025-10-16,2025-11-14,252,21,0.8273637241850218,"{""formation"": 189, ""fraction"": 0.17}",6
116,2024-11-12,2025-11-14,2025-11-17,2025-12-16,252,21,0.6938339655121523,"{""formation"": 189, ""fraction"": 0.17}",6
117,2024-12-12,2025-12-16,2025-12-17,2026-01-16,252,21,0.9915913308877217,"{""formation"": 189, ""fraction"": 0.17}",6
118,2025-01-15,2026-01-16,2026-01-20,2026-02-18,252,21,1.4752845691074805,"{""formation"": 189, ""fraction"": 0.17}",6
119,2025-02-14,2026-02-18,2026-02-19,2026-03-19,252,21,1.5048177468056478,"{""formation"": 189, ""fraction"": 0.17}",6
120,2025-03-18,2026-03-19,2026-03-20,2026-04-20,252,21,1.880184640259681,"{""formation"": 189, ""fraction"": 0.17}",6
121,2025-04-16,2026-04-20,2026-04-21,2026-05-19,252,21,2.8383564581253773,"{""formation"": 189, ""fraction"": 0.17}",6
