fold,train_start,train_end,test_start,test_end,train_days,test_days,in_sample_objective,params,grid_size
0,2015-03-11,2016-03-09,2016-03-10,2016-04-08,252,21,0.7519257793432121,"{""window"": 252, ""fraction"": 0.34, ""blend"": ""alpha_over_r2""}",4
1,2015-04-10,2016-04-08,2016-04-11,2016-05-09,252,21,0.7498700844918211,"{""window"": 252, ""fraction"": 0.34, ""blend"": ""alpha_over_r2""}",4
2,2015-05-11,2016-05-09,2016-05-10,2016-06-08,252,21,0.7860118915866329,"{""window"": 252, ""fraction"": 0.34, ""blend"": ""alpha_over_r2""}",4
3,2015-06-10,2016-06-08,2016-06-09,2016-07-08,252,21,0.46687028875223635,"{""window"": 252, ""fraction"": 0.34, ""blend"": ""alpha_over_r2""}",4
4,2015-07-10,2016-07-08,2016-07-11,2016-08-08,252,21,0.49947446291254755,"{""window"": 252, ""fraction"": 0.34, ""blend"": ""alpha_over_r2""}",4
5,2015-08-10,2016-08-08,2016-08-09,2016-09-07,252,21,-0.09952447775622372,"{""window"": 252, ""fraction"": 0.34, ""blend"": ""alpha_over_r2""}",4
6,2015-09-09,2016-09-07,2016-09-08,2016-10-06,252,21,-0.5862982197392393,"{""window"": 252, ""fraction"": 0.34, ""blend"": ""alpha_over_r2""}",4
7,2015-10-08,2016-10-06,2016-10-07,2016-11-04,252,21,-0.4632404615257289,"{""window"": 126, ""fraction"": 0.34, ""blend"": ""alpha_only""}",4
8,2015-11-06,2016-11-04,2016-11-07,2016-12-06,252,21,-0.6152882246216965,"{""window"": 126, ""fraction"": 0.34, ""blend"": ""alpha_only""}",4
9,2015-12-08,2016-12-06,2016-12-07,2017-01-06,252,21,-0.8307862494707117,"{""window"": 126, ""fraction"": 0.34, ""blend"": ""alpha_only""}",4
10,2016-01-08,2017-01-06,2017-01-09,2017-02-07,252,21,-1.3124317693603236,"{""window"": 126, ""fraction"": 0.34, ""blend"": ""alpha_only""}",4
11,2016-02-09,2017-02-07,2017-02-08,2017-03-09,252,21,-1.722292179077898,"{""window"": 126, ""fraction"": 0.34, ""blend"": ""alpha_only""}",4
12,2016-03-10,2017-03-09,2017-03-10,2017-04-07,252,21,-1.1951889252391916,"{""window"": 126, ""fraction"": 0.34, ""blend"": ""alpha_only""}",4
13,2016-04-11,2017-04-07,2017-04-10,2017-05-09,252,21,-1.3477262300526092,"{""window"": 126, ""fraction"": 0.34, ""blend"": ""alpha_only""}",4
