fold,train_start,train_end,test_start,test_end,train_days,test_days,in_sample_objective,params,grid_size
0,2015-03-11,2016-03-09,2016-03-10,2016-04-08,252,21,-2.1343772453498056,"{""fraction"": 0.17, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
1,2015-04-10,2016-04-08,2016-04-11,2016-05-09,252,21,-1.6960866589533825,"{""fraction"": 0.17, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
2,2015-05-11,2016-05-09,2016-05-10,2016-06-08,252,21,-1.8298243650196486,"{""fraction"": 0.17, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
3,2015-06-10,2016-06-08,2016-06-09,2016-07-08,252,21,-1.5560900109968159,"{""fraction"": 0.17, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
4,2015-07-10,2016-07-08,2016-07-11,2016-08-08,252,21,-1.3033073319307031,"{""fraction"": 0.34, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
5,2015-08-10,2016-08-08,2016-08-09,2016-09-07,252,21,-1.2440450320978529,"{""fraction"": 0.34, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
6,2015-09-09,2016-09-07,2016-09-08,2016-10-06,252,21,-1.0553293362826766,"{""fraction"": 0.34, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
7,2015-10-08,2016-10-06,2016-10-07,2016-11-04,252,21,-1.480749748739715,"{""fraction"": 0.34, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
8,2015-11-06,2016-11-04,2016-11-07,2016-12-06,252,21,-2.038376392990107,"{""fraction"": 0.34, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
9,2015-12-08,2016-12-06,2016-12-07,2017-01-06,252,21,-1.7143254327390056,"{""fraction"": 0.34, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
10,2016-01-08,2017-01-06,2017-01-09,2017-02-07,252,21,-1.6734182720121762,"{""fraction"": 0.34, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
11,2016-02-09,2017-02-07,2017-02-08,2017-03-09,252,21,-1.4336840358014906,"{""fraction"": 0.34, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
12,2016-03-10,2017-03-09,2017-03-10,2017-04-07,252,21,-1.6693785183358874,"{""fraction"": 0.34, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
13,2016-04-11,2017-04-07,2017-04-10,2017-05-09,252,21,-2.2589870033456516,"{""fraction"": 0.34, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
14,2016-05-10,2017-05-09,2017-05-10,2017-06-08,252,21,-2.383177161127834,"{""fraction"": 0.34, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
15,2016-06-09,2017-06-08,2017-06-09,2017-07-10,252,21,-2.7882227979188534,"{""fraction"": 0.34, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
16,2016-07-11,2017-07-10,2017-07-11,2017-08-08,252,21,-2.876873180651095,"{""fraction"": 0.34, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
17,2016-08-09,2017-08-08,2017-08-09,2017-09-07,252,21,-2.8511771028870974,"{""fraction"": 0.34, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
18,2016-09-08,2017-09-07,2017-09-08,2017-10-06,252,21,-3.256768906070984,"{""fraction"": 0.34, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
19,2016-10-07,2017-10-06,2017-10-09,2017-11-06,252,21,-2.205336494965818,"{""fraction"": 0.34, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
20,2016-11-07,2017-11-06,2017-11-07,2017-12-06,252,21,-2.1959280151156326,"{""fraction"": 0.34, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
21,2016-12-07,2017-12-06,2017-12-07,2018-01-08,252,21,-2.3249861015196736,"{""fraction"": 0.34, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
22,2017-01-09,2018-01-08,2018-01-09,2018-02-07,252,21,-2.3387486034994187,"{""fraction"": 0.34, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
23,2017-02-08,2018-02-07,2018-02-08,2018-03-09,252,21,-2.5399303464833682,"{""fraction"": 0.34, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
24,2017-03-10,2018-03-09,2018-03-12,2018-04-10,252,21,-2.03248584864512,"{""fraction"": 0.34, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
25,2017-04-10,2018-04-10,2018-04-11,2018-05-09,252,21,-1.3464920367486743,"{""fraction"": 0.17, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
26,2017-05-10,2018-05-09,2018-05-10,2018-06-08,252,21,-1.6807759432983762,"{""fraction"": 0.17, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
27,2017-06-09,2018-06-08,2018-06-11,2018-07-10,252,21,-1.6616158587183953,"{""fraction"": 0.17, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
28,2017-07-11,2018-07-10,2018-07-11,2018-08-08,252,21,-1.3664657329242922,"{""fraction"": 0.17, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
29,2017-08-09,2018-08-08,2018-08-09,2018-09-07,252,21,-1.3391276252845192,"{""fraction"": 0.17, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
30,2017-09-08,2018-09-07,2018-09-10,2018-10-08,252,21,-1.5917443546152483,"{""fraction"": 0.17, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
31,2017-10-09,2018-10-08,2018-10-09,2018-11-06,252,21,-2.0045701338348136,"{""fraction"": 0.17, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
32,2017-11-07,2018-11-06,2018-11-07,2018-12-07,252,21,-1.8426254475233703,"{""fraction"": 0.17, ""smoothing"": 3, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63}",8
33,2017-12-07,2018-12-07,2018-12-10,2019-01-09,252,21,-2.160462854727329,"{""fraction"": 0.17, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
34,2018-01-09,2019-01-09,2019-01-10,2019-02-08,252,21,-1.8446342654567072,"{""fraction"": 0.17, ""smoothing"": 3, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63}",8
35,2018-02-08,2019-02-08,2019-02-11,2019-03-12,252,21,-1.977946733725959,"{""fraction"": 0.17, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
36,2018-03-12,2019-03-12,2019-03-13,2019-04-10,252,21,-2.2310643152880942,"{""fraction"": 0.17, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
37,2018-04-11,2019-04-10,2019-04-11,2019-05-10,252,21,-2.651103117094057,"{""fraction"": 0.17, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
38,2018-05-10,2019-05-10,2019-05-13,2019-06-11,252,21,-2.527267373362314,"{""fraction"": 0.17, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
39,2018-06-11,2019-06-11,2019-06-12,2019-07-11,252,21,-1.9773498100442355,"{""fraction"": 0.17, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
40,2018-07-11,2019-07-11,2019-07-12,2019-08-09,252,21,-2.385502582509747,"{""fraction"": 0.34, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
41,2018-08-09,2019-08-09,2019-08-12,2019-09-10,252,21,-2.1569180307679656,"{""fraction"": 0.34, ""smoothing"": 3, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63}",8
42,2018-09-10,2019-09-10,2019-09-11,2019-10-09,252,21,-1.9549480446895338,"{""fraction"": 0.34, ""smoothing"": 3, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63}",8
43,2018-10-09,2019-10-09,2019-10-10,2019-11-07,252,21,-1.3627453326803887,"{""fraction"": 0.34, ""smoothing"": 3, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63}",8
44,2018-11-07,2019-11-07,2019-11-08,2019-12-09,252,21,-1.2284468348562951,"{""fraction"": 0.34, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
45,2018-12-10,2019-12-09,2019-12-10,2020-01-09,252,21,-0.3174015137897016,"{""fraction"": 0.34, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
46,2019-01-10,2020-01-09,2020-01-10,2020-02-10,252,21,-0.3761133907844219,"{""fraction"": 0.34, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
47,2019-02-11,2020-02-10,2020-02-11,2020-03-11,252,21,-0.9326855275195695,"{""fraction"": 0.34, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
48,2019-03-13,2020-03-11,2020-03-12,2020-04-09,252,21,-1.2569219766435227,"{""fraction"": 0.34, ""smoothing"": 3, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63}",8
49,2019-04-11,2020-04-09,2020-04-13,2020-05-11,252,21,0.5251072488313412,"{""fraction"": 0.34, ""smoothing"": 3, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63}",8
50,2019-05-13,2020-05-11,2020-05-12,2020-06-10,252,21,0.7736938428301838,"{""fraction"": 0.17, ""smoothing"": 3, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63}",8
51,2019-06-12,2020-06-10,2020-06-11,2020-07-10,252,21,0.7117926616326217,"{""fraction"": 0.17, ""smoothing"": 3, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63}",8
52,2019-07-12,2020-07-10,2020-07-13,2020-08-10,252,21,0.768158533851488,"{""fraction"": 0.17, ""smoothing"": 3, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63}",8
53,2019-08-12,2020-08-10,2020-08-11,2020-09-09,252,21,0.8519826787523824,"{""fraction"": 0.17, ""smoothing"": 3, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63}",8
54,2019-09-11,2020-09-09,2020-09-10,2020-10-08,252,21,1.173658389762791,"{""fraction"": 0.34, ""smoothing"": 3, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63}",8
55,2019-10-10,2020-10-08,2020-10-09,2020-11-06,252,21,1.0322469660904847,"{""fraction"": 0.34, ""smoothing"": 3, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63}",8
56,2019-11-08,2020-11-06,2020-11-09,2020-12-08,252,21,1.0185993838130316,"{""fraction"": 0.34, ""smoothing"": 3, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63}",8
57,2019-12-10,2020-12-08,2020-12-09,2021-01-08,252,21,1.4438624953604127,"{""fraction"": 0.34, ""smoothing"": 3, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63}",8
58,2020-01-10,2021-01-08,2021-01-11,2021-02-09,252,21,1.397115902127638,"{""fraction"": 0.17, ""smoothing"": 3, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63}",8
59,2020-02-11,2021-02-09,2021-02-10,2021-03-11,252,21,1.2634334389181698,"{""fraction"": 0.34, ""smoothing"": 3, ""vol_scaling"": ""inverse_vol"", ""vol_window"": 63}",8
60,2020-03-12,2021-03-11,2021-03-12,2021-04-12,252,21,1.4779955557781643,"{""fraction"": 0.34, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
61,2020-04-13,2021-04-12,2021-04-13,2021-05-11,252,21,0.9588205045059484,"{""fraction"": 0.34, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
62,2020-05-12,2021-05-11,2021-05-12,2021-06-10,252,21,1.0427499361719381,"{""fraction"": 0.17, ""smoothing"": 1, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
63,2020-06-11,2021-06-10,2021-06-11,2021-07-12,252,21,1.2559378750981698,"{""fraction"": 0.17, ""smoothing"": 1, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
64,2020-07-13,2021-07-12,2021-07-13,2021-08-10,252,21,0.8094626084577407,"{""fraction"": 0.17, ""smoothing"": 1, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
65,2020-08-11,2021-08-10,2021-08-11,2021-09-09,252,21,0.0938134760792618,"{""fraction"": 0.17, ""smoothing"": 1, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
66,2020-09-10,2021-09-09,2021-09-10,2021-10-08,252,21,-0.2600109968456095,"{""fraction"": 0.17, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
67,2020-10-09,2021-10-08,2021-10-11,2021-11-08,252,21,-0.29256099256318235,"{""fraction"": 0.17, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
68,2020-11-09,2021-11-08,2021-11-09,2021-12-08,252,21,-0.7834325917066826,"{""fraction"": 0.17, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
69,2020-12-09,2021-12-08,2021-12-09,2022-01-07,252,21,-0.6657484645483378,"{""fraction"": 0.17, ""smoothing"": 1, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
70,2021-01-11,2022-01-07,2022-01-10,2022-02-08,252,21,-0.8783312560956232,"{""fraction"": 0.17, ""smoothing"": 1, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
71,2021-02-10,2022-02-08,2022-02-09,2022-03-10,252,21,-0.9523072133491268,"{""fraction"": 0.17, ""smoothing"": 1, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
72,2021-03-12,2022-03-10,2022-03-11,2022-04-08,252,21,-0.8413981644377816,"{""fraction"": 0.17, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
73,2021-04-13,2022-04-08,2022-04-11,2022-05-10,252,21,-1.184221740864585,"{""fraction"": 0.17, ""smoothing"": 3, ""vol_scaling"": ""none"", ""vol_window"": 63}",8
