fold,train_start,train_end,test_start,test_end,train_days,test_days,in_sample_objective,params,grid_size
0,2015-03-11,2016-03-09,2016-03-10,2016-04-08,252,21,0.3025498582293454,"{""formation"": 126, ""weighting"": ""inverse_var"", ""ma_filter"": false, ""ma_length"": 200}",24
1,2015-04-10,2016-04-08,2016-04-11,2016-05-09,252,21,0.2947815856646114,"{""formation"": 126, ""weighting"": ""inverse_var"", ""ma_filter"": false, ""ma_length"": 200}",24
2,2015-05-11,2016-05-09,2016-05-10,2016-06-08,252,21,0.4286949646780659,"{""formation"": 126, ""weighting"": ""inverse_var"", ""ma_filter"": true, ""ma_length"": 100}",24
3,2015-06-10,2016-06-08,2016-06-09,2016-07-08,252,21,0.5140630306843837,"{""formation"": 126, ""weighting"": ""inverse_var"", ""ma_filter"": true, ""ma_length"": 100}",24
4,2015-07-10,2016-07-08,2016-07-11,2016-08-08,252,21,0.7617452848488009,"{""formation"": 126, ""weighting"": ""inverse_var"", ""ma_filter"": true, ""ma_length"": 100}",24
5,2015-08-10,2016-08-08,2016-08-09,2016-09-07,252,21,0.6459287939391368,"{""formation"": 126, ""weighting"": ""inverse_var"", ""ma_filter"": false, ""ma_length"": 200}",24
6,2015-09-09,2016-09-07,2016-09-08,2016-10-06,252,21,1.4262981915906427,"{""formation"": 126, ""weighting"": ""inverse_var"", ""ma_filter"": false, ""ma_length"": 200}",24
7,2015-10-08,2016-10-06,2016-10-07,2016-11-04,252,21,1.1137628816596097,"{""formation"": 126, ""weighting"": ""inverse_var"", ""ma_filter"": false, ""ma_length"": 200}",24
8,2015-11-06,2016-11-04,2016-11-07,2016-12-06,252,21,0.5435069703276132,"{""formation"": 126, ""weighting"": ""inverse_var"", ""ma_filter"": false, ""ma_length"": 200}",24
9,2015-12-08,2016-12-06,2016-12-07,2017-01-06,252,21,1.2746965877566225,"{""formation"": 126, ""weighting"": ""raw"", ""ma_filter"": false, ""ma_length"": 200}",24
10,2016-01-08,2017-01-06,2017-01-09,2017-02-07,252,21,1.977768578933673,"{""formation"": 126, ""weighting"": ""raw"", ""ma_filter"": false, ""ma_length"": 200}",24
11,2016-02-09,2017-02-07,2017-02-08,2017-03-09,252,21,2.589265503158743,"{""formation"": 252, ""weighting"": ""raw"", ""ma_filter"": false, ""ma_length"": 200}",24
12,2016-03-10,2017-03-09,2017-03-10,2017-04-07,252,21,2.201324726216056,"{""formation"": 252, ""weighting"": ""raw"", ""ma_filter"": false, ""ma_length"": 200}",24
13,2016-04-11,2017-04-07,2017-04-10,2017-05-09,252,21,1.8792185623142101,"{""formation"": 252, ""weighting"": ""raw"", ""ma_filter"": false, ""ma_length"": 200}",24
14,2016-05-10,2017-05-09,2017-05-10,2017-06-08,252,21,1.8549575477540583,"{""formation"": 126, ""weighting"": ""raw"", ""ma_filter"": false, ""ma_length"": 200}",24
15,2016-06-09,2017-06-08,2017-06-09,2017-07-10,252,21,1.9830841915698687,"{""formation"": 252, ""weighting"": ""raw"", ""ma_filter"": false, ""ma_length"": 200}",24
16,2016-07-11,2017-07-10,2017-07-11,2017-08-08,252,21,1.6766728794958459,"{""formation"": 126, ""weighting"": ""raw"", ""ma_filter"": false, ""ma_length"": 200}",24
17,2016-08-09,2017-08-08,2017-08-09,2017-09-07,252,21,1.7077143147790108,"{""formation"": 252, ""weighting"": ""raw"", ""ma_filter"": false, ""ma_length"": 200}",24
18,2016-09-08,2017-09-07,2017-09-08,2017-10-06,252,21,1.652294531393407,"{""formation"": 126, ""weighting"": ""inverse_vol"", ""ma_filter"": true, ""ma_length"": 200}",24
