fold,train_start,train_end,test_start,test_end,train_days,test_days,in_sample_objective,params,grid_size
0,2015-03-11,2016-03-09,2016-03-10,2016-04-08,252,21,0.18518864535292257,"{""target_vol"": 0.2, ""vol_window"": 63, ""max_leverage"": 1.0, ""rebalance_threshold"": 0.1, ""annualization"": 252}",24
1,2015-04-10,2016-04-08,2016-04-11,2016-05-09,252,21,0.19179674857326967,"{""target_vol"": 0.2, ""vol_window"": 63, ""max_leverage"": 1.0, ""rebalance_threshold"": 0.1, ""annualization"": 252}",24
2,2015-05-11,2016-05-09,2016-05-10,2016-06-08,252,21,0.2861361420700145,"{""target_vol"": 0.2, ""vol_window"": 63, ""max_leverage"": 1.0, ""rebalance_threshold"": 0.1, ""annualization"": 252}",24
3,2015-06-10,2016-06-08,2016-06-09,2016-07-08,252,21,0.5229114049129316,"{""target_vol"": 0.2, ""vol_window"": 63, ""max_leverage"": 1.0, ""rebalance_threshold"": 0.1, ""annualization"": 252}",24
4,2015-07-10,2016-07-08,2016-07-11,2016-08-08,252,21,0.6030532693126057,"{""target_vol"": 0.2, ""vol_window"": 63, ""max_leverage"": 1.0, ""rebalance_threshold"": 0.1, ""annualization"": 252}",24
5,2015-08-10,2016-08-08,2016-08-09,2016-09-07,252,21,0.6579089658802809,"{""target_vol"": 0.2, ""vol_window"": 63, ""max_leverage"": 1.0, ""rebalance_threshold"": 0.1, ""annualization"": 252}",24
6,2015-09-09,2016-09-07,2016-09-08,2016-10-06,252,21,1.3156164269842636,"{""target_vol"": 0.2, ""vol_window"": 21, ""max_leverage"": 1.0, ""rebalance_threshold"": 0.1, ""annualization"": 252}",24
7,2015-10-08,2016-10-06,2016-10-07,2016-11-04,252,21,0.9969324171405092,"{""target_vol"": 0.2, ""vol_window"": 21, ""max_leverage"": 1.0, ""rebalance_threshold"": 0.1, ""annualization"": 252}",24
8,2015-11-06,2016-11-04,2016-11-07,2016-12-06,252,21,0.5814059987736871,"{""target_vol"": 0.2, ""vol_window"": 63, ""max_leverage"": 1.0, ""rebalance_threshold"": 0.1, ""annualization"": 252}",24
9,2015-12-08,2016-12-06,2016-12-07,2017-01-06,252,21,1.2122112523033224,"{""target_vol"": 0.2, ""vol_window"": 21, ""max_leverage"": 1.0, ""rebalance_threshold"": 0.1, ""annualization"": 252}",24
10,2016-01-08,2017-01-06,2017-01-09,2017-02-07,252,21,1.9553964122217609,"{""target_vol"": 0.2, ""vol_window"": 21, ""max_leverage"": 1.0, ""rebalance_threshold"": 0.1, ""annualization"": 252}",24
11,2016-02-09,2017-02-07,2017-02-08,2017-03-09,252,21,2.662338230226759,"{""target_vol"": 0.2, ""vol_window"": 63, ""max_leverage"": 1.0, ""rebalance_threshold"": 0.1, ""annualization"": 252}",24
12,2016-03-10,2017-03-09,2017-03-10,2017-04-07,252,21,2.2292013612636383,"{""target_vol"": 0.2, ""vol_window"": 63, ""max_leverage"": 1.0, ""rebalance_threshold"": 0.1, ""annualization"": 252}",24
13,2016-04-11,2017-04-07,2017-04-10,2017-05-09,252,21,2.0355326197373413,"{""target_vol"": 0.2, ""vol_window"": 63, ""max_leverage"": 1.0, ""rebalance_threshold"": 0.1, ""annualization"": 252}",24
14,2016-05-10,2017-05-09,2017-05-10,2017-06-08,252,21,1.9746629467216061,"{""target_vol"": 0.15, ""vol_window"": 63, ""max_leverage"": 1.0, ""rebalance_threshold"": 0.1, ""annualization"": 252}",24
15,2016-06-09,2017-06-08,2017-06-09,2017-07-10,252,21,1.948247038025335,"{""target_vol"": 0.15, ""vol_window"": 63, ""max_leverage"": 2.0, ""rebalance_threshold"": 0.1, ""annualization"": 252}",24
16,2016-07-11,2017-07-10,2017-07-11,2017-08-08,252,21,2.1971034368117452,"{""target_vol"": 0.15, ""vol_window"": 63, ""max_leverage"": 2.0, ""rebalance_threshold"": 0.1, ""annualization"": 252}",24
17,2016-08-09,2017-08-08,2017-08-09,2017-09-07,252,21,2.252036333948958,"{""target_vol"": 0.15, ""vol_window"": 63, ""max_leverage"": 2.0, ""rebalance_threshold"": 0.1, ""annualization"": 252}",24
18,2016-09-08,2017-09-07,2017-09-08,2017-10-06,252,21,2.0534566311938507,"{""target_vol"": 0.15, ""vol_window"": 63, ""max_leverage"": 2.0, ""rebalance_threshold"": 0.1, ""annualization"": 252}",24
19,2016-10-07,2017-10-06,2017-10-09,2017-11-06,252,21,2.8901448974045993,"{""target_vol"": 0.15, ""vol_window"": 63, ""max_leverage"": 1.0, ""rebalance_threshold"": 0.1, ""annualization"": 252}",24
20,2016-11-07,2017-11-06,2017-11-07,2017-12-06,252,21,3.4340450204279955,"{""target_vol"": 0.15, ""vol_window"": 63, ""max_leverage"": 1.0, ""rebalance_threshold"": 0.1, ""annualization"": 252}",24
21,2016-12-07,2017-12-06,2017-12-07,2018-01-08,252,21,2.983341296823244,"{""target_vol"": 0.1, ""vol_window"": 63, ""max_leverage"": 2.0, ""rebalance_threshold"": 0.1, ""annualization"": 252}",24
22,2017-01-09,2018-01-08,2018-01-09,2018-02-07,252,21,3.6271345171121774,"{""target_vol"": 0.1, ""vol_window"": 63, ""max_leverage"": 2.0, ""rebalance_threshold"": 0.1, ""annualization"": 252}",24
