section,key,title,style,folds,days,cagr,sharpe,max_drawdown,calmar,ann_return,ann_volatility,sortino,hit_rate,ann_turnover,gross_sharpe,cost_drag_ann,avg_gross_exposure,avg_net_exposure,total_return,gross_ann_return,bps_per_unit_traded
4.1.2,4.1.2.dual_momentum,Dual-momentum rotation,momentum,125.0,2624.0,0.13317339608488332,1.0426652671096484,-0.15426661160789557,0.863267784887727,0.13323685884352907,0.12778488269094485,1.253686369317571,0.46684451219512196,24.062643231298075,1.1368327891386403,0.012031321615649043,0.8315548780487795,0.8315548780487795,2.6759680200664224,0.1452681804591781,55.37083252359784
-,benchmark.equal_weight,Equal-weighted buy & hold,benchmark,,2624.0,0.1776555663119752,0.9970671819438501,-0.380541719178645,0.46684911892295033,0.17993279496824005,0.18046205734848164,1.1998524593562938,0.5571646341463414,0.09603658536585365,0.9973065399897433,4.801829268288871e-05,,,4.488984782916748,0.17998081326092294,18735.85928558182
3.1,3.1.price_momentum_long_only,Price-momentum (long-only),momentum,125.0,2624.0,0.16691740381591602,0.9361000670292488,-0.33361001207854124,0.500336913679374,0.17121298370259996,0.18290030065477003,1.170283832988147,0.5586890243902439,37.298834110479184,1.0378505093946315,0.018649417055239564,0.999999999999999,0.999999999999999,3.989632054185556,0.18986240075783953,45.90303900531232
6.5,6.5.volatility_targeting,Volatility targeting with risk-free asset,allocation,125.0,2624.0,0.12667033557630414,0.9342078897301231,-0.26113326359121314,0.4850792803424621,0.12885324507720813,0.13792780653397357,1.1413063203642206,0.5564024390243902,2.0709309624253533,0.9416411930426023,0.0010354654812126662,0.9409333213113505,0.9409333213113505,2.462143621060677,0.1298887105584208,622.1996165739042
4.1,4.1.momentum_rotation,Momentum rotation,momentum,125.0,2624.0,0.16816973247134426,0.9299494539160458,-0.34979402588663766,0.4807678805979529,0.17283279137375882,0.18585181231727663,1.1557154243637315,0.5586890243902439,28.089943448523,1.0054853325352529,0.014044971724261418,0.9999999999999987,0.9999999999999987,4.045672891791522,0.18687776309802023,61.52835148653406
4.6,4.6.multi_asset_trend,Multi-asset trend following,momentum,125.0,2624.0,0.1568501139230487,0.8794437964357682,-0.34010551218028184,0.4611807462853063,0.1630109231512037,0.18535684009809208,1.0690798986221066,0.555640243902439,25.865349027768055,0.9491727776726591,0.012932674513883996,1.0,1.0,3.5591648216723053,0.1759435976650877,63.022897149464846
3.15,3.15.channel,Channel (Donchian),technical,125.0,2624.0,0.07436393442101563,0.5300153304967279,-0.3725260820369043,0.19962074605463134,0.08445520998608158,0.15934484368014518,0.6414705906965583,0.5190548780487805,26.915277040932608,0.6146463139948564,0.013457638520466247,0.999999999999999,0.6345684266339229,1.1104270838515293,0.09791284850654783,31.378168561164184
3.4,3.4.low_volatility,Low-volatility anomaly,factor,125.0,2624.0,0.057162066178460424,0.4945266244964017,-0.33462895010874305,0.17082223806363644,0.0640263670411379,0.1294700100451392,0.5844895939443215,0.5464939024390244,9.468209149770171,0.5311631845341407,0.004734104574885087,0.999999999999999,0.9279725609756083,0.7839344769406731,0.06876047161602299,67.6224680172935
3.11,3.11.single_moving_average,Single moving average,technical,125.0,2624.0,0.06173728947558543,0.4505344752367437,-0.37151348614214896,0.1661777883669166,0.07317234363303149,0.16241230728143813,0.5267170499939772,0.5472560975609756,34.91656477940827,0.5582114388261559,0.01745828238970412,0.9999999999999997,0.9373255846402855,0.865983973440906,0.09063062602273561,20.956340950294237
3.14,3.14.support_resistance,Support and resistance,technical,125.0,2624.0,0.013984806985929188,0.16303288918885692,-0.4084053325768833,0.0342424691119735,0.032383418109321285,0.19863119810020918,0.24079772989240472,0.5209603658536586,188.76806231450033,0.6381867748268305,0.09438403115725029,0.9999999999999993,0.9113429485054166,0.1555896594571966,0.12676744926657157,1.7155136156119637
3.10,3.10.mean_reversion_weighted_regression,Mean-reversion (weighted regression),mean-reversion,125.0,2624.0,-0.005641842878702952,-0.042023659283997705,-0.24796796194744064,-0.0227523057188283,-0.0030452564930902107,0.07246528610253182,-0.05916508768480678,0.4763719512195122,98.31039107877972,0.6363218883547633,0.04915519553938986,1.0,3.738578113251677e-17,-0.05721135742798322,0.04610993904629965,-0.30975937128049214
3.18.1,3.18.1.stat_arb_dollar_neutral,Statistical arbitrage (dollar-neutral),optimization,125.0,2624.0,-0.00803800693724177,-0.1367153217569114,-0.20303604132203756,-0.03958906450748124,-0.006827441650094667,0.049939111157082286,-0.1878294203622143,0.4771341463414634,78.01322906796888,0.6441814356365433,0.03900661453398443,1.0,-1.2820901116318869e-17,-0.08060141574727031,0.03217917288388976,-0.8751646011404388
