key,title,ann_return,sharpe,t_stat_vs_zero,p_vs_zero,excess_ann_return,t_stat_vs_benchmark,p_vs_benchmark,p_worse_than_benchmark
4.1.momentum_rotation,4.1 Momentum rotation,0.17283279137375882,0.9299494539160458,3.357606959803551,0.00039871099052887673,-0.007100003594481225,-0.27318962806165525,0.6076355203230372,0.39236447967696275
3.1.price_momentum_long_only,3.1 Price-momentum (long-only),0.17121298370259996,0.9361000670292488,3.399519230509811,0.0003425667749849007,-0.008719811265640077,-0.30304399137195936,0.6190598159504684,0.38094018404953156
4.6.multi_asset_trend,4.6 Multi-asset trend following,0.1630109231512037,0.8794437964357682,3.113268000701717,0.0009351157107441466,-0.016921871817036364,-0.5420886069400789,0.7060982430279035,0.29390175697209653
4.1.2.dual_momentum,4.1.2 Dual-momentum rotation,0.13323685884352907,1.0426652671096484,3.6929331827021947,0.00011310282472482946,-0.04669593612471096,-1.1423502123420401,0.8732936296079424,0.12670637039205757
6.5.volatility_targeting,6.5 Volatility targeting with risk-free asset,0.12885324507720813,0.9342078897301231,3.0441308754416494,0.001178352234239969,-0.051079549891031924,-2.4599431610560663,0.9930200167722172,0.0069799832277828155
3.15.channel,3.15 Channel (Donchian),0.08445520998608158,0.5300153304967279,1.928269674747271,0.02696470325979987,-0.0954775849821585,-2.279727024504796,0.988648081758813,0.011351918241186976
3.11.single_moving_average,3.11 Single moving average,0.07317234363303149,0.4505344752367437,1.6231787489770229,0.05233568230482958,-0.10676045133520858,-3.0577610226097947,0.998873760076721,0.0011262399232789821
3.4.low_volatility,3.4 Low-volatility anomaly,0.0640263670411379,0.4945266244964017,1.6833111997941848,0.04621693101827737,-0.11590642792710214,-2.963874436208362,0.9984673638270881,0.0015326361729118831
3.14.support_resistance,3.14 Support and resistance,0.032383418109321285,0.16303288918885692,0.6764726632548377,0.24940012081643143,-0.14754937685891875,-3.587294936137358,0.9998298817713103,0.0001701182286897307
3.10.mean_reversion_weighted_regression,3.10 Mean-reversion (weighted regression),-0.0030452564930902107,-0.042023659283997705,-0.1454163078509452,0.5578033186415592,-0.18297805146133025,-3.928149260676706,0.9999560945856231,4.3905414376932406e-05
3.18.1.stat_arb_dollar_neutral,3.18.1 Statistical arbitrage (dollar-neutral),-0.006827441650094667,-0.1367153217569114,-0.423843139865497,0.6641425159450427,-0.18676023661833474,-4.0145965580968985,0.9999693912853781,3.060871462190473e-05
3.9.mean_reversion_single_cluster,3.9 Mean-reversion (single cluster),-0.012192188139273526,-0.13929100708614786,-0.4942302955450954,0.6894075336825758,-0.19212498310751358,-4.124022208399591,0.9999808055604995,1.919443950049171e-05
3.8.pairs_trading,3.8 Pairs trading,-0.01564754950000582,-1.0657557584732122,-4.198553691170725,0.9999861213221644,-0.1955803444682459,-3.808543796067045,0.9999285031788698,7.149682113016809e-05
10.4.trend_following,10.4 Trend following (sign/vol weighting),-0.017983888788456318,-0.2031749813223841,-0.6996612351146488,0.7578995334763163,-0.19791668375669633,-4.045778761674871,0.9999731720558459,2.6827944154095285e-05
3.9.1.mean_reversion_multi_cluster,3.9.1 Mean-reversion (multiple clusters),-0.018463215168230743,-0.21066410930807297,-0.7497640376220197,0.7732679643263749,-0.19839601013647085,-4.204717212530378,0.9999864916906003,1.3508309399723473e-05
3.1.price_momentum,3.1 Price-momentum,-0.019656350368967,-0.21722622031476305,-0.8064005691830632,0.7899574879308598,-0.19958914533720704,-3.174355404589173,0.999240452856912,0.000759547143088013
